date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,20.93,28.34,14.67,0.0,17.92
2004-10-02,18.18,25.56,11.62,0.0,17.58
2004-10-03,15.89,22.88,10.08,0.08,16.74
2004-10-04,14.53,21.53,8.19,0.0,15.85
2004-10-05,14.43,22.58,6.84,0.0,16.72
2004-10-06,15.59,24.8,7.23,0.52,13.56
2004-10-07,15.45,22.22,10.1,0.36,12.61
2004-10-08,13.65,18.83,8.34,1.75,16.9
2004-10-09,13.27,18.68,9.81,0.21,13.45
2004-10-10,14.55,21.75,9.22,0.0,16.6
2004-10-11,16.44,24.38,9.81,0.0,17.71
2004-10-12,16.17,25.71,8.61,0.0,16.81
2004-10-13,13.6,21.44,8.33,0.0,12.53
2004-10-14,15.16,22.63,7.68,0.03,15.48
2004-10-15,17.03,23.66,10.05,0.0,15.46
2004-10-16,15.82,23.56,9.51,0.0,14.2
2004-10-17,17.55,25.59,10.41,0.0,15.34
2004-10-18,19.29,28.19,11.77,0.0,14.45
2004-10-19,18.58,27.71,13.22,0.0,15.41
2004-10-20,16.61,23.71,10.47,0.01,10.17
2004-10-21,13.39,19.24,9.53,0.03,14.98
2004-10-22,13.58,20.64,8.61,0.0,13.85
2004-10-23,13.53,21.91,8.01,0.0,15.52
2004-10-24,14.42,22.64,7.24,0.0,14.38
2004-10-25,15.0,23.73,9.38,0.0,14.87
2004-10-26,15.87,24.7,8.78,0.0,14.38
2004-10-27,18.65,27.54,11.78,0.0,10.45
2004-10-28,18.4,25.94,12.64,0.07,11.9
2004-10-29,14.28,20.53,9.75,1.81,9.06
2004-10-30,13.97,20.5,7.71,0.41,12.18
2004-10-31,14.33,21.65,9.55,0.0,13.47
2004-11-01,14.04,22.34,8.02,0.0,13.52
2004-11-02,14.41,22.94,8.37,0.0,13.46
2004-11-03,13.03,20.35,8.16,0.0,13.29
2004-11-04,9.75,17.39,3.34,0.0,13.04
2004-11-05,8.7,18.45,1.65,0.0,14.1
2004-11-06,12.37,18.95,6.65,0.0,11.62
2004-11-07,12.17,17.57,7.42,0.2,10.71
2004-11-08,11.33,16.72,6.98,1.82,7.86
2004-11-09,11.76,17.81,6.44,1.62,10.45
