date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,18.42,27.72,13.06,0.19,15.67
2004-10-02,15.67,22.17,11.94,0.43,13.27
2004-10-03,13.92,19.8,10.11,0.47,9.11
2004-10-04,11.36,15.45,8.16,0.07,9.35
2004-10-05,11.09,16.91,8.06,0.09,12.1
2004-10-06,12.22,19.94,7.37,0.45,14.73
2004-10-07,16.54,25.92,10.42,0.61,15.09
2004-10-08,15.44,22.01,9.12,3.45,12.59
2004-10-09,13.21,16.21,9.57,5.61,11.18
2004-10-10,13.84,21.51,6.43,0.0,15.9
2004-10-11,15.23,24.96,7.06,0.0,16.29
2004-10-12,11.96,21.27,6.28,0.73,13.52
2004-10-13,5.85,9.96,1.64,1.35,4.65
2004-10-14,8.18,15.92,1.39,0.0,11.14
2004-10-15,14.51,23.51,6.71,0.0,15.29
2004-10-16,16.04,24.35,8.85,0.0,13.84
2004-10-17,17.16,25.31,9.84,0.0,11.76
2004-10-18,18.68,28.73,10.35,0.0,14.28
2004-10-19,17.62,26.59,11.64,0.0,13.68
2004-10-20,13.98,18.42,11.06,2.52,5.72
2004-10-21,10.66,17.43,5.53,0.58,13.73
2004-10-22,8.74,15.87,4.75,0.0,12.24
2004-10-23,10.66,18.52,5.74,0.0,15.29
2004-10-24,12.81,22.7,5.12,0.0,14.32
2004-10-25,12.96,22.08,6.6,0.0,14.32
2004-10-26,15.62,25.19,8.3,0.0,14.21
2004-10-27,16.7,27.32,7.8,0.0,10.33
2004-10-28,17.05,24.14,10.78,0.0,11.78
2004-10-29,16.6,22.34,11.93,0.18,8.77
2004-10-30,15.14,21.86,10.54,0.1,9.47
2004-10-31,14.44,21.62,9.25,0.01,12.6
2004-11-01,15.15,22.53,8.28,0.0,12.91
2004-11-02,14.67,23.7,8.3,0.03,12.29
2004-11-03,11.42,17.29,7.22,0.85,8.25
2004-11-04,6.59,12.07,1.61,0.72,11.0
2004-11-05,5.44,13.65,0.42,0.0,12.93
2004-11-06,9.22,19.04,2.06,0.0,12.81
2004-11-07,9.92,16.56,3.64,0.0,8.97
2004-11-08,11.2,20.63,3.36,0.04,11.28
2004-11-09,12.91,20.29,7.01,0.0,10.29
2004-11-10,13.6,20.52,7.98,0.0,8.6
2004-11-11,12.95,20.11,7.55,0.22,10.09
2004-11-12,11.7,19.82,5.53,0.0,11.03
2004-11-13,12.56,20.8,5.99,0.0,11.42
2004-11-14,12.49,22.42,5.24,0.0,11.31
2004-11-15,12.83,19.83,7.21,0.1,4.31
2004-11-16,12.14,17.67,8.35,0.96,6.72
2004-11-17,6.05,8.34,1.63,11.47,3.33
2004-11-18,3.34,8.71,-0.6,0.25,8.88
2004-11-19,4.07,13.72,-2.4,0.0,11.19
2004-11-20,8.67,15.19,1.02,4.68,5.58
2004-11-21,0.08,7.52,-2.48,25.55,1.58
2004-11-22,-2.72,-0.98,-4.2,5.49,2.41
2004-11-23,-5.57,-0.55,-10.58,0.57,8.09
2004-11-24,-3.76,1.64,-8.48,0.04,3.95
2004-11-25,-2.14,0.0,-4.74,15.19,1.82
2004-11-26,-3.78,-0.19,-8.22,7.65,2.17
2004-11-27,-6.21,-0.62,-10.12,0.14,4.46
2004-11-28,-6.32,0.18,-13.08,0.09,5.88
2004-11-29,-5.71,0.55,-10.9,0.04,7.11
2004-11-30,-3.8,0.96,-9.31,0.05,3.87
2004-12-01,-0.29,1.56,-3.63,1.4,3.12
2004-12-02,-2.79,2.38,-7.23,0.02,4.07
2004-12-03,-0.72,5.29,-5.42,0.05,4.19
2004-12-04,2.16,7.89,-2.47,0.48,6.05
2004-12-05,2.0,4.75,-0.79,1.83,3.63
2004-12-06,0.16,6.61,-4.24,0.07,4.98
2004-12-07,-1.09,4.42,-4.6,4.19,2.77
2004-12-08,-0.81,3.8,-4.5,0.5,5.57
2004-12-09,-0.82,5.19,-5.12,0.2,6.42
2004-12-10,-1.31,3.43,-4.02,0.78,8.3
2004-12-11,-1.53,1.98,-4.04,0.63,5.45
2004-12-12,-1.39,2.51,-3.54,0.19,6.08
2004-12-13,-0.42,4.8,-3.71,0.08,5.56
2004-12-14,-1.39,2.05,-4.7,1.53,4.85
2004-12-15,-4.39,-1.88,-5.74,0.31,6.52
2004-12-16,-4.67,-1.3,-7.01,0.09,7.6
2004-12-17,-5.57,0.93,-10.56,0.0,9.05
2004-12-18,-2.94,5.79,-9.21,0.0,8.9
2004-12-19,-0.9,3.76,-3.67,0.02,6.08
2004-12-20,-0.61,5.81,-6.13,0.03,4.38
2004-12-21,2.61,7.44,-0.79,0.09,5.15
2004-12-22,2.05,9.15,-1.5,0.57,5.83
2004-12-23,1.05,4.28,-1.34,6.69,3.22
2004-12-24,0.46,5.55,-1.92,0.89,3.46
2004-12-25,0.45,4.64,-2.71,0.05,5.11
2004-12-26,-1.22,5.42,-4.19,0.0,8.35
2004-12-27,0.44,7.13,-4.15,0.0,7.64
2004-12-28,3.02,11.31,-0.34,0.0,8.21
2004-12-29,3.62,9.9,0.15,0.04,5.99
2004-12-30,4.57,13.49,-1.68,0.0,8.68
2004-12-31,3.96,11.02,0.18,0.0,8.54
2005-01-01,3.35,12.32,-1.75,0.01,8.38
2005-01-02,1.44,5.36,-1.13,4.78,2.27
2005-01-03,0.21,4.6,-2.15,0.13,4.62
2005-01-04,0.78,5.01,-1.43,0.58,6.09
2005-01-05,-1.02,3.62,-3.92,0.73,7.73
2005-01-06,0.27,5.21,-3.7,1.12,5.02
2005-01-07,0.85,5.03,-2.32,0.2,5.12
2005-01-08,1.04,5.35,-2.27,0.08,4.51
2005-01-09,0.04,6.94,-3.98,0.0,9.56
2005-01-10,0.13,7.02,-3.59,0.0,9.5
2005-01-11,0.27,6.34,-2.44,0.0,8.15
2005-01-12,3.3,10.28,-2.11,0.0,8.88
2005-01-13,5.13,12.47,-0.24,0.0,10.02
2005-01-14,4.41,11.32,-1.11,0.0,8.84
2005-01-15,3.75,9.66,-0.35,0.08,5.95
2005-01-16,3.17,10.15,-1.21,0.02,8.54
2005-01-17,3.8,10.5,0.23,0.0,8.76
2005-01-18,2.73,8.4,-1.24,0.0,9.67
2005-01-19,2.84,7.22,-0.03,0.0,8.19
2005-01-20,1.75,8.9,-2.49,0.0,10.39
2005-01-21,3.21,9.82,-2.5,0.01,6.78
2005-01-22,4.68,10.1,0.87,0.02,6.89
2005-01-23,0.14,2.59,-3.15,11.07,3.51
2005-01-24,-3.76,0.41,-8.52,0.81,8.35
2005-01-25,-2.27,4.76,-9.19,0.16,4.78
2005-01-26,1.98,8.76,-1.95,0.1,8.19
2005-01-27,1.29,8.83,-3.08,0.0,10.11
2005-01-28,3.51,10.62,-1.21,0.7,6.11
2005-01-29,7.03,15.67,1.15,0.23,9.22
2005-01-30,6.75,13.4,3.34,8.16,4.48
2005-01-31,0.87,5.3,-3.36,3.02,9.07
2005-02-01,-1.46,2.78,-3.88,1.36,4.24
2005-02-02,-0.57,5.08,-4.77,0.03,8.37
2005-02-03,1.02,8.82,-4.78,0.0,10.42
2005-02-04,1.47,6.17,-1.47,0.16,7.36
2005-02-05,-0.64,4.4,-6.36,0.7,6.72
2005-02-06,-3.49,0.75,-6.34,0.81,9.27
2005-02-07,-3.01,1.0,-5.41,0.5,8.91
2005-02-08,-4.65,-2.05,-6.71,0.52,8.97
2005-02-09,-5.2,-1.63,-7.16,0.26,9.57
2005-02-10,-5.54,-2.06,-7.63,0.02,11.16
2005-02-11,-4.71,-0.6,-7.47,0.06,10.66
2005-02-12,-3.8,1.37,-8.98,0.0,13.06
2005-02-13,-2.78,4.16,-9.95,0.02,13.34
2005-02-14,2.56,9.75,-1.93,0.72,5.27
2005-02-15,2.56,11.66,-2.72,0.01,13.69
2005-02-16,2.02,9.11,-3.33,0.0,10.25
2005-02-17,5.8,15.1,-1.15,0.03,8.2
2005-02-18,4.89,10.79,0.26,8.06,4.3
2005-02-19,3.1,6.09,1.13,9.92,4.59
2005-02-20,3.38,8.92,-0.39,1.85,8.39
2005-02-21,2.16,7.76,-2.94,0.07,12.68
2005-02-22,3.57,9.7,-1.82,0.4,11.22
2005-02-23,5.98,12.81,0.47,0.0,14.52
2005-02-24,5.7,11.88,0.19,0.1,10.25
2005-02-25,5.49,12.15,-0.58,0.19,12.45
2005-02-26,5.39,11.93,0.82,0.1,9.2
2005-02-27,7.59,13.86,2.57,2.93,8.24
2005-02-28,6.09,10.07,-0.36,10.85,7.29
2005-03-01,0.41,5.27,-2.93,17.57,4.64
2005-03-02,4.99,9.51,-0.19,10.87,3.17
2005-03-03,3.95,8.36,-1.75,23.97,4.51
2005-03-04,-0.84,4.17,-4.8,1.91,8.46
2005-03-05,3.27,11.08,-4.75,0.0,13.28
2005-03-06,6.47,12.09,2.17,5.06,5.17
2005-03-07,8.53,13.98,4.35,1.43,11.9
2005-03-08,6.33,11.55,0.62,16.17,6.53
2005-03-09,1.66,6.15,-2.68,3.88,10.66
2005-03-10,0.27,5.22,-3.53,1.17,11.23
2005-03-11,-0.97,3.37,-4.91,1.14,13.79
2005-03-12,-0.64,6.22,-4.56,0.24,13.75
2005-03-13,1.92,10.68,-4.9,0.0,20.13
2005-03-14,4.15,11.17,-2.55,0.12,15.95
2005-03-15,4.66,10.52,0.62,0.0,15.39
2005-03-16,3.55,9.52,-1.28,0.0,14.98
2005-03-17,5.23,11.36,0.16,0.0,19.38
2005-03-18,6.76,15.46,-1.72,0.64,18.82
2005-03-19,8.22,14.9,0.8,0.37,10.79
2005-03-20,1.35,7.49,-3.73,1.47,4.86
2005-03-21,-0.85,5.48,-5.56,0.04,15.31
2005-03-22,-1.13,4.89,-5.31,0.04,9.95
2005-03-23,-1.83,1.97,-4.42,0.22,16.01
2005-03-24,-0.2,5.76,-4.55,0.02,19.1
2005-03-25,1.08,7.23,-2.96,0.01,21.81
2005-03-26,6.83,14.86,-2.0,0.0,15.94
