date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,19.21,26.78,12.69,0.0,18.66
2004-10-02,16.2,23.77,9.37,0.0,17.79
2004-10-03,14.71,21.47,8.6,0.18,15.86
2004-10-04,13.57,19.3,8.31,0.0,13.36
2004-10-05,12.98,19.75,8.12,0.0,14.39
2004-10-06,13.94,22.54,5.52,0.59,15.29
2004-10-07,14.07,18.45,9.89,1.92,11.63
2004-10-08,12.41,16.75,7.87,3.76,13.24
2004-10-09,12.02,17.22,8.46,0.53,13.83
2004-10-10,14.02,20.93,7.64,0.0,17.1
2004-10-11,15.74,24.34,7.52,0.0,17.15
2004-10-12,14.98,23.21,8.59,0.05,15.03
2004-10-13,10.72,16.19,6.45,0.46,7.06
2004-10-14,11.16,20.14,3.7,0.0,14.58
2004-10-15,15.34,23.99,8.94,0.0,14.2
2004-10-16,15.9,23.05,8.74,0.0,15.1
2004-10-17,17.3,25.4,10.35,0.0,11.87
2004-10-18,18.91,27.94,13.21,0.0,14.84
2004-10-19,16.37,25.44,9.55,0.0,14.76
2004-10-20,15.11,21.74,8.49,0.1,7.91
2004-10-21,13.28,19.27,8.9,0.16,14.42
2004-10-22,13.51,20.5,8.76,0.0,14.43
2004-10-23,13.23,20.86,6.42,0.0,14.97
2004-10-24,13.9,22.51,7.98,0.0,14.56
2004-10-25,14.53,23.08,8.22,0.0,14.67
2004-10-26,14.16,23.54,6.62,0.0,14.41
2004-10-27,16.67,25.68,9.67,0.0,11.63
2004-10-28,16.85,23.15,11.32,0.0,12.48
2004-10-29,15.6,21.69,10.36,0.23,11.55
2004-10-30,15.34,21.98,9.67,0.03,12.45
2004-10-31,15.59,22.27,9.21,0.0,12.59
2004-11-01,15.59,21.87,9.93,0.0,13.42
2004-11-02,15.38,23.43,10.07,0.0,12.73
2004-11-03,12.07,19.48,7.58,0.0,12.89
2004-11-04,9.25,15.81,3.28,0.0,13.17
2004-11-05,6.28,16.74,-0.97,0.0,13.99
2004-11-06,9.85,18.11,2.16,0.0,12.0
2004-11-07,12.25,17.83,7.32,0.37,8.89
2004-11-08,11.76,17.37,7.48,0.23,9.86
2004-11-09,12.17,19.02,6.21,0.03,11.49
2004-11-10,12.73,18.42,7.07,0.02,9.5
2004-11-11,13.01,18.46,8.57,0.02,10.22
2004-11-12,13.39,20.36,7.27,0.0,10.94
2004-11-13,12.51,20.15,6.68,0.0,10.78
2004-11-14,13.09,21.91,6.06,0.3,9.03
2004-11-15,13.28,19.96,9.29,4.02,2.03
2004-11-16,10.36,15.35,7.35,3.23,9.11
2004-11-17,5.99,10.37,0.81,3.44,5.73
2004-11-18,2.64,8.99,-2.21,0.0,11.46
2004-11-19,4.12,13.48,-2.77,0.0,11.67
2004-11-20,8.01,13.29,2.26,7.13,3.5
2004-11-21,0.17,3.24,-2.41,11.05,3.32
2004-11-22,-3.07,-0.5,-6.7,0.88,2.75
2004-11-23,-4.27,0.18,-6.74,0.06,6.1
2004-11-24,-1.32,5.94,-6.78,0.26,6.34
2004-11-25,-1.37,1.48,-5.02,10.18,3.49
2004-11-26,-3.97,0.65,-8.79,0.88,5.47
2004-11-27,-5.51,0.05,-8.67,0.0,4.07
2004-11-28,-3.3,3.74,-8.97,0.0,9.14
2004-11-29,-0.29,6.51,-3.94,0.0,9.73
2004-11-30,2.03,8.67,-2.94,0.03,4.56
2004-12-01,2.94,7.1,-0.65,0.2,6.03
2004-12-02,3.1,7.91,-0.35,0.0,6.16
2004-12-03,5.25,13.0,0.29,0.0,7.82
2004-12-04,6.38,14.6,0.57,0.0,6.73
2004-12-05,4.33,9.02,-0.31,0.75,2.53
2004-12-06,0.95,7.28,-3.24,0.0,8.69
2004-12-07,-0.26,5.46,-3.65,2.04,2.26
2004-12-08,-1.07,4.8,-3.62,0.06,9.97
2004-12-09,-1.06,5.03,-4.14,0.0,9.85
2004-12-10,-1.03,3.63,-3.65,0.0,8.35
2004-12-11,-1.59,2.84,-4.2,0.02,7.09
2004-12-12,-1.1,3.99,-4.05,0.0,9.47
