date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,25.09,31.02,20.43,0.0,20.05
2004-10-02,22.46,29.27,16.98,0.0,19.49
2004-10-03,21.71,28.67,15.95,0.0,19.33
2004-10-04,21.0,27.97,15.51,0.03,17.17
2004-10-05,20.76,27.34,15.42,0.15,16.19
2004-10-06,17.59,21.61,14.31,5.84,8.39
2004-10-07,17.16,19.95,15.05,11.72,8.05
2004-10-08,16.29,19.43,14.31,2.44,8.26
2004-10-09,17.33,22.67,13.44,0.41,15.11
2004-10-10,18.0,24.58,12.76,0.0,17.27
2004-10-11,18.97,25.26,14.38,0.0,18.57
2004-10-12,20.38,27.58,15.3,0.0,18.09
2004-10-13,20.55,27.71,15.19,0.07,14.94
2004-10-14,19.76,24.9,14.64,0.02,16.49
2004-10-15,20.51,27.27,15.38,0.0,16.04
2004-10-16,21.79,28.86,16.24,0.0,15.21
2004-10-17,21.94,28.54,16.37,0.0,16.54
2004-10-18,23.03,28.67,19.74,0.0,16.27
2004-10-19,22.46,28.35,18.43,0.0,16.83
2004-10-20,21.05,27.03,15.88,0.0,12.74
2004-10-21,19.76,26.26,15.25,0.0,16.15
2004-10-22,18.71,25.52,13.09,0.0,16.08
2004-10-23,18.41,25.0,13.09,0.0,16.11
2004-10-24,19.23,24.75,15.39,0.0,15.14
2004-10-25,19.9,26.61,14.84,0.0,14.78
2004-10-26,19.96,26.28,14.33,0.0,14.65
2004-10-27,22.15,28.05,18.74,0.0,13.28
2004-10-28,20.43,25.14,17.63,0.09,12.26
2004-10-29,19.56,24.97,15.93,0.46,12.05
2004-10-30,18.62,25.16,13.72,0.0,13.01
2004-10-31,19.35,26.42,13.34,0.0,14.05
2004-11-01,18.63,25.73,13.01,0.0,14.57
2004-11-02,19.16,26.89,13.06,0.0,14.32
2004-11-03,18.76,25.69,14.1,0.0,13.92
2004-11-04,17.71,24.24,13.07,0.0,11.54
2004-11-05,17.01,23.16,12.2,0.02,13.92
2004-11-06,17.4,20.97,14.91,0.05,9.21
2004-11-07,16.06,18.22,14.81,9.61,10.66
2004-11-08,16.12,17.63,14.62,5.67,6.11
