date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,14.79,22.47,9.62,0.43,17.67
2004-10-02,11.13,15.5,8.49,14.13,12.36
2004-10-03,7.12,10.23,4.7,24.76,5.29
2004-10-04,5.57,9.48,2.56,11.89,7.75
2004-10-05,5.47,11.82,1.11,0.04,15.57
2004-10-06,7.78,15.77,0.09,0.16,16.89
2004-10-07,10.63,19.08,3.81,0.24,15.86
2004-10-08,12.03,19.18,6.3,0.68,15.49
2004-10-09,11.85,18.91,6.53,6.78,10.97
2004-10-10,8.84,12.72,5.01,5.93,13.09
2004-10-11,9.35,15.96,2.78,0.0,16.19
2004-10-12,9.7,16.31,4.35,14.07,15.53
2004-10-13,1.67,3.69,0.04,21.96,5.6
2004-10-14,3.7,9.91,-0.38,0.24,10.86
2004-10-15,7.03,12.47,2.66,0.18,10.86
2004-10-16,7.65,13.42,3.16,0.92,10.59
2004-10-17,8.9,14.4,5.01,0.0,11.69
2004-10-18,10.35,16.69,5.33,0.04,13.24
2004-10-19,11.85,18.03,6.08,0.01,11.63
2004-10-20,10.64,15.37,7.55,1.02,10.29
2004-10-21,4.2,7.99,0.64,24.41,3.96
2004-10-22,1.87,3.38,-0.26,6.93,5.91
2004-10-23,1.44,7.16,-2.51,0.04,11.67
2004-10-24,5.06,12.4,-2.22,0.0,12.51
2004-10-25,5.9,11.72,2.13,0.0,12.82
2004-10-26,7.47,15.21,2.37,0.0,13.72
2004-10-27,8.67,17.41,1.51,0.0,13.21
2004-10-28,9.94,15.94,5.37,0.39,11.22
2004-10-29,10.38,17.23,6.07,0.01,11.04
2004-10-30,8.4,13.17,5.95,1.73,5.55
2004-10-31,7.34,13.06,2.43,0.21,9.52
2004-11-01,8.48,13.77,4.47,0.0,11.77
2004-11-02,6.85,11.37,2.07,0.52,7.35
2004-11-03,4.77,8.45,2.09,30.35,4.21
2004-11-04,0.62,3.57,-2.83,34.95,1.96
2004-11-05,-0.65,3.83,-4.64,0.41,7.7
2004-11-06,0.66,8.29,-4.68,0.05,11.21
2004-11-07,3.22,10.28,-3.12,0.0,11.02
2004-11-08,5.92,12.54,1.28,0.0,10.48
2004-11-09,5.94,13.12,-0.05,0.0,9.56
2004-11-10,5.6,11.47,1.37,1.43,7.72
2004-11-11,5.66,11.64,0.77,0.38,9.0
2004-11-12,5.43,10.21,1.49,0.12,8.56
2004-11-13,4.16,9.85,0.56,0.0,10.59
2004-11-14,4.39,11.11,0.23,0.0,10.95
2004-11-15,4.38,12.96,-1.19,0.0,10.36
2004-11-16,3.79,7.88,0.42,2.39,2.46
2004-11-17,1.04,4.69,-1.21,26.18,2.8
2004-11-18,-2.9,-0.2,-8.51,24.04,4.18
2004-11-19,-6.58,1.83,-14.11,0.0,8.59
2004-11-20,-4.58,1.87,-8.7,0.0,8.98
2004-11-21,-1.04,2.62,-6.37,4.41,2.14
2004-11-22,-1.64,1.65,-7.33,13.08,1.57
2004-11-23,-7.71,-6.05,-9.87,8.78,2.38
2004-11-24,-8.83,-4.58,-11.3,5.45,5.43
2004-11-25,-7.32,-1.49,-14.17,1.54,4.68
2004-11-26,-6.2,-2.55,-8.92,12.23,2.6
2004-11-27,-8.89,-6.17,-12.55,14.79,3.49
2004-11-28,-8.49,-1.95,-13.76,0.1,3.71
2004-11-29,-7.07,-2.01,-10.2,4.53,3.2
2004-11-30,-8.34,-0.51,-14.98,2.26,6.38
2004-12-01,-5.15,-2.48,-6.69,18.64,2.63
2004-12-02,-7.64,-4.67,-14.41,1.64,5.66
2004-12-03,-5.4,0.66,-14.42,0.0,7.77
2004-12-04,-2.71,0.88,-6.67,2.67,5.59
2004-12-05,-4.13,-0.37,-9.78,24.76,3.54
2004-12-06,-8.91,-3.38,-14.75,0.11,8.45
2004-12-07,-10.94,-2.23,-16.69,0.02,8.68
2004-12-08,-7.84,-2.86,-10.99,0.66,7.28
2004-12-09,-10.26,-3.98,-14.83,1.09,7.21
2004-12-10,-7.46,-4.28,-10.75,27.23,3.71
2004-12-11,-8.12,-4.97,-10.54,32.47,5.5
2004-12-12,-9.79,-7.87,-12.48,11.49,4.92
2004-12-13,-8.53,-4.38,-14.35,4.33,5.37
2004-12-14,-8.32,-5.63,-11.38,17.12,3.42
2004-12-15,-11.31,-9.25,-14.47,9.9,6.1
2004-12-16,-12.58,-8.74,-14.96,6.06,7.02
2004-12-17,-12.61,-7.65,-19.3,0.66,6.56
2004-12-18,-14.65,-3.29,-20.13,0.0,8.76
2004-12-19,-10.79,-4.1,-16.99,0.06,8.62
2004-12-20,-8.42,-0.95,-14.54,0.54,6.98
2004-12-21,-4.9,-0.54,-7.96,2.36,2.76
2004-12-22,-5.69,-0.05,-12.69,1.04,7.09
2004-12-23,-5.96,-0.7,-11.83,1.93,4.9
2004-12-24,-5.02,-0.83,-8.29,3.18,4.64
2004-12-25,-5.51,-0.27,-10.35,0.1,6.4
2004-12-26,-7.0,-0.89,-11.86,0.0,8.23
2004-12-27,-4.22,2.55,-11.93,0.0,8.49
2004-12-28,-1.83,1.81,-5.97,0.0,8.8
2004-12-29,-3.02,1.6,-7.67,0.0,8.37
2004-12-30,-2.16,0.96,-5.44,0.0,7.94
2004-12-31,-2.49,1.06,-5.07,0.0,7.52
2005-01-01,-3.05,1.42,-5.72,0.01,8.68
2005-01-02,-3.09,-0.51,-5.03,0.95,4.22
2005-01-03,-5.31,-2.65,-9.72,20.19,4.68
2005-01-04,-8.63,-3.29,-11.88,1.26,7.26
2005-01-05,-8.05,-4.35,-11.02,14.33,3.27
2005-01-06,-9.12,-4.68,-11.56,7.87,5.5
2005-01-07,-7.46,-3.85,-10.08,3.25,5.34
2005-01-08,-8.66,-3.18,-12.55,0.05,7.48
2005-01-09,-9.82,-1.64,-16.28,0.0,9.45
2005-01-10,-7.46,-2.54,-12.71,5.45,6.88
2005-01-11,-7.46,-5.82,-11.01,7.97,5.43
2005-01-12,-7.25,-2.33,-10.98,1.79,4.92
2005-01-13,-6.7,-0.57,-12.63,0.0,9.05
2005-01-14,-8.85,-0.12,-13.18,0.0,10.13
2005-01-15,-9.78,-1.12,-15.78,0.39,9.43
2005-01-16,-7.97,-0.23,-14.69,0.0,9.11
2005-01-17,-6.65,-0.19,-12.59,0.0,9.83
2005-01-18,-9.65,-1.01,-15.97,0.6,8.51
2005-01-19,-9.24,-1.87,-16.41,1.32,9.36
2005-01-20,-9.19,-2.53,-14.62,0.28,8.72
2005-01-21,-11.08,-1.87,-17.19,0.77,10.42
2005-01-22,-7.11,-1.28,-11.1,0.25,9.11
2005-01-23,-6.2,-0.51,-10.56,0.92,9.83
2005-01-24,-7.53,-5.91,-9.01,11.75,5.51
2005-01-25,-8.99,-4.56,-14.61,4.46,6.96
2005-01-26,-5.96,-0.01,-10.97,0.0,8.67
2005-01-27,-6.28,0.24,-11.92,0.0,9.99
2005-01-28,-4.59,0.59,-8.96,0.0,9.32
2005-01-29,-3.45,0.71,-8.34,0.0,8.12
2005-01-30,-2.58,0.34,-7.56,4.15,7.49
2005-01-31,-3.55,-0.22,-8.1,15.17,10.18
2005-02-01,-6.19,-0.65,-11.17,3.58,7.35
2005-02-02,-6.78,-1.73,-10.07,0.65,8.7
2005-02-03,-8.54,-2.45,-16.25,0.2,9.28
2005-02-04,-11.73,-2.13,-17.55,0.12,10.47
2005-02-05,-9.42,-2.27,-17.25,6.29,8.37
2005-02-06,-10.23,-4.64,-15.13,9.55,8.68
2005-02-07,-9.95,-6.44,-14.12,17.85,7.82
2005-02-08,-12.53,-7.45,-16.5,12.42,8.9
2005-02-09,-13.83,-5.89,-23.02,8.98,10.2
2005-02-10,-13.44,-9.9,-17.31,2.65,10.0
2005-02-11,-13.69,-9.17,-17.19,1.82,11.95
2005-02-12,-15.23,-8.17,-20.92,0.14,12.67
2005-02-13,-17.0,-6.24,-24.42,0.07,14.04
2005-02-14,-12.55,-0.91,-24.86,0.0,13.42
2005-02-15,-6.37,0.73,-13.32,0.0,14.32
2005-02-16,-4.15,0.91,-9.38,0.0,14.83
2005-02-17,-3.23,1.06,-7.58,0.0,13.88
2005-02-18,-2.56,1.33,-8.76,0.05,14.18
2005-02-19,-0.55,0.81,-3.55,4.51,11.23
2005-02-20,-0.84,0.37,-5.62,11.31,4.4
2005-02-21,-5.98,-1.44,-12.14,8.97,7.22
2005-02-22,-6.66,-0.94,-12.19,0.0,14.46
2005-02-23,-6.08,-0.23,-12.94,0.0,15.08
2005-02-24,-6.41,0.19,-13.68,0.0,15.45
2005-02-25,-3.77,0.0,-7.88,0.39,14.56
2005-02-26,-3.24,0.72,-10.61,0.29,15.56
