date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,19.47,25.99,14.53,0.0,17.72
2004-10-02,19.55,26.07,15.23,0.02,17.12
2004-10-03,17.73,23.02,13.35,0.06,14.24
2004-10-04,16.34,21.55,11.27,0.04,16.0
2004-10-05,17.32,23.35,12.39,0.01,16.81
2004-10-06,16.55,21.12,13.32,0.45,13.73
2004-10-07,15.18,17.93,13.65,17.56,5.12
2004-10-08,14.65,18.46,12.57,2.35,5.59
2004-10-09,16.65,22.71,11.88,0.87,14.53
2004-10-10,17.53,26.45,9.94,0.0,15.71
2004-10-11,20.14,28.23,13.85,0.03,13.41
2004-10-12,15.5,19.44,11.38,2.93,5.91
2004-10-13,12.77,16.52,9.9,0.51,7.2
2004-10-14,13.42,20.1,8.35,0.0,9.75
2004-10-15,17.24,25.03,10.84,0.0,13.6
2004-10-16,20.69,27.67,14.28,0.0,12.81
2004-10-17,22.57,29.47,17.75,0.0,12.64
2004-10-18,21.47,28.26,16.46,0.0,13.92
2004-10-19,19.75,27.65,13.58,0.0,12.84
2004-10-20,19.61,26.84,15.54,0.0,12.53
2004-10-21,18.12,24.82,13.18,0.0,14.38
2004-10-22,18.11,24.43,13.38,0.0,6.5
2004-10-23,15.11,22.43,9.9,0.0,14.55
2004-10-24,15.03,21.68,10.62,0.0,13.37
2004-10-25,16.46,25.71,10.19,0.0,13.92
2004-10-26,17.59,26.67,11.97,0.0,12.66
2004-10-27,17.84,26.48,11.77,0.0,9.77
2004-10-28,18.07,26.18,12.33,0.0,12.15
2004-10-29,18.44,26.19,13.04,0.0,12.35
2004-10-30,18.35,26.67,12.4,0.0,12.29
2004-10-31,18.18,26.72,11.69,0.0,11.63
2004-11-01,18.76,27.9,13.0,0.0,10.9
2004-11-02,17.52,24.05,13.69,0.0,8.58
2004-11-03,14.99,20.74,11.57,0.0,9.55
2004-11-04,13.51,20.68,9.15,0.0,11.53
2004-11-05,12.19,21.74,5.79,0.0,12.7
2004-11-06,12.47,19.89,8.12,0.04,10.49
2004-11-07,14.16,20.56,10.67,0.14,8.15
2004-11-08,16.11,23.2,9.94,0.27,9.94
2004-11-09,17.38,23.32,13.42,1.63,9.25
2004-11-10,15.84,19.7,12.35,2.27,5.41
2004-11-11,15.86,24.07,10.33,0.01,10.52
2004-11-12,16.11,23.29,12.14,0.0,6.14
2004-11-13,16.71,24.59,11.85,0.0,7.54
2004-11-14,18.95,27.2,12.88,0.13,2.92
2004-11-15,18.19,21.65,13.33,7.87,4.11
2004-11-16,13.04,17.87,8.68,10.92,3.48
2004-11-17,8.02,9.81,5.86,2.06,3.12
2004-11-18,8.13,14.0,4.57,0.0,10.58
2004-11-19,9.43,16.13,2.97,0.0,10.65
2004-11-20,7.58,13.6,2.59,17.7,1.31
2004-11-21,2.47,6.49,-1.35,0.09,8.6
2004-11-22,1.68,4.77,-1.4,0.47,6.39
2004-11-23,2.69,9.26,-3.76,0.0,7.77
2004-11-24,3.71,10.9,-0.06,6.06,1.92
2004-11-25,0.54,2.87,-2.09,0.46,6.84
2004-11-26,0.04,4.43,-3.73,0.22,7.37
2004-11-27,2.18,10.67,-3.8,0.0,9.15
2004-11-28,5.04,12.65,-0.19,0.0,5.6
2004-11-29,8.48,16.26,3.42,0.01,8.76
2004-11-30,10.22,16.6,6.8,0.14,5.43
2004-12-01,11.44,16.47,7.71,0.4,5.42
2004-12-02,11.84,18.27,7.21,0.02,7.45
2004-12-03,13.26,19.59,9.18,0.0,8.27
2004-12-04,13.05,17.6,9.96,0.0,4.28
2004-12-05,9.37,11.19,5.13,2.36,3.86
2004-12-06,7.6,14.06,3.36,0.0,7.81
2004-12-07,6.14,7.43,3.35,11.01,2.75
2004-12-08,5.37,11.2,2.05,0.0,8.86
2004-12-09,5.53,10.24,3.11,0.0,6.64
2004-12-10,4.53,8.48,2.02,0.0,6.75
2004-12-11,4.11,8.17,1.55,0.0,3.84
2004-12-12,3.89,10.26,0.1,0.0,8.75
2004-12-13,4.23,10.72,0.91,0.02,7.9
2004-12-14,3.71,6.89,0.01,0.66,3.13
2004-12-15,1.29,6.14,-1.75,0.0,5.91
2004-12-16,0.7,6.47,-2.72,0.0,7.79
2004-12-17,2.54,10.64,-3.34,0.0,9.06
2004-12-18,8.15,11.58,4.11,0.04,3.48
2004-12-19,9.69,11.24,7.6,3.05,3.02
2004-12-20,9.02,13.6,6.41,5.54,4.52
2004-12-21,7.99,11.0,6.51,6.25,3.29
2004-12-22,5.63,6.94,3.73,10.45,1.53
2004-12-23,3.62,6.39,1.3,0.41,2.8
2004-12-24,2.83,7.9,-0.73,0.0,4.83
2004-12-25,3.91,11.12,-0.6,0.0,8.84
2004-12-26,5.84,14.11,-0.45,0.01,8.54
2004-12-27,10.89,16.71,7.12,0.05,7.51
2004-12-28,12.42,17.95,8.12,2.29,6.59
2004-12-29,12.78,16.5,9.8,7.15,2.17
2004-12-30,8.81,14.07,6.15,0.82,5.94
2004-12-31,7.73,12.42,5.76,2.8,2.05
2005-01-01,8.18,12.42,4.94,2.23,2.47
2005-01-02,4.13,5.53,2.59,0.47,2.34
2005-01-03,3.66,9.32,0.17,0.01,7.15
2005-01-04,1.82,3.11,-0.8,0.89,3.58
2005-01-05,3.04,9.63,-2.25,0.0,6.03
2005-01-06,4.86,13.48,-0.98,0.0,9.16
2005-01-07,4.82,7.46,2.57,1.59,1.83
2005-01-08,5.23,10.56,2.15,0.0,8.66
2005-01-09,5.94,14.5,-0.53,0.0,9.38
2005-01-10,5.71,12.12,2.42,0.0,8.72
2005-01-11,5.94,14.7,1.15,0.0,8.45
2005-01-12,6.78,15.87,2.54,0.0,7.29
2005-01-13,7.02,14.72,2.12,0.0,6.51
2005-01-14,6.13,11.61,2.54,1.18,2.56
2005-01-15,2.93,4.55,1.89,6.57,2.32
2005-01-16,3.53,5.2,2.54,5.06,2.01
2005-01-17,5.62,8.41,4.21,5.67,3.59
2005-01-18,5.05,7.62,3.86,0.38,2.35
2005-01-19,5.66,12.1,1.62,0.02,6.95
2005-01-20,7.24,13.59,2.11,0.06,8.57
2005-01-21,8.21,14.14,3.96,0.24,9.77
2005-01-22,5.01,7.43,1.5,10.3,3.11
2005-01-23,2.3,5.68,-0.19,0.46,8.27
2005-01-24,2.46,8.05,-3.43,1.13,9.26
2005-01-25,9.87,14.22,2.79,0.77,3.34
2005-01-26,13.09,17.66,11.06,0.48,3.84
2005-01-27,11.89,14.5,9.36,15.28,4.1
2005-01-28,9.01,9.97,7.54,13.4,4.09
2005-01-29,11.12,15.67,8.89,25.87,3.85
2005-01-30,4.43,8.77,0.14,6.17,2.85
2005-01-31,-0.18,2.71,-1.9,0.62,4.94
2005-02-01,1.55,6.91,-2.17,0.26,9.56
2005-02-02,3.46,7.41,1.07,3.4,4.35
2005-02-03,6.23,11.59,2.59,14.05,2.6
2005-02-04,3.25,4.92,-0.61,10.5,2.2
2005-02-05,0.63,3.04,-0.96,1.05,3.15
2005-02-06,-1.67,-0.18,-3.01,0.64,5.28
2005-02-07,-1.62,0.3,-2.81,1.72,4.07
2005-02-08,-0.32,2.34,-2.3,0.83,6.11
2005-02-09,-1.25,1.67,-3.24,0.16,6.92
2005-02-10,-1.36,2.38,-3.56,0.83,9.88
2005-02-11,-1.52,2.58,-4.12,0.04,10.72
2005-02-12,0.25,6.66,-4.77,0.01,11.05
2005-02-13,4.73,10.77,-1.71,0.13,8.54
2005-02-14,10.61,15.22,6.59,0.24,7.67
2005-02-15,11.95,16.34,9.38,0.85,5.62
2005-02-16,10.1,13.73,7.11,21.27,3.04
2005-02-17,8.59,12.33,6.11,6.43,7.59
2005-02-18,6.35,9.99,4.14,9.41,5.5
2005-02-19,6.37,10.9,2.92,2.83,10.43
2005-02-20,6.54,10.51,3.05,2.43,9.19
2005-02-21,7.39,12.69,3.27,1.73,9.96
2005-02-22,8.93,14.49,5.31,1.0,14.52
2005-02-23,8.29,12.72,5.15,1.94,7.75
2005-02-24,9.44,16.63,4.6,0.11,15.36
2005-02-25,9.24,15.34,3.8,0.01,14.33
2005-02-26,9.7,16.26,7.3,5.1,5.45
2005-02-27,11.55,16.47,8.43,9.14,9.83
2005-02-28,4.75,7.58,2.24,7.78,4.93
2005-03-01,2.33,4.42,0.78,8.72,2.99
2005-03-02,1.93,3.3,0.79,8.06,2.42
