date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,19.1,25.9,14.15,0.0,19.48
2004-10-02,17.84,24.95,12.4,0.02,18.8
2004-10-03,14.99,21.48,9.41,0.2,18.32
2004-10-04,14.28,20.71,8.72,0.04,13.66
2004-10-05,13.38,22.05,5.3,0.0,19.27
2004-10-06,14.79,23.72,9.75,0.1,15.23
2004-10-07,16.34,24.68,9.16,0.0,16.79
2004-10-08,16.94,23.41,12.2,1.56,14.03
2004-10-09,15.35,22.44,8.3,0.14,16.23
2004-10-10,12.26,18.95,7.31,0.0,18.23
2004-10-11,13.23,20.96,7.37,0.0,17.42
2004-10-12,13.37,21.46,7.97,0.03,14.54
2004-10-13,12.3,17.37,8.75,0.5,9.18
2004-10-14,11.97,19.87,3.64,0.15,15.95
2004-10-15,13.73,19.96,9.44,0.06,15.85
2004-10-16,13.7,20.01,8.15,0.08,14.55
2004-10-17,13.98,19.9,8.99,0.0,15.13
2004-10-18,14.31,21.98,7.7,0.0,16.57
2004-10-19,14.64,22.33,7.31,0.0,16.42
2004-10-20,14.65,21.61,8.91,0.0,15.84
2004-10-21,7.35,11.51,2.08,10.13,3.6
2004-10-22,5.68,13.67,-0.74,0.74,10.96
2004-10-23,7.19,15.97,-1.3,0.0,16.33
2004-10-24,8.31,16.95,0.66,0.0,15.7
2004-10-25,10.03,17.63,3.83,0.0,15.23
2004-10-26,10.76,18.8,4.0,0.0,15.37
2004-10-27,12.61,20.61,5.91,0.0,13.87
2004-10-28,12.9,19.04,8.52,0.01,9.07
2004-10-29,12.63,20.61,6.43,0.81,12.45
2004-10-30,9.58,11.78,7.63,6.92,4.46
2004-10-31,8.82,13.2,6.09,1.33,7.14
2004-11-01,9.53,16.42,3.73,0.0,13.16
2004-11-02,9.92,16.1,4.98,0.0,13.06
2004-11-03,8.9,15.14,3.92,0.16,12.31
2004-11-04,6.27,10.58,1.3,16.83,3.74
2004-11-05,4.82,12.43,-1.93,0.0,14.24
2004-11-06,5.26,11.46,0.92,0.33,10.47
2004-11-07,6.2,10.98,1.98,2.34,7.32
2004-11-08,7.74,11.8,4.07,0.37,7.63
2004-11-09,7.93,12.28,5.82,3.02,4.55
2004-11-10,7.61,12.02,5.04,0.17,9.39
2004-11-11,7.32,12.7,4.09,0.29,8.68
2004-11-12,7.17,14.27,1.59,0.39,12.18
2004-11-13,6.87,14.26,-0.32,0.0,12.27
2004-11-14,7.26,13.86,1.99,0.0,12.35
2004-11-15,6.69,12.95,2.64,0.02,11.56
2004-11-16,5.18,9.61,2.78,16.63,2.31
2004-11-17,4.8,7.56,2.48,32.47,2.04
2004-11-18,1.64,4.84,-3.4,10.79,7.64
2004-11-19,1.5,8.0,-3.95,0.0,11.51
2004-11-20,1.08,5.3,-1.62,0.02,7.29
2004-11-21,0.73,3.29,-1.69,11.49,2.12
2004-11-22,-1.33,0.66,-5.32,47.33,0.83
2004-11-23,-8.82,-4.69,-18.13,3.78,4.88
2004-11-24,-13.05,-5.25,-19.14,0.07,8.67
