date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,18.43,25.74,13.31,0.0,18.88
2004-10-02,17.74,24.93,10.65,0.06,16.82
2004-10-03,14.06,20.46,7.66,0.46,10.9
2004-10-04,11.78,20.22,4.86,0.03,12.41
2004-10-05,11.78,20.82,3.46,0.0,19.04
2004-10-06,13.21,22.49,5.88,0.25,13.68
2004-10-07,14.83,23.66,7.08,0.01,16.15
2004-10-08,15.44,22.23,9.06,2.98,14.37
2004-10-09,14.12,20.81,8.88,0.78,12.52
2004-10-10,12.11,18.58,6.79,0.0,14.06
2004-10-11,12.98,19.8,7.76,0.0,17.8
2004-10-12,13.52,20.32,8.35,0.01,16.27
2004-10-13,11.7,19.63,5.56,0.08,14.82
2004-10-14,11.19,19.17,3.32,0.02,14.22
2004-10-15,13.02,18.65,8.77,0.18,14.01
2004-10-16,13.14,19.15,7.61,0.15,13.32
2004-10-17,13.38,19.93,7.2,0.0,14.74
2004-10-18,14.54,21.97,9.38,0.0,16.13
2004-10-19,15.08,22.34,10.22,0.0,14.36
2004-10-20,14.79,21.56,10.54,0.0,14.63
2004-10-21,7.43,10.02,0.13,3.48,5.74
2004-10-22,4.08,13.71,-3.2,0.12,13.1
2004-10-23,6.28,16.07,-3.26,0.0,16.46
2004-10-24,8.53,16.02,1.9,0.0,14.84
2004-10-25,10.12,17.88,4.26,0.0,14.83
2004-10-26,10.78,18.92,4.67,0.0,15.05
2004-10-27,13.1,20.91,7.07,0.0,13.45
2004-10-28,13.8,19.9,9.75,0.01,11.18
2004-10-29,12.64,20.3,8.42,1.24,11.83
2004-10-30,9.09,11.48,7.43,10.53,3.9
2004-10-31,8.43,13.56,4.96,0.66,8.05
2004-11-01,9.72,16.45,4.27,0.0,11.8
2004-11-02,10.23,16.79,6.01,0.0,12.23
2004-11-03,9.33,15.52,3.91,0.02,11.61
2004-11-04,4.98,8.76,-2.23,1.96,8.72
2004-11-05,3.94,11.97,-3.36,0.0,13.72
2004-11-06,5.0,11.11,0.74,0.36,13.01
2004-11-07,5.93,11.27,2.35,1.02,4.66
2004-11-08,6.58,11.71,2.73,0.5,6.88
2004-11-09,7.29,11.44,4.46,1.24,7.53
2004-11-10,6.9,12.22,3.45,0.02,9.39
2004-11-11,7.07,13.07,2.21,0.03,8.24
2004-11-12,7.6,15.33,1.33,0.04,11.43
2004-11-13,7.02,14.29,0.37,0.0,12.28
2004-11-14,6.88,13.64,1.4,0.0,10.67
2004-11-15,6.75,13.02,2.24,0.09,11.06
2004-11-16,4.94,7.3,2.55,10.57,2.85
2004-11-17,4.36,6.1,0.95,16.31,1.78
2004-11-18,-0.99,3.91,-7.83,6.42,9.08
2004-11-19,-1.18,6.07,-7.91,0.0,10.75
2004-11-20,0.25,4.6,-2.4,0.12,9.15
2004-11-21,0.17,1.34,-1.13,25.59,1.89
2004-11-22,-1.51,-0.04,-4.76,44.97,1.54
2004-11-23,-10.15,-5.79,-19.63,0.88,8.03
2004-11-24,-13.53,-5.1,-20.97,0.03,9.54
2004-11-25,-9.24,-4.77,-15.55,7.21,3.52
