date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,18.83,25.44,14.21,0.0,20.01
2004-10-02,17.65,23.15,13.67,0.11,18.91
2004-10-03,15.11,20.7,9.28,0.57,17.77
2004-10-04,12.98,18.77,8.08,0.9,12.09
2004-10-05,12.62,18.86,6.73,0.1,18.3
2004-10-06,13.25,20.71,6.48,0.17,15.38
2004-10-07,15.41,22.39,8.06,0.04,16.25
2004-10-08,17.37,22.16,13.47,1.63,14.86
2004-10-09,16.11,22.9,10.61,0.16,16.12
2004-10-10,12.42,18.19,8.74,0.0,18.61
2004-10-11,12.81,18.22,8.9,0.0,18.55
2004-10-12,13.1,19.07,8.98,0.2,15.31
2004-10-13,12.61,17.27,9.55,2.75,8.62
2004-10-14,11.97,16.92,6.93,1.08,15.23
2004-10-15,12.83,17.77,9.55,0.35,14.83
2004-10-16,12.44,16.86,7.93,0.99,14.64
2004-10-17,13.09,16.95,9.77,0.05,14.71
2004-10-18,13.87,19.08,10.28,0.0,16.31
2004-10-19,13.59,19.53,9.03,0.0,16.23
2004-10-20,14.1,19.73,10.69,0.0,15.32
2004-10-21,8.68,13.19,2.66,19.27,4.83
2004-10-22,4.9,10.82,-0.66,1.56,11.86
2004-10-23,7.17,13.01,1.8,0.0,15.64
2004-10-24,8.9,15.35,3.21,0.0,15.82
2004-10-25,9.32,15.07,5.09,0.0,14.3
2004-10-26,10.0,15.7,5.56,0.0,15.8
2004-10-27,10.87,17.56,4.88,0.0,14.7
2004-10-28,11.32,16.8,6.57,0.13,10.74
2004-10-29,11.62,17.38,6.57,0.18,12.54
2004-10-30,9.69,12.42,6.9,4.25,3.66
2004-10-31,8.59,11.77,5.15,4.61,8.24
2004-11-01,9.84,14.74,5.22,0.01,11.07
2004-11-02,9.9,14.62,5.84,0.0,11.58
2004-11-03,8.45,12.83,4.72,0.13,11.3
2004-11-04,5.86,9.84,2.14,13.31,2.94
2004-11-05,5.18,9.89,1.15,0.04,11.82
2004-11-06,6.19,10.45,3.29,0.09,10.7
2004-11-07,6.79,10.74,4.3,1.28,7.7
2004-11-08,7.68,12.33,4.25,1.38,7.59
2004-11-09,8.49,13.31,5.36,1.11,4.62
2004-11-10,7.57,11.33,5.19,1.19,9.27
2004-11-11,7.59,11.2,4.56,1.5,8.06
2004-11-12,7.76,12.97,3.43,3.18,10.82
2004-11-13,6.92,12.32,1.59,0.0,10.36
2004-11-14,7.09,11.75,2.83,0.0,11.29
2004-11-15,7.05,11.46,4.08,0.0,11.33
2004-11-16,5.86,10.22,3.28,6.29,2.69
2004-11-17,5.17,9.24,2.83,22.16,3.34
2004-11-18,0.51,3.58,-4.89,9.81,5.46
2004-11-19,0.39,5.84,-4.86,0.01,9.12
2004-11-20,0.53,4.14,-2.1,0.01,7.43
2004-11-21,1.13,5.55,-1.97,1.09,4.26
2004-11-22,1.01,5.71,-2.09,16.04,2.38
2004-11-23,-5.89,-2.73,-12.02,6.87,3.28
2004-11-24,-9.86,-4.61,-12.82,0.25,4.08
2004-11-25,-5.97,-1.78,-10.55,0.44,4.96
2004-11-26,-3.4,0.55,-6.54,10.92,1.64
2004-11-27,-6.99,-2.83,-14.83,6.09,2.59
2004-11-28,-12.31,-5.37,-18.67,0.07,5.8
2004-11-29,-11.49,-4.36,-16.57,0.0,6.25
2004-11-30,-10.54,-2.49,-15.39,0.0,5.83
2004-12-01,-10.61,-4.81,-14.41,1.1,5.0
2004-12-02,-10.47,-3.0,-16.21,0.33,9.85
2004-12-03,-10.12,-2.04,-15.77,0.0,9.73
2004-12-04,-6.93,-0.5,-11.68,0.0,10.13
2004-12-05,-5.85,-0.95,-10.53,2.91,4.71
2004-12-06,-6.67,-0.78,-12.66,0.71,8.36
2004-12-07,-9.71,-2.93,-15.51,0.02,7.53
2004-12-08,-7.41,-0.43,-11.66,0.09,6.91
2004-12-09,-10.11,-1.68,-17.19,0.0,9.12
