date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,16.82,21.44,13.68,0.0,14.54
2004-10-02,15.88,21.41,11.49,0.1,18.11
2004-10-03,13.87,17.3,11.36,3.39,8.5
2004-10-04,14.19,19.06,11.28,0.1,13.26
2004-10-05,14.73,21.17,8.96,0.0,14.54
2004-10-06,14.34,19.72,10.11,0.16,16.24
2004-10-07,15.47,19.79,12.1,2.22,7.66
2004-10-08,14.57,18.68,11.77,4.33,8.99
2004-10-09,13.96,16.99,10.53,7.14,6.86
2004-10-10,15.87,23.33,10.21,0.0,17.08
2004-10-11,18.87,27.08,13.36,0.0,15.93
2004-10-12,12.19,15.33,9.66,7.88,7.01
2004-10-13,11.38,16.37,7.93,0.38,5.81
2004-10-14,11.57,16.84,7.68,0.0,9.46
2004-10-15,14.2,21.2,10.26,0.0,14.73
2004-10-16,17.26,23.48,12.42,0.02,13.2
2004-10-17,20.27,26.98,16.49,0.08,11.74
2004-10-18,18.98,25.35,15.22,0.0,15.17
2004-10-19,17.84,23.07,13.33,0.0,12.7
2004-10-20,15.7,20.39,12.48,3.39,6.2
2004-10-21,13.73,18.86,10.48,0.18,14.26
2004-10-22,12.79,18.23,8.33,0.0,12.7
2004-10-23,12.65,19.25,8.34,0.0,14.94
2004-10-24,13.09,18.92,9.62,0.0,14.25
2004-10-25,15.33,22.57,11.54,0.0,14.27
2004-10-26,16.82,25.39,11.24,0.0,14.36
2004-10-27,17.65,25.99,12.12,0.0,10.86
2004-10-28,17.04,23.59,13.32,0.0,12.33
2004-10-29,16.84,22.94,13.72,0.01,10.94
2004-10-30,15.76,21.86,11.64,0.0,12.19
2004-10-31,16.68,23.63,12.28,0.0,12.71
2004-11-01,17.42,23.94,12.18,0.0,12.74
2004-11-02,15.96,20.78,12.28,0.11,12.04
2004-11-03,12.37,16.27,10.06,0.54,10.25
2004-11-04,11.21,17.32,7.13,0.07,13.3
2004-11-05,10.89,18.03,6.49,0.0,13.31
2004-11-06,11.09,18.74,4.67,0.0,12.71
2004-11-07,12.29,18.79,9.04,0.07,5.82
2004-11-08,14.84,22.44,9.5,0.0,10.57
2004-11-09,16.23,23.24,12.52,0.0,9.36
2004-11-10,15.82,20.92,13.24,0.02,9.02
2004-11-11,15.32,20.4,12.95,0.27,7.29
2004-11-12,14.81,20.48,11.81,0.03,10.06
2004-11-13,15.48,22.54,11.31,0.0,10.69
2004-11-14,18.35,25.01,13.56,0.16,9.1
2004-11-15,17.14,21.03,13.93,1.85,3.53
2004-11-16,12.13,16.38,8.06,11.88,4.58
2004-11-17,6.9,8.26,5.8,6.92,4.94
2004-11-18,7.88,13.18,4.99,0.01,10.58
2004-11-19,9.71,16.63,4.79,0.0,11.38
2004-11-20,7.18,12.64,2.42,21.67,1.39
2004-11-21,2.37,4.87,0.13,2.3,4.04
2004-11-22,1.51,2.27,0.75,12.97,3.39
2004-11-23,1.63,3.9,-0.24,5.1,6.6
2004-11-24,2.46,4.52,0.48,16.77,3.81
2004-11-25,0.71,2.96,-1.76,12.91,3.35
2004-11-26,0.88,2.31,-0.41,6.45,3.03
2004-11-27,0.38,4.77,-4.18,0.09,3.88
2004-11-28,1.86,5.29,-0.88,0.01,7.6
2004-11-29,4.44,7.79,2.27,0.0,8.58
2004-11-30,7.61,10.67,4.42,1.46,3.94
2004-12-01,7.91,11.75,4.84,5.49,4.9
2004-12-02,8.29,13.14,4.7,0.01,5.77
2004-12-03,11.18,16.9,7.75,0.11,6.61
2004-12-04,10.87,14.26,8.96,0.89,5.21
2004-12-05,7.56,11.25,3.32,1.38,4.29
2004-12-06,6.15,12.14,2.1,0.0,8.2
2004-12-07,4.95,6.42,3.18,9.38,2.91
2004-12-08,4.57,9.26,1.23,0.22,9.04
2004-12-09,3.41,7.38,-0.39,0.07,7.5
2004-12-10,3.27,6.1,2.0,0.45,5.55
2004-12-11,3.01,4.89,1.96,5.69,4.04
