date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,18.43,26.31,12.8,0.0,20.4
2004-10-02,15.95,24.59,9.26,0.0,19.83
2004-10-03,14.08,22.03,7.25,0.0,19.75
2004-10-04,14.08,22.28,6.31,0.08,18.17
2004-10-05,14.32,20.81,8.67,3.48,12.31
2004-10-06,12.25,17.56,7.43,3.95,7.9
2004-10-07,12.09,15.66,9.98,8.71,10.56
2004-10-08,11.3,14.9,8.84,4.74,11.57
2004-10-09,12.31,18.24,7.18,0.88,15.88
2004-10-10,13.86,20.48,7.73,0.0,18.35
2004-10-11,15.35,23.01,9.64,0.0,18.31
2004-10-12,15.93,23.25,10.62,0.0,17.05
2004-10-13,14.56,21.4,9.11,0.11,12.43
2004-10-14,14.87,22.12,8.2,0.03,16.19
2004-10-15,15.76,22.92,10.3,0.0,15.28
2004-10-16,16.51,22.54,11.1,0.0,15.01
2004-10-17,17.79,24.95,12.59,0.0,14.17
2004-10-18,17.69,25.43,11.7,0.0,16.51
2004-10-19,16.47,24.51,10.1,0.0,16.42
2004-10-20,15.75,23.43,10.36,0.0,14.86
2004-10-21,14.73,20.84,9.84,0.0,16.16
2004-10-22,15.01,21.62,9.86,0.0,16.07
2004-10-23,14.3,21.88,8.6,0.0,15.82
2004-10-24,15.03,21.71,9.38,0.0,14.35
2004-10-25,15.49,21.47,10.28,0.0,14.02
2004-10-26,14.45,21.57,9.56,0.0,14.98
2004-10-27,15.52,22.84,10.31,0.0,12.5
2004-10-28,14.84,20.84,9.74,0.0,12.29
2004-10-29,14.17,21.0,9.57,0.0,13.76
2004-10-30,14.36,20.77,9.11,0.0,13.58
2004-10-31,14.04,21.07,8.39,0.0,14.39
2004-11-01,13.83,20.91,8.31,0.0,14.47
2004-11-02,14.23,22.06,8.62,0.0,14.23
2004-11-03,13.72,21.06,7.93,0.0,13.68
2004-11-04,11.2,18.73,5.12,0.02,13.26
2004-11-05,11.05,18.69,3.35,0.5,12.41
2004-11-06,11.25,14.28,9.32,1.25,7.04
2004-11-07,10.58,15.24,6.73,3.41,9.01
2004-11-08,10.68,14.58,7.59,4.4,8.91
2004-11-09,10.01,14.78,7.14,7.05,8.43
2004-11-10,10.74,13.95,8.25,3.99,9.72
2004-11-11,11.56,15.89,8.87,0.0,12.33
2004-11-12,12.71,18.44,7.4,0.0,12.47
2004-11-13,12.7,19.0,8.41,0.0,12.17
2004-11-14,10.96,16.09,6.19,1.08,5.92
2004-11-15,11.28,15.57,7.08,21.57,4.41
2004-11-16,9.17,13.86,6.17,4.16,7.48
2004-11-17,5.29,8.54,0.9,8.22,4.08
2004-11-18,3.23,10.05,-2.67,0.0,13.29
2004-11-19,4.77,12.89,-0.25,0.32,12.58
2004-11-20,7.65,12.01,3.28,15.85,5.0
2004-11-21,2.32,9.19,-4.5,4.53,8.34
2004-11-22,-4.14,-0.63,-6.85,0.0,7.73
2004-11-23,-2.76,2.04,-5.63,0.0,12.09
2004-11-24,1.0,7.19,-3.25,3.91,7.54
2004-11-25,-0.42,3.71,-4.99,9.49,4.23
2004-11-26,-4.64,-0.71,-7.48,0.03,8.61
2004-11-27,-3.48,2.37,-7.83,0.0,11.86
2004-11-28,0.84,7.82,-3.28,0.03,11.43
2004-11-29,2.05,8.06,-1.22,0.42,5.42
2004-11-30,4.07,10.13,0.68,0.07,7.87
2004-12-01,4.09,9.31,0.96,0.37,6.78
2004-12-02,5.88,12.6,0.67,0.0,9.7
2004-12-03,7.52,13.97,3.05,0.0,10.1
2004-12-04,8.18,15.62,3.7,0.0,8.86
2004-12-05,5.76,8.92,3.14,1.37,3.83
2004-12-06,5.27,10.84,2.24,0.08,10.07
2004-12-07,3.79,9.62,-1.27,2.27,4.97
2004-12-08,-0.19,6.11,-4.03,0.0,10.97
2004-12-09,2.29,8.67,-2.3,0.0,10.29
2004-12-10,2.44,9.81,-2.63,0.03,8.03
2004-12-11,1.12,7.77,-4.79,0.75,9.43
2004-12-12,-1.21,5.27,-5.05,0.0,11.01
2004-12-13,0.91,8.42,-2.99,0.0,11.13
2004-12-14,-0.15,5.85,-4.26,0.0,10.72
2004-12-15,-3.89,0.07,-5.85,0.0,11.38
2004-12-16,-4.19,1.5,-8.88,0.0,10.88
2004-12-17,-1.18,6.23,-6.03,0.0,9.81
2004-12-18,1.02,2.92,-1.65,5.77,2.94
2004-12-19,1.11,1.67,0.33,34.72,3.18
2004-12-20,1.64,2.81,0.74,12.88,5.53
2004-12-21,2.64,4.67,1.41,12.28,5.41
2004-12-22,2.5,5.5,0.61,16.03,3.63
2004-12-23,2.1,5.61,-0.45,1.74,6.23
2004-12-24,-0.25,4.78,-3.88,0.54,8.32
2004-12-25,-1.18,4.91,-4.88,0.0,10.72
2004-12-26,1.81,9.44,-2.74,0.0,10.68
2004-12-27,3.4,8.32,0.57,0.01,3.97
2004-12-28,4.78,9.21,2.11,0.01,5.51
2004-12-29,5.23,7.77,1.76,0.28,7.22
2004-12-30,6.7,9.67,4.79,0.23,6.29
2004-12-31,5.6,11.67,2.35,0.44,8.78
2005-01-01,3.98,9.92,0.76,0.5,7.41
2005-01-02,1.27,5.49,-1.9,2.57,6.82
2005-01-03,-0.33,4.9,-2.96,0.0,9.41
2005-01-04,-0.99,4.41,-4.09,0.02,7.21
2005-01-05,-1.83,3.22,-4.61,0.0,9.97
2005-01-06,-0.38,5.31,-3.57,0.0,11.35
2005-01-07,1.47,7.18,-1.49,0.04,9.56
2005-01-08,-0.08,6.25,-3.24,0.06,11.0
2005-01-09,0.88,8.37,-3.98,0.0,11.58
2005-01-10,2.52,9.64,-0.55,0.0,11.01
2005-01-11,2.48,9.37,-1.37,0.0,11.36
2005-01-12,4.83,12.0,0.23,0.0,10.9
2005-01-13,4.47,10.92,1.64,0.0,10.79
2005-01-14,3.02,5.69,1.59,1.25,6.04
2005-01-15,1.1,3.43,-0.95,14.36,4.31
2005-01-16,0.75,2.61,-0.76,35.05,2.36
2005-01-17,0.06,1.12,-1.34,16.11,4.2
2005-01-18,-0.47,2.74,-3.74,3.06,8.73
2005-01-19,-1.1,3.66,-4.9,0.7,7.91
2005-01-20,0.77,3.36,-2.45,5.01,8.26
2005-01-21,2.37,4.24,1.19,16.5,6.0
2005-01-22,1.7,5.01,-1.19,4.47,6.03
2005-01-23,-0.55,3.6,-6.25,8.06,5.05
2005-01-24,-3.17,2.33,-6.9,0.0,11.41
2005-01-25,0.78,3.85,-4.08,8.55,2.76
2005-01-26,4.23,6.43,3.14,10.55,9.09
2005-01-27,5.07,8.19,2.96,2.06,8.74
2005-01-28,6.56,9.59,4.77,3.11,6.87
2005-01-29,8.4,13.77,5.58,1.98,8.7
2005-01-30,4.35,9.04,-1.54,2.66,8.31
2005-01-31,1.06,6.06,-2.05,5.68,8.57
2005-02-01,-1.07,3.16,-3.93,0.53,10.45
2005-02-02,-0.64,4.15,-4.24,0.36,10.09
2005-02-03,1.17,3.63,-0.98,24.84,3.95
2005-02-04,-1.14,2.41,-4.7,6.61,10.06
2005-02-05,-2.17,2.18,-6.03,0.93,6.68
2005-02-06,-5.03,0.14,-8.14,0.0,10.79
2005-02-07,-5.72,-1.61,-8.81,0.35,12.68
2005-02-08,-5.92,-1.06,-9.92,0.02,13.03
2005-02-09,-7.06,-0.86,-11.82,0.02,15.18
2005-02-10,-4.56,0.53,-8.03,0.01,14.41
2005-02-11,-5.36,1.2,-11.4,0.0,15.43
2005-02-12,-4.32,1.55,-10.66,0.01,15.16
2005-02-13,-1.54,4.81,-7.43,0.28,14.47
2005-02-14,1.87,4.42,-1.55,15.85,6.72
2005-02-15,3.65,5.34,2.41,5.4,8.14
2005-02-16,4.56,6.52,1.2,8.64,6.92
2005-02-17,3.35,9.42,-0.79,4.09,7.94
2005-02-18,4.34,8.97,-0.2,30.2,6.66
2005-02-19,2.36,9.03,-1.62,0.09,14.02
2005-02-20,1.08,5.26,-2.13,0.9,11.05
2005-02-21,1.38,6.53,-2.44,0.79,9.83
2005-02-22,3.6,10.13,-1.06,0.64,13.61
2005-02-23,4.51,8.79,2.06,0.61,9.66
2005-02-24,4.85,10.62,0.61,0.28,12.59
2005-02-25,5.17,11.93,0.71,0.0,15.92
2005-02-26,3.0,6.95,0.49,1.07,7.73
2005-02-27,4.55,9.62,0.45,1.8,8.49
2005-02-28,5.01,9.02,2.11,5.08,7.38
2005-03-01,7.26,11.9,4.0,3.6,6.13
2005-03-02,9.52,14.96,6.61,1.88,6.72
2005-03-03,5.01,9.29,-0.63,7.51,8.36
2005-03-04,2.83,10.54,-4.17,0.02,20.16
2005-03-05,3.88,9.38,-0.33,4.26,4.57
2005-03-06,6.21,10.24,3.07,8.88,7.15
2005-03-07,7.35,13.21,3.09,4.33,10.9
2005-03-08,3.94,9.2,0.02,10.78,7.93
2005-03-09,1.11,5.13,-1.37,1.58,10.79
2005-03-10,-1.17,2.43,-3.77,0.62,15.23
2005-03-11,-1.61,2.57,-6.2,2.17,8.65
2005-03-12,-0.85,6.18,-6.99,0.0,21.35
2005-03-13,1.72,8.14,-2.78,0.0,21.14
2005-03-14,4.04,10.7,-1.18,0.0,14.96
2005-03-15,5.3,11.73,-0.61,0.0,20.87
2005-03-16,5.43,12.01,-0.16,0.0,19.89
2005-03-17,5.44,12.94,-1.83,0.0,22.15
2005-03-18,7.59,15.68,1.86,0.0,22.16
