date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,21.49,24.39,18.35,0.0,17.9
2004-10-02,21.65,24.42,19.51,0.01,17.15
2004-10-03,19.61,21.53,17.77,0.26,13.1
2004-10-04,18.7,20.77,16.85,0.06,15.1
2004-10-05,18.88,21.11,17.03,0.03,14.88
2004-10-06,18.11,20.12,16.55,1.5,13.62
2004-10-07,16.94,18.3,15.56,20.1,4.64
2004-10-08,16.39,18.38,14.77,0.42,11.4
2004-10-09,18.19,21.87,15.14,0.16,16.25
2004-10-10,19.35,25.19,14.44,0.0,15.96
2004-10-11,20.43,25.32,16.37,0.36,12.42
2004-10-12,15.89,18.6,14.13,6.27,3.71
2004-10-13,14.92,16.73,13.92,0.65,5.21
2004-10-14,15.28,17.43,13.91,0.0,7.44
2004-10-15,16.96,21.32,13.86,0.0,12.92
2004-10-16,20.03,24.86,15.72,0.0,12.15
2004-10-17,22.17,26.42,18.64,0.0,13.67
2004-10-18,21.22,25.29,18.19,0.0,14.39
2004-10-19,20.35,25.35,16.72,0.03,13.26
2004-10-20,20.23,23.68,17.68,0.0,12.9
2004-10-21,18.79,21.31,16.31,0.0,14.55
2004-10-22,18.49,21.28,16.27,0.01,7.02
2004-10-23,16.94,19.7,14.95,0.0,14.69
2004-10-24,17.32,20.39,15.08,0.0,13.62
2004-10-25,17.64,20.54,15.41,0.03,14.12
2004-10-26,17.5,20.66,15.17,0.0,13.12
2004-10-27,18.43,24.04,15.15,0.0,10.26
2004-10-28,19.09,23.57,15.29,0.0,12.08
2004-10-29,19.04,22.94,16.36,0.03,12.76
2004-10-30,19.03,23.35,16.21,0.0,12.17
2004-10-31,19.21,23.88,15.42,0.0,10.97
2004-11-01,18.94,22.95,15.73,0.0,11.08
2004-11-02,17.64,19.89,15.55,0.0,6.88
2004-11-03,16.15,18.15,14.62,0.0,8.23
2004-11-04,15.17,17.56,13.79,0.0,8.88
2004-11-05,15.09,17.86,13.29,0.0,12.17
2004-11-06,14.66,16.69,13.07,0.0,9.76
2004-11-07,14.78,17.03,12.99,0.01,8.96
2004-11-08,16.67,20.75,13.17,0.49,8.45
2004-11-09,18.23,21.87,15.13,1.54,7.3
2004-11-10,17.41,19.66,15.4,1.65,5.61
