date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,19.79,28.06,13.74,0.05,15.83
2004-10-02,17.23,24.28,12.61,0.09,15.02
2004-10-03,14.8,20.71,10.29,0.23,10.22
2004-10-04,12.58,17.66,8.65,0.06,11.17
2004-10-05,11.31,16.73,7.58,0.05,11.82
2004-10-06,12.2,20.48,6.16,0.54,15.28
2004-10-07,16.54,23.88,9.94,0.93,14.28
2004-10-08,16.16,21.25,11.74,5.07,14.74
2004-10-09,14.24,18.57,10.26,2.68,11.42
2004-10-10,13.68,21.22,7.22,0.0,16.9
2004-10-11,15.29,25.04,7.29,0.0,16.29
2004-10-12,12.78,21.55,6.84,0.91,11.85
2004-10-13,6.8,11.59,1.86,0.88,6.13
2004-10-14,7.69,15.37,0.42,0.0,10.87
2004-10-15,14.15,22.63,6.13,0.0,13.81
2004-10-16,15.88,23.12,10.04,0.0,12.95
2004-10-17,16.61,24.98,9.59,0.01,11.26
2004-10-18,18.64,28.82,10.92,0.0,14.13
2004-10-19,17.57,25.74,11.97,0.0,13.74
2004-10-20,14.03,19.02,10.19,2.38,6.3
2004-10-21,11.39,18.7,5.29,0.29,15.28
2004-10-22,9.97,18.48,4.75,0.0,12.14
2004-10-23,10.82,19.27,4.41,0.0,15.14
2004-10-24,13.37,22.21,6.61,0.0,13.52
2004-10-25,13.37,22.25,5.83,0.0,14.45
2004-10-26,15.26,24.13,8.19,0.0,14.3
2004-10-27,16.26,25.72,8.99,0.0,11.36
2004-10-28,16.46,24.24,9.57,0.01,12.19
2004-10-29,16.27,21.88,11.78,0.17,10.77
2004-10-30,15.46,22.45,10.47,0.07,11.76
2004-10-31,15.21,22.21,9.48,0.0,12.65
2004-11-01,15.0,22.63,8.53,0.0,12.98
2004-11-02,15.15,24.52,9.16,0.01,12.33
2004-11-03,11.8,18.71,7.18,0.32,11.1
2004-11-04,7.13,14.03,1.22,0.17,13.05
2004-11-05,5.4,15.02,-1.43,0.0,12.71
2004-11-06,8.47,17.28,1.46,0.0,13.06
2004-11-07,9.41,16.05,5.25,0.03,8.1
2004-11-08,11.5,20.14,4.31,0.0,10.43
2004-11-09,13.26,20.41,7.16,0.0,9.87
2004-11-10,13.99,19.89,9.25,0.0,10.0
2004-11-11,13.68,20.6,9.19,0.01,10.6
2004-11-12,12.32,20.57,6.82,0.0,10.49
2004-11-13,12.95,20.41,7.21,0.0,11.0
2004-11-14,12.9,22.02,6.47,0.0,10.82
2004-11-15,13.56,20.63,9.12,0.48,5.03
