date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,19.44,26.34,13.12,0.0,20.4
2004-10-02,17.3,26.78,9.28,0.0,19.83
2004-10-03,15.78,25.06,8.05,0.0,19.75
2004-10-04,15.55,24.22,7.59,0.0,18.17
2004-10-05,15.18,22.59,9.39,8.56,12.31
2004-10-06,12.48,17.4,8.85,8.04,7.9
2004-10-07,10.95,14.3,8.24,8.01,10.56
2004-10-08,11.03,15.54,8.34,7.18,11.57
2004-10-09,12.58,19.69,6.95,1.02,15.88
2004-10-10,13.75,21.72,6.63,0.0,18.35
2004-10-11,15.36,23.44,9.61,0.0,18.31
2004-10-12,16.58,24.35,11.14,0.0,17.05
2004-10-13,15.82,23.25,9.71,0.01,12.43
2004-10-14,15.32,21.91,10.8,0.0,16.19
2004-10-15,16.36,23.16,11.9,0.0,15.28
2004-10-16,17.05,23.83,12.13,0.0,15.01
2004-10-17,17.69,24.77,12.95,0.0,14.17
2004-10-18,17.4,24.76,12.73,0.0,16.51
2004-10-19,16.91,24.46,12.01,0.0,16.42
2004-10-20,16.41,24.46,10.29,0.0,14.86
2004-10-21,15.48,22.59,9.9,0.0,16.16
2004-10-22,15.48,23.01,9.51,0.0,16.07
2004-10-23,14.7,22.19,9.45,0.0,15.82
2004-10-24,14.83,21.25,10.63,0.0,14.35
2004-10-25,14.96,21.5,9.55,0.0,14.02
2004-10-26,14.51,22.15,9.2,0.0,14.98
2004-10-27,14.85,21.1,10.41,0.0,12.5
2004-10-28,13.81,19.72,10.19,0.0,12.29
2004-10-29,14.38,21.23,9.56,0.0,13.76
2004-10-30,14.5,21.81,9.03,0.0,13.58
2004-10-31,14.16,22.28,8.21,0.0,14.39
2004-11-01,13.72,22.58,6.62,0.0,14.47
2004-11-02,14.52,23.69,7.35,0.0,14.23
2004-11-03,14.28,22.38,7.97,0.0,13.68
2004-11-04,13.62,21.4,6.91,0.04,13.26
2004-11-05,12.12,17.96,7.81,3.56,12.41
2004-11-06,10.83,13.61,7.44,6.19,7.04
2004-11-07,10.5,15.18,6.4,3.93,9.01
2004-11-08,10.15,13.88,7.19,18.0,8.91
2004-11-09,9.86,13.46,7.02,17.6,8.43
2004-11-10,10.18,12.43,8.51,9.3,9.72
2004-11-11,11.36,15.34,7.77,0.06,12.33
2004-11-12,12.22,19.0,6.38,0.0,12.47
2004-11-13,12.7,19.16,9.01,0.0,12.17
2004-11-14,10.77,16.28,7.25,0.28,5.92
2004-11-15,10.86,15.39,7.68,20.94,4.41
2004-11-16,9.45,12.7,6.88,8.8,7.48
2004-11-17,5.88,9.18,0.88,7.27,4.08
2004-11-18,4.81,12.83,-1.75,0.0,13.29
2004-11-19,5.39,11.42,2.28,2.05,12.58
2004-11-20,8.51,10.5,5.43,25.78,5.0
2004-11-21,4.17,9.58,-4.97,3.2,8.34
2004-11-22,-3.96,-0.12,-6.68,0.0,7.73
2004-11-23,-1.41,4.51,-5.74,0.0,12.09
2004-11-24,1.72,6.63,-1.88,10.93,7.54
2004-11-25,1.77,6.44,-4.47,12.57,4.23
2004-11-26,-4.16,0.42,-6.26,0.0,8.61
2004-11-27,-0.32,7.23,-6.24,0.0,11.86
2004-11-28,2.03,7.94,-1.52,0.69,11.43
2004-11-29,3.22,7.13,1.11,1.48,5.42
2004-11-30,4.77,10.04,1.73,0.05,7.87
2004-12-01,4.83,10.67,1.42,0.08,6.78
2004-12-02,6.51,12.64,1.42,0.0,9.7
2004-12-03,8.24,14.67,4.06,0.0,10.1
2004-12-04,9.24,15.42,5.59,0.0,8.86
2004-12-05,6.49,9.27,3.44,0.74,3.83
2004-12-06,6.61,13.1,2.98,0.01,10.07
2004-12-07,5.32,11.01,0.12,1.09,4.97
2004-12-08,1.64,8.63,-3.37,0.0,10.97
2004-12-09,4.7,11.16,0.68,0.0,10.29
2004-12-10,4.72,10.5,0.57,1.11,8.03
2004-12-11,3.15,9.53,-3.67,1.32,9.43
2004-12-12,1.02,8.79,-4.33,0.0,11.01
2004-12-13,2.62,9.95,-0.84,0.0,11.13
