date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,24.02,32.86,17.67,0.0,19.31
2004-10-02,23.61,32.79,16.04,0.0,18.96
2004-10-03,21.46,29.3,14.41,0.01,18.41
2004-10-04,20.12,28.09,13.09,0.0,16.71
2004-10-05,19.11,27.99,11.67,0.0,18.45
2004-10-06,20.89,30.15,12.44,0.02,15.32
2004-10-07,21.37,30.54,14.03,0.0,17.3
2004-10-08,21.18,29.92,13.95,0.35,14.34
2004-10-09,19.97,27.79,13.98,0.05,17.49
2004-10-10,18.2,26.41,12.36,0.0,18.19
2004-10-11,19.59,27.61,12.69,0.0,18.11
2004-10-12,19.78,28.61,11.72,0.0,7.58
2004-10-13,18.45,25.4,13.95,0.01,6.31
2004-10-14,18.35,26.81,10.93,0.0,16.18
2004-10-15,20.55,27.9,14.44,0.0,15.29
2004-10-16,20.2,27.66,12.54,0.0,12.35
2004-10-17,20.31,27.42,13.06,0.0,14.53
2004-10-18,20.47,29.65,13.05,0.0,15.4
2004-10-19,21.63,30.12,15.71,0.0,16.69
2004-10-20,20.71,29.45,14.95,0.0,16.24
2004-10-21,15.1,17.84,9.63,0.72,4.71
2004-10-22,12.94,20.98,5.33,0.0,15.85
2004-10-23,14.02,22.87,6.33,0.0,16.36
2004-10-24,14.48,23.82,6.27,0.0,15.16
2004-10-25,16.4,25.16,8.37,0.0,14.43
2004-10-26,17.1,26.46,9.01,0.0,14.45
2004-10-27,19.59,28.33,11.64,0.0,13.33
2004-10-28,20.51,28.35,13.14,0.0,11.95
2004-10-29,16.63,21.26,13.17,1.25,7.34
2004-10-30,16.05,22.03,12.42,8.79,10.6
2004-10-31,14.42,19.25,11.07,1.71,7.57
2004-11-01,15.48,22.2,9.75,0.0,12.88
2004-11-02,15.84,22.72,9.03,0.0,12.68
2004-11-03,15.45,23.0,9.74,0.05,13.24
2004-11-04,12.42,19.42,7.03,3.25,6.42
2004-11-05,10.52,18.55,3.9,0.02,13.18
2004-11-06,9.75,15.87,4.57,8.66,3.27
2004-11-07,11.17,16.39,8.3,5.24,5.32
2004-11-08,12.25,18.98,8.05,0.86,10.01
2004-11-09,12.13,16.64,8.9,2.29,5.33
2004-11-10,12.35,17.73,8.21,0.36,7.34
2004-11-11,12.77,18.88,8.64,0.02,10.27
2004-11-12,13.26,21.34,7.05,0.0,11.34
2004-11-13,12.98,20.95,6.02,0.0,12.29
2004-11-14,12.46,20.41,4.83,0.0,12.82
2004-11-15,12.58,20.32,6.71,0.06,11.58
2004-11-16,11.73,16.84,7.71,14.65,3.23
2004-11-17,10.17,13.27,8.48,21.49,1.55
2004-11-18,7.86,14.22,2.99,3.2,8.02
2004-11-19,6.6,15.06,-0.25,0.0,12.52
2004-11-20,7.38,13.42,3.53,0.0,11.38
2004-11-21,7.44,11.51,4.2,11.18,2.97
2004-11-22,4.95,7.08,1.45,15.39,1.49
2004-11-23,0.35,4.91,-5.14,1.34,10.93
2004-11-24,-1.79,5.66,-7.04,0.0,12.01
2004-11-25,0.17,5.08,-4.55,2.77,4.24
2004-11-26,-0.12,0.66,-0.56,26.98,1.66
2004-11-27,-2.58,0.63,-9.73,4.05,5.65
2004-11-28,-7.41,0.1,-12.8,0.0,11.0
2004-11-29,-6.08,1.13,-11.81,0.0,10.47
2004-11-30,-4.15,2.8,-8.44,0.0,10.29
2004-12-01,-2.31,4.69,-7.01,0.0,9.06
2004-12-02,-1.89,5.6,-6.27,0.0,10.48
2004-12-03,-0.56,6.54,-4.57,0.0,8.98
2004-12-04,1.01,8.88,-3.47,0.0,10.04
2004-12-05,2.75,9.71,-2.09,0.32,7.51
2004-12-06,0.95,8.24,-3.82,0.03,7.86
2004-12-07,0.45,7.94,-4.2,0.0,8.95
2004-12-08,0.28,6.38,-2.73,1.1,4.13
2004-12-09,0.14,8.49,-3.88,0.0,10.56
2004-12-10,-1.02,6.07,-5.09,0.0,9.99
2004-12-11,-0.69,4.38,-3.69,0.14,4.19
2004-12-12,-1.95,3.88,-5.3,0.02,10.74
2004-12-13,-0.48,5.93,-6.03,0.0,10.78
2004-12-14,0.14,5.95,-4.27,0.23,10.02
2004-12-15,-2.37,2.65,-5.46,0.02,9.77
2004-12-16,-4.59,2.18,-9.78,0.0,10.32
2004-12-17,-4.7,3.12,-11.43,0.0,10.63
2004-12-18,-3.8,2.96,-9.69,0.0,10.32
2004-12-19,-2.42,2.3,-5.44,0.4,5.47
2004-12-20,-1.57,3.32,-5.27,0.0,4.54
2004-12-21,0.57,6.07,-3.49,0.0,8.54
2004-12-22,0.83,7.77,-3.44,0.0,10.26
2004-12-23,0.75,6.36,-2.04,1.83,5.28
2004-12-24,0.85,2.5,0.11,7.07,3.76
2004-12-25,1.71,7.67,-0.93,1.12,5.79
2004-12-26,1.29,10.04,-2.59,0.0,10.35
2004-12-27,1.1,10.51,-3.57,0.0,10.42
2004-12-28,3.53,13.34,-0.9,0.0,10.17
2004-12-29,3.19,11.87,-1.93,0.0,9.36
2004-12-30,3.97,10.81,0.95,0.0,8.86
2004-12-31,3.22,12.24,-1.96,0.0,10.18
2005-01-01,3.3,10.98,-1.83,0.0,9.98
2005-01-02,4.21,10.11,0.63,1.25,3.57
2005-01-03,2.2,9.58,-2.44,0.06,9.39
2005-01-04,1.09,7.74,-3.98,1.93,4.41
2005-01-05,0.47,2.05,-2.54,15.9,1.37
2005-01-06,-2.84,3.48,-6.6,0.1,10.58
2005-01-07,-2.76,4.51,-7.98,0.01,9.62
2005-01-08,-0.32,6.41,-3.66,0.04,7.13
2005-01-09,-1.35,6.99,-6.24,0.0,10.5
2005-01-10,-0.46,7.83,-5.8,0.0,10.81
2005-01-11,-0.05,6.18,-3.17,0.0,11.45
2005-01-12,1.71,9.43,-3.32,0.0,11.64
2005-01-13,1.45,9.79,-2.68,0.0,11.24
2005-01-14,-0.13,7.9,-4.18,0.0,11.83
2005-01-15,-0.37,5.18,-3.19,0.0,8.08
2005-01-16,0.17,7.12,-3.6,0.0,9.79
2005-01-17,1.33,8.06,-2.88,0.38,8.06
2005-01-18,1.38,6.96,-1.98,2.38,4.56
2005-01-19,1.36,7.95,-2.82,0.42,6.18
2005-01-20,0.72,4.81,-1.5,1.08,4.8
2005-01-21,1.06,6.91,-2.28,0.0,7.25
2005-01-22,0.97,4.94,-1.32,1.77,4.64
2005-01-23,1.43,8.58,-3.15,6.18,6.0
2005-01-24,-0.35,2.58,-6.47,9.34,5.36
2005-01-25,-3.9,4.31,-9.39,0.0,11.24
2005-01-26,-1.92,3.84,-5.88,0.0,11.15
2005-01-27,-0.47,6.57,-5.22,0.0,11.06
2005-01-28,1.03,8.44,-3.77,0.0,10.11
2005-01-29,1.54,9.02,-1.73,0.0,5.57
2005-01-30,0.96,2.72,-1.77,19.51,2.56
2005-01-31,3.66,9.76,0.09,4.23,7.56
2005-02-01,2.25,3.46,-0.57,5.23,3.18
2005-02-02,1.05,7.7,-5.08,1.47,10.92
2005-02-03,2.36,7.41,-1.46,1.39,4.96
2005-02-04,1.78,5.63,-0.51,8.32,4.61
2005-02-05,1.04,3.95,-1.25,9.58,5.6
2005-02-06,0.34,3.71,-2.09,3.57,5.54
2005-02-07,-1.86,4.89,-7.49,0.0,14.67
2005-02-08,-1.87,0.8,-3.58,0.72,9.33
2005-02-09,-2.0,1.32,-4.23,0.05,5.77
2005-02-10,-1.97,3.2,-6.96,0.21,12.58
2005-02-11,-1.88,1.2,-3.77,0.61,7.31
2005-02-12,-2.73,0.8,-5.95,0.49,8.46
2005-02-13,-2.41,1.79,-6.58,0.01,11.74
2005-02-14,-1.8,4.31,-8.21,0.0,12.11
2005-02-15,0.35,7.59,-4.97,0.0,15.45
2005-02-16,1.27,6.82,-2.86,0.0,12.95
2005-02-17,3.98,12.36,-1.04,0.0,13.9
2005-02-18,6.14,14.72,-1.19,0.0,13.58
2005-02-19,6.62,11.68,3.02,3.13,4.13
2005-02-20,6.1,11.48,2.86,3.23,4.5
2005-02-21,4.83,11.1,-0.23,0.36,10.46
2005-02-22,3.78,12.38,-3.12,0.0,17.3
2005-02-23,3.85,12.35,-2.35,0.0,17.45
2005-02-24,5.12,12.93,-0.94,0.0,17.92
2005-02-25,5.33,13.05,-2.38,0.0,16.69
2005-02-26,6.65,14.67,0.12,0.0,16.78
2005-02-27,5.19,9.91,0.35,7.05,3.84
2005-02-28,7.17,13.74,2.46,1.88,12.8
2005-03-01,7.15,10.9,4.37,2.48,7.07
2005-03-02,8.78,15.58,3.64,0.38,9.19
2005-03-03,7.86,11.87,5.0,3.6,4.65
2005-03-04,7.46,12.58,1.81,8.67,9.37
2005-03-05,5.29,15.04,-2.02,0.0,19.47
2005-03-06,4.69,9.52,0.24,5.41,7.2
2005-03-07,7.34,14.85,1.59,1.51,13.88
2005-03-08,7.42,12.1,3.17,10.4,3.02
2005-03-09,8.65,12.15,3.91,1.41,14.09
2005-03-10,5.54,9.22,2.07,3.46,8.04
2005-03-11,4.11,8.41,0.22,2.1,13.44
2005-03-12,2.65,7.56,-1.11,3.13,11.06
2005-03-13,4.26,11.43,-3.17,0.0,18.51
2005-03-14,4.9,12.9,-2.4,0.0,21.51
2005-03-15,5.08,13.44,-2.23,0.0,20.86
2005-03-16,5.87,14.71,-1.65,0.0,22.17
2005-03-17,5.52,14.25,-1.55,0.0,22.28
2005-03-18,7.48,16.49,-0.84,0.0,22.45
2005-03-19,8.73,16.09,2.91,0.0,19.06
2005-03-20,9.09,15.17,3.91,2.84,13.77
2005-03-21,7.35,12.11,2.77,2.06,11.18
2005-03-22,6.13,11.25,2.51,10.36,8.97
2005-03-23,5.47,12.31,-1.45,0.19,17.82
2005-03-24,1.55,8.83,-4.03,0.0,24.25
2005-03-25,2.13,9.21,-3.58,0.0,23.26
2005-03-26,3.92,12.47,-4.18,0.0,22.75
2005-03-27,7.34,15.69,-2.09,0.0,20.0
2005-03-28,9.3,17.14,1.27,0.06,17.19
2005-03-29,11.62,18.39,5.54,0.14,17.85
2005-03-30,13.52,20.35,7.73,0.21,19.69
2005-03-31,13.36,20.48,6.43,0.18,19.33
