date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,17.66,25.45,10.68,0.0,17.65
2004-10-02,17.5,24.13,11.71,0.53,14.47
2004-10-03,15.53,21.13,11.77,0.22,11.65
2004-10-04,13.97,20.17,9.14,0.15,14.45
2004-10-05,14.05,18.92,9.36,0.03,10.91
2004-10-06,14.02,18.46,11.31,0.35,9.25
2004-10-07,13.3,17.3,10.34,0.47,11.5
2004-10-08,13.8,20.97,8.65,0.02,14.43
2004-10-09,14.85,23.34,7.69,0.0,16.03
2004-10-10,17.69,26.74,10.37,0.0,14.45
2004-10-11,17.64,25.38,11.34,2.94,7.69
2004-10-12,10.49,12.62,8.71,8.65,3.63
2004-10-13,10.28,14.31,8.08,0.24,7.95
2004-10-14,10.1,13.25,7.95,0.27,5.93
2004-10-15,11.79,17.16,8.13,0.18,11.21
2004-10-16,14.62,21.97,7.4,0.75,9.72
2004-10-17,18.32,25.48,13.25,0.04,12.5
2004-10-18,16.75,23.03,12.25,0.02,12.39
2004-10-19,17.27,24.3,11.61,0.06,12.35
2004-10-20,16.86,22.83,12.54,0.03,8.49
2004-10-21,15.65,22.1,9.75,0.0,11.63
2004-10-22,15.12,20.55,10.65,0.4,3.64
2004-10-23,13.82,21.13,8.45,0.0,12.07
2004-10-24,15.32,22.43,9.95,0.0,10.73
2004-10-25,15.51,23.63,10.24,0.01,13.1
2004-10-26,15.95,25.08,9.71,0.0,12.34
2004-10-27,14.88,21.26,10.64,0.01,8.29
2004-10-28,15.9,23.74,10.11,0.0,11.29
2004-10-29,16.51,23.22,11.9,0.01,11.02
2004-10-30,15.85,23.89,9.83,0.01,11.68
2004-10-31,16.11,24.26,10.45,0.01,9.82
2004-11-01,16.88,25.57,11.07,0.05,10.11
2004-11-02,15.56,22.45,11.4,0.02,10.39
2004-11-03,12.22,16.45,9.84,0.11,2.81
2004-11-04,11.04,15.42,7.61,0.0,7.6
2004-11-05,10.77,17.82,6.35,0.0,12.08
2004-11-06,11.29,16.89,7.52,0.0,10.7
2004-11-07,10.69,16.72,6.84,0.01,10.93
2004-11-08,13.12,17.96,9.14,0.45,6.32
2004-11-09,15.85,21.62,13.16,1.27,6.05
2004-11-10,14.47,19.05,10.73,8.22,6.05
2004-11-11,14.0,20.18,10.22,0.01,7.0
2004-11-12,13.85,20.01,9.97,0.01,4.75
2004-11-13,13.87,20.21,10.06,0.0,6.63
2004-11-14,15.39,20.59,10.69,0.8,3.17
2004-11-15,13.93,18.48,5.28,1.18,5.99
2004-11-16,4.74,7.75,2.49,3.56,2.66
2004-11-17,4.79,9.79,0.61,0.08,5.21
