date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,17.81,25.82,10.96,0.46,18.63
2004-10-02,14.94,22.92,8.08,0.37,16.43
2004-10-03,11.49,17.85,5.4,0.2,13.61
2004-10-04,8.85,16.67,2.94,0.66,13.3
2004-10-05,9.03,18.91,0.57,0.18,19.08
2004-10-06,11.72,21.33,3.58,0.04,12.25
2004-10-07,13.87,22.38,7.53,0.0,16.29
2004-10-08,12.78,19.82,6.38,0.76,13.77
2004-10-09,11.67,18.04,7.0,0.74,13.4
2004-10-10,11.3,17.42,5.6,0.0,12.24
2004-10-11,12.37,19.73,7.53,0.0,17.93
2004-10-12,12.06,20.8,5.27,0.75,16.82
2004-10-13,7.17,16.17,0.94,1.57,14.9
2004-10-14,9.76,18.13,1.7,0.02,12.84
2004-10-15,12.64,18.36,8.13,0.18,14.19
2004-10-16,13.34,19.12,9.04,0.01,12.45
2004-10-17,13.32,19.84,7.15,0.0,14.99
2004-10-18,14.75,21.51,9.58,0.0,15.62
2004-10-19,14.86,22.39,8.89,0.06,13.8
2004-10-20,14.14,21.25,7.99,1.39,15.05
2004-10-21,7.02,12.74,-0.03,4.32,8.95
2004-10-22,3.71,11.07,-2.69,0.0,13.6
2004-10-23,6.02,15.84,-3.67,0.0,16.3
2004-10-24,8.15,15.84,3.26,0.0,13.9
2004-10-25,10.3,17.62,4.91,0.0,14.9
2004-10-26,10.73,18.36,6.1,0.0,14.67
2004-10-27,12.39,20.26,6.76,0.0,12.1
2004-10-28,12.54,20.08,7.01,0.07,12.16
2004-10-29,11.02,18.36,6.61,4.42,10.08
2004-10-30,8.71,13.13,5.75,8.17,4.65
2004-10-31,9.12,14.86,4.86,2.46,8.67
2004-11-01,10.0,16.09,5.41,0.0,11.45
2004-11-02,11.21,17.09,7.27,0.0,12.4
2004-11-03,8.21,14.69,2.84,0.24,11.36
2004-11-04,2.67,9.25,-4.12,2.11,11.41
2004-11-05,3.28,11.77,-4.42,0.0,13.88
2004-11-06,4.33,10.9,0.43,0.16,11.12
2004-11-07,5.04,11.81,0.24,0.43,5.72
2004-11-08,6.18,12.1,2.47,1.81,5.71
2004-11-09,7.17,12.91,3.3,3.01,7.17
2004-11-10,7.11,12.86,4.31,0.0,8.44
2004-11-11,7.49,12.99,4.14,0.07,8.76
2004-11-12,7.97,15.2,2.5,0.0,12.12
2004-11-13,7.77,14.48,2.86,0.0,11.77
2004-11-14,7.48,14.21,3.32,0.0,12.2
2004-11-15,6.19,12.75,2.03,0.13,10.23
2004-11-16,4.58,7.34,2.83,1.45,2.88
2004-11-17,2.95,6.98,-0.37,12.52,1.58
2004-11-18,-1.63,3.07,-5.5,1.26,10.31
2004-11-19,-0.36,6.99,-5.31,0.0,11.54
2004-11-20,0.36,5.81,-4.28,0.16,8.78
2004-11-21,1.23,2.76,0.19,18.54,1.63
2004-11-22,-3.37,0.66,-8.19,13.7,1.64
2004-11-23,-8.93,-5.85,-13.8,1.45,7.21
2004-11-24,-10.58,-2.8,-15.87,0.01,8.61
2004-11-25,-7.74,-3.85,-12.79,3.06,2.13
2004-11-26,-6.32,-4.09,-8.84,6.5,1.66
2004-11-27,-9.58,-5.25,-14.06,2.56,9.54
2004-11-28,-9.4,-1.1,-14.67,0.0,10.17
2004-11-29,-7.84,-1.59,-11.82,0.0,9.42
2004-11-30,-5.93,-0.42,-10.33,0.0,8.74
2004-12-01,-7.08,-0.53,-11.62,0.8,5.86
2004-12-02,-8.89,-1.64,-14.53,0.0,9.55
2004-12-03,-2.85,1.47,-8.0,0.0,7.73
2004-12-04,-2.07,2.96,-6.47,0.23,8.84
2004-12-05,-2.4,1.28,-8.08,2.18,4.16
2004-12-06,-6.24,0.54,-11.69,0.69,9.11
2004-12-07,-4.38,0.29,-8.25,1.12,8.9
2004-12-08,-5.63,-0.85,-10.27,2.58,7.79
2004-12-09,-7.73,0.09,-11.87,0.05,9.36
2004-12-10,-8.82,-3.24,-12.88,0.2,9.35
2004-12-11,-8.47,-3.78,-11.7,0.25,8.39
2004-12-12,-10.25,-4.67,-13.59,0.84,8.65
2004-12-13,-8.4,-1.31,-13.49,0.23,8.76
2004-12-14,-8.12,-3.25,-12.25,1.2,5.92
2004-12-15,-12.99,-8.27,-16.32,0.68,8.21
2004-12-16,-14.28,-8.14,-18.34,0.69,9.63
2004-12-17,-12.43,-4.09,-19.13,0.01,10.1
2004-12-18,-10.51,-3.46,-15.23,0.0,10.09
2004-12-19,-8.85,-4.16,-15.03,0.73,5.85
2004-12-20,-7.98,-2.33,-12.52,0.11,5.68
2004-12-21,-4.33,1.24,-9.27,0.06,7.04
2004-12-22,-3.89,2.95,-7.7,0.0,8.95
2004-12-23,-3.89,-0.45,-6.52,3.63,4.25
2004-12-24,-3.09,-0.14,-4.97,4.02,3.6
2004-12-25,-3.12,1.87,-8.39,1.57,8.4
2004-12-26,-6.07,1.12,-11.44,0.0,9.72
2004-12-27,-1.2,4.23,-5.57,0.0,9.68
2004-12-28,2.1,7.05,-1.83,0.0,8.86
2004-12-29,1.34,5.77,-1.38,0.0,8.05
2004-12-30,-0.75,4.77,-4.36,0.0,8.54
2004-12-31,0.4,6.63,-3.29,0.0,9.61
2005-01-01,0.51,6.44,-2.11,0.0,9.72
2005-01-02,-1.44,0.73,-3.19,4.22,5.39
2005-01-03,-4.0,0.08,-8.55,0.66,8.58
2005-01-04,-5.23,-0.51,-8.84,0.47,7.62
2005-01-05,-5.83,-1.94,-11.06,1.78,7.23
2005-01-06,-8.13,-2.49,-12.19,0.19,9.56
2005-01-07,-6.39,0.44,-10.73,0.03,9.71
2005-01-08,-6.39,1.42,-11.15,0.0,10.75
2005-01-09,-5.45,2.95,-11.46,0.0,10.85
2005-01-10,-5.4,1.49,-10.27,0.29,8.52
2005-01-11,-5.95,-1.08,-9.04,0.36,10.12
2005-01-12,-3.69,3.75,-9.34,0.0,8.82
2005-01-13,-1.48,5.7,-7.31,0.0,10.62
2005-01-14,-1.25,4.23,-4.53,0.0,10.77
2005-01-15,-3.48,1.0,-6.2,0.01,8.65
2005-01-16,-3.95,1.16,-7.26,0.0,8.82
2005-01-17,-2.16,2.75,-5.99,0.0,9.56
2005-01-18,-1.91,1.51,-4.34,0.47,8.01
2005-01-19,-3.24,1.78,-7.91,0.1,9.57
2005-01-20,-3.39,1.29,-5.91,0.01,8.8
2005-01-21,-3.74,0.93,-8.15,0.24,9.03
2005-01-22,-2.24,1.61,-4.42,0.88,6.42
2005-01-23,-3.07,0.81,-6.06,2.28,7.39
2005-01-24,-6.99,-4.39,-12.25,6.3,8.96
2005-01-25,-8.57,-1.78,-13.29,0.0,11.26
2005-01-26,-5.71,0.2,-10.58,0.0,10.83
2005-01-27,-3.84,1.7,-7.52,0.0,9.67
2005-01-28,-1.02,4.62,-5.51,0.01,6.91
2005-01-29,-0.64,3.72,-3.37,0.03,8.29
2005-01-30,-1.79,0.12,-4.05,6.15,7.66
2005-01-31,-2.66,0.4,-5.64,6.06,6.23
2005-02-01,-4.18,-0.48,-7.57,2.93,5.18
2005-02-02,-5.88,-0.71,-10.48,0.15,11.52
2005-02-03,-5.68,-0.54,-9.36,0.06,12.9
2005-02-04,-4.22,-0.6,-7.62,1.11,12.99
2005-02-05,-4.15,-0.59,-7.33,2.6,10.9
2005-02-06,-7.08,-2.26,-12.68,0.19,12.45
2005-02-07,-9.43,-3.3,-14.98,0.04,14.11
2005-02-08,-11.44,-7.0,-14.79,0.03,12.33
2005-02-09,-10.84,-6.52,-13.71,0.66,14.0
2005-02-10,-10.93,-5.02,-16.87,0.09,14.93
2005-02-11,-10.46,-5.08,-15.8,0.09,14.84
2005-02-12,-9.52,-4.93,-12.98,0.0,14.45
2005-02-13,-9.75,-4.66,-13.13,0.01,14.8
2005-02-14,-7.56,-1.31,-12.78,0.0,13.49
2005-02-15,-4.36,1.98,-9.12,0.0,15.55
2005-02-16,-2.54,2.98,-7.43,0.0,13.73
2005-02-17,-0.55,5.97,-5.23,0.0,14.7
2005-02-18,1.19,6.99,-3.06,0.01,12.5
2005-02-19,0.25,2.72,-1.83,4.82,7.86
2005-02-20,0.21,3.66,-2.85,3.43,11.0
