date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,15.49,24.36,9.29,0.04,19.18
2004-10-02,12.4,21.37,5.96,1.8,16.57
2004-10-03,9.35,15.23,4.07,6.09,11.27
2004-10-04,7.02,14.38,1.81,1.17,11.6
2004-10-05,6.47,15.5,-0.06,0.04,18.19
2004-10-06,8.92,19.51,0.16,0.58,14.42
2004-10-07,11.36,20.89,3.48,0.31,16.56
2004-10-08,12.17,20.25,6.45,6.12,14.7
2004-10-09,11.23,19.59,5.5,1.46,13.33
2004-10-10,9.22,16.83,2.82,0.32,15.57
2004-10-11,9.18,18.06,2.83,0.0,17.86
2004-10-12,8.93,18.13,1.85,0.94,16.06
2004-10-13,6.53,15.74,0.82,2.09,13.64
2004-10-14,7.01,15.03,-0.63,0.2,12.41
2004-10-15,8.39,15.75,2.82,0.76,12.66
2004-10-16,8.6,16.18,2.42,1.44,12.51
2004-10-17,9.22,16.77,2.93,0.01,14.53
2004-10-18,10.58,17.61,3.85,0.03,15.63
2004-10-19,11.02,19.27,5.51,0.0,14.49
2004-10-20,10.91,18.99,4.6,0.0,14.35
2004-10-21,3.77,8.08,-2.71,5.7,4.37
2004-10-22,0.01,7.6,-5.37,0.75,11.83
2004-10-23,2.48,11.69,-4.61,0.01,16.55
2004-10-24,5.05,14.79,-1.36,0.0,15.08
2004-10-25,6.45,14.88,-0.1,0.0,14.8
2004-10-26,7.79,16.32,2.19,0.0,15.18
2004-10-27,8.72,17.87,1.67,0.0,13.59
2004-10-28,8.87,16.67,3.86,0.35,8.59
2004-10-29,9.9,17.83,5.63,0.03,12.27
2004-10-30,6.55,11.51,3.73,8.51,2.97
2004-10-31,6.6,12.95,2.45,0.53,8.56
2004-11-01,7.81,14.91,2.62,0.0,11.54
2004-11-02,7.56,14.9,2.73,0.05,11.92
2004-11-03,5.41,11.49,1.12,2.12,10.77
2004-11-04,0.58,3.85,-5.3,5.63,7.0
2004-11-05,-0.11,7.14,-5.81,0.14,13.35
2004-11-06,2.01,10.27,-2.48,0.02,13.13
2004-11-07,3.31,10.81,-2.49,0.11,4.28
2004-11-08,4.2,11.34,-0.55,0.42,8.23
2004-11-09,4.9,12.67,0.44,0.29,7.9
2004-11-10,4.26,10.52,0.64,0.52,8.57
2004-11-11,5.03,11.66,-0.07,0.14,8.6
2004-11-12,4.69,11.49,0.72,0.18,11.35
2004-11-13,4.54,11.35,-0.06,0.0,12.33
2004-11-14,4.21,11.18,0.0,0.0,10.68
2004-11-15,3.86,12.66,-0.99,0.21,11.68
2004-11-16,2.19,8.43,-2.07,4.9,2.83
2004-11-17,1.35,6.91,-2.23,6.75,2.11
2004-11-18,-2.9,0.87,-7.11,2.98,7.46
2004-11-19,-2.91,6.1,-8.31,0.0,9.71
2004-11-20,-1.95,4.4,-5.47,0.03,8.06
2004-11-21,-0.35,3.86,-4.12,2.36,2.29
