date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,16.11,23.34,9.82,0.0,18.43
2004-10-02,13.92,22.39,8.43,0.02,19.14
2004-10-03,12.67,19.22,7.2,0.24,13.13
2004-10-04,12.2,19.88,7.1,0.02,15.18
2004-10-05,12.8,19.5,7.45,0.02,12.67
2004-10-06,12.81,21.18,6.88,0.3,15.69
2004-10-07,12.75,16.27,10.0,1.04,7.01
2004-10-08,12.18,16.36,9.61,3.72,9.16
2004-10-09,12.25,17.17,9.5,3.94,8.58
2004-10-10,14.64,22.96,6.21,0.0,17.46
2004-10-11,17.1,27.16,8.38,0.0,17.08
2004-10-12,12.34,16.51,8.72,3.16,9.95
2004-10-13,9.36,13.09,5.55,2.23,4.19
2004-10-14,10.49,19.79,3.01,0.0,15.18
2004-10-15,14.62,23.63,8.05,0.0,13.22
2004-10-16,17.05,24.08,11.41,0.0,14.12
2004-10-17,18.62,26.7,13.96,0.01,12.43
2004-10-18,17.9,26.52,11.47,0.0,15.69
2004-10-19,16.68,24.13,10.06,0.0,14.21
2004-10-20,15.47,22.91,10.73,0.27,11.43
2004-10-21,13.19,20.32,8.84,0.05,15.31
2004-10-22,13.12,20.98,8.29,0.0,14.38
2004-10-23,12.8,21.1,6.37,0.0,14.79
2004-10-24,12.17,20.28,7.23,0.0,14.79
2004-10-25,14.31,23.97,6.2,0.0,14.32
2004-10-26,14.59,23.81,7.1,0.0,14.32
2004-10-27,15.8,24.87,8.18,0.0,10.2
2004-10-28,15.3,23.94,9.03,0.0,12.73
2004-10-29,15.26,23.38,10.87,0.0,12.39
2004-10-30,15.07,23.11,9.31,0.0,12.72
2004-10-31,15.95,23.12,9.54,0.0,13.24
2004-11-01,15.68,23.87,8.15,0.0,13.4
2004-11-02,15.35,24.09,10.38,0.0,13.01
2004-11-03,11.93,19.49,8.04,0.05,12.55
2004-11-04,10.01,17.33,4.42,0.02,12.31
2004-11-05,7.46,16.41,-0.34,0.0,13.68
2004-11-06,8.1,17.63,-1.01,0.03,11.1
2004-11-07,11.23,17.22,5.44,0.55,7.45
2004-11-08,12.03,18.83,6.01,0.0,9.54
2004-11-09,13.27,19.75,7.43,0.0,8.84
2004-11-10,13.4,18.24,9.34,0.18,8.46
2004-11-11,13.55,19.93,9.45,0.03,9.88
2004-11-12,13.59,20.65,8.51,0.0,10.94
2004-11-13,13.4,21.15,7.45,0.0,11.07
2004-11-14,14.01,24.27,7.18,1.45,7.57
2004-11-15,13.14,18.28,9.21,1.23,4.82
2004-11-16,9.64,14.92,6.54,11.8,7.5
2004-11-17,4.64,7.88,0.89,2.93,3.84
2004-11-18,4.01,10.23,0.45,0.0,11.57
2004-11-19,5.06,15.65,-2.11,0.01,11.8
2004-11-20,4.42,12.21,-1.53,18.4,4.13
2004-11-21,-1.97,1.56,-4.83,0.68,7.5
2004-11-22,-2.25,-0.15,-4.32,3.42,3.95
2004-11-23,-2.44,1.66,-5.82,0.26,9.79
2004-11-24,-1.09,5.05,-6.21,7.26,4.35
2004-11-25,-3.0,-0.72,-4.37,2.94,3.43
2004-11-26,-4.66,-1.68,-7.83,1.04,5.01
2004-11-27,-4.33,2.47,-8.76,0.0,6.67
2004-11-28,-1.18,6.14,-6.88,0.0,9.3
2004-11-29,0.84,8.88,-3.81,0.0,9.99
2004-11-30,3.25,9.31,-0.79,0.17,7.92
2004-12-01,5.38,9.83,2.47,0.55,7.49
2004-12-02,5.69,13.21,1.59,0.0,8.92
2004-12-03,7.61,15.55,2.0,0.01,8.15
2004-12-04,8.21,15.49,3.21,0.09,6.05
2004-12-05,6.2,9.37,2.16,4.37,2.31
2004-12-06,3.97,9.93,0.54,0.0,6.07
2004-12-07,1.67,4.07,-0.28,8.31,2.26
2004-12-08,0.49,6.39,-3.62,0.06,9.95
2004-12-09,0.04,7.13,-3.48,0.0,9.47
2004-12-10,0.09,4.62,-2.71,0.01,8.41
2004-12-11,-1.11,3.33,-4.45,0.26,6.45
2004-12-12,0.03,5.6,-3.13,0.01,10.0
2004-12-13,0.48,7.53,-3.71,0.01,9.9
2004-12-14,-0.76,3.51,-4.47,0.1,4.26
2004-12-15,-2.97,0.61,-4.87,0.09,7.87
2004-12-16,-3.21,1.45,-5.31,0.0,10.1
2004-12-17,-2.19,5.91,-7.84,0.0,9.8
2004-12-18,0.31,6.75,-4.39,0.01,6.57
2004-12-19,2.42,9.45,-0.35,0.67,6.44
2004-12-20,3.21,9.67,-0.19,2.09,4.58
2004-12-21,3.4,8.96,0.89,3.68,5.32
2004-12-22,3.12,5.3,1.52,10.91,2.85
2004-12-23,0.33,3.73,-3.16,0.8,4.26
2004-12-24,-0.78,5.22,-3.62,0.0,4.36
2004-12-25,-0.71,5.96,-3.9,0.0,9.31
2004-12-26,-0.51,7.31,-4.18,0.0,7.54
2004-12-27,2.59,11.44,-1.85,0.07,4.48
2004-12-28,5.46,15.74,-0.3,1.54,7.06
2004-12-29,6.18,10.49,3.53,1.21,5.58
2004-12-30,6.7,12.35,2.86,0.44,4.17
2004-12-31,4.67,10.7,0.17,0.28,6.25
2005-01-01,3.99,10.34,-0.71,0.63,6.42
2005-01-02,2.07,5.25,-0.65,1.5,3.18
2005-01-03,-0.19,4.77,-2.98,0.02,7.54
2005-01-04,-1.65,1.41,-3.36,2.2,4.77
2005-01-05,-1.22,2.53,-3.95,0.66,4.98
2005-01-06,1.51,7.06,-1.42,0.09,8.63
2005-01-07,0.85,3.12,-1.11,2.27,5.62
2005-01-08,0.84,7.09,-3.32,0.19,5.8
2005-01-09,0.86,8.58,-4.17,0.0,10.27
2005-01-10,2.2,9.05,-0.95,0.0,10.24
2005-01-11,1.3,9.62,-2.52,0.01,10.68
2005-01-12,1.99,11.07,-2.67,0.0,10.52
2005-01-13,3.43,12.37,-2.06,0.0,10.38
2005-01-14,4.25,9.48,-0.17,0.22,8.23
2005-01-15,1.71,5.14,-0.58,8.63,4.84
2005-01-16,0.74,3.74,-1.81,10.08,1.97
2005-01-17,2.03,7.91,-2.19,1.06,6.1
2005-01-18,2.03,6.58,0.2,0.33,5.73
2005-01-19,1.85,8.18,-2.54,0.0,7.28
2005-01-20,1.91,8.86,-2.32,0.0,7.95
2005-01-21,3.64,10.74,0.07,0.04,8.4
2005-01-22,2.39,6.63,-1.11,6.58,4.9
2005-01-23,-2.41,-0.19,-4.01,3.81,3.51
2005-01-24,-2.6,2.02,-5.27,0.57,11.55
2005-01-25,1.79,6.52,-3.31,0.19,5.16
2005-01-26,5.45,10.11,3.0,0.47,4.49
2005-01-27,5.92,12.07,1.1,3.76,8.54
2005-01-28,7.18,11.2,4.8,13.48,7.47
2005-01-29,8.68,15.2,4.11,11.96,9.1
2005-01-30,3.7,6.95,-2.55,7.74,7.13
2005-01-31,-1.76,3.38,-4.68,2.57,7.53
2005-02-01,-2.58,1.69,-5.26,1.09,6.0
2005-02-02,-1.73,2.95,-5.03,0.02,7.13
2005-02-03,0.38,4.04,-2.27,0.21,3.83
2005-02-04,0.62,5.0,-2.12,5.03,7.12
2005-02-05,-1.82,1.77,-5.9,2.18,5.25
2005-02-06,-4.59,-1.98,-5.97,0.56,7.97
2005-02-07,-3.94,-1.14,-5.93,2.83,8.46
2005-02-08,-4.53,-0.9,-7.06,0.75,8.47
2005-02-09,-5.8,-1.35,-8.61,0.24,10.9
2005-02-10,-6.42,-0.68,-10.26,0.02,12.27
2005-02-11,-5.84,0.29,-10.39,0.01,10.89
2005-02-12,-4.22,1.72,-10.22,0.0,13.98
2005-02-13,0.02,6.58,-5.94,0.04,10.32
2005-02-14,4.29,10.84,0.6,0.06,7.69
2005-02-15,5.51,12.25,1.47,0.02,9.15
2005-02-16,4.26,10.59,-1.2,2.44,5.65
2005-02-17,5.06,10.49,1.75,2.31,8.23
2005-02-18,2.59,6.93,0.68,16.36,6.31
2005-02-19,2.98,8.85,-1.77,0.21,11.24
2005-02-20,2.25,6.84,-2.07,1.84,9.57
2005-02-21,2.97,8.58,-1.44,0.95,10.19
2005-02-22,4.39,10.36,-0.39,0.29,10.64
