date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,14.17,23.36,8.11,2.7,15.42
2004-10-02,11.47,17.4,8.34,6.51,12.01
2004-10-03,7.98,12.13,3.97,1.71,10.45
2004-10-04,5.32,9.24,2.06,2.76,9.39
2004-10-05,5.41,12.08,0.14,0.96,16.42
2004-10-06,9.34,18.67,1.11,0.17,16.58
2004-10-07,12.09,21.88,4.12,0.0,16.68
2004-10-08,11.8,19.83,4.38,0.59,14.7
2004-10-09,10.02,16.16,5.24,2.0,10.62
2004-10-10,8.58,15.22,2.94,0.04,12.75
2004-10-11,9.76,18.59,2.93,0.0,17.28
2004-10-12,8.47,17.74,2.12,5.66,14.41
2004-10-13,1.28,6.02,-1.86,9.46,5.62
2004-10-14,5.33,13.39,-2.33,0.72,13.37
2004-10-15,8.87,16.31,3.13,0.16,15.0
2004-10-16,9.37,16.0,3.82,0.06,13.22
2004-10-17,10.22,17.77,5.22,0.0,14.48
2004-10-18,11.91,19.21,6.31,0.02,14.59
2004-10-19,12.08,20.49,5.46,0.28,12.53
2004-10-20,10.93,18.55,5.06,0.92,11.76
2004-10-21,3.6,7.53,-1.57,10.63,6.87
2004-10-22,1.23,6.43,-2.26,0.77,12.25
2004-10-23,3.95,12.84,-2.07,0.2,15.52
2004-10-24,5.92,15.7,-0.65,0.0,12.87
2004-10-25,7.28,15.13,1.18,0.0,14.58
2004-10-26,8.28,17.03,1.84,0.0,14.49
2004-10-27,9.27,16.74,3.67,0.0,12.6
2004-10-28,10.59,17.61,4.96,0.05,11.66
2004-10-29,10.84,17.47,6.74,0.15,11.33
2004-10-30,8.04,12.45,4.73,1.72,6.06
2004-10-31,7.91,13.27,4.56,0.57,11.11
2004-11-01,8.7,15.07,4.2,0.0,12.29
2004-11-02,8.52,15.16,4.21,0.06,11.07
2004-11-03,5.93,10.88,3.62,2.18,7.23
2004-11-04,0.45,4.42,-4.54,5.89,9.99
2004-11-05,0.84,8.63,-4.71,0.0,12.41
2004-11-06,2.61,10.9,-2.63,0.01,12.67
2004-11-07,4.04,10.7,-1.1,0.01,8.62
2004-11-08,4.69,11.91,-0.89,0.11,9.41
2004-11-09,6.31,13.01,1.58,0.03,8.93
2004-11-10,6.59,12.34,3.27,0.0,9.59
2004-11-11,6.41,12.81,1.42,0.0,9.4
2004-11-12,5.8,13.07,1.58,0.0,9.82
2004-11-13,5.27,12.61,-0.29,0.0,11.06
2004-11-14,5.1,13.1,-0.3,0.0,11.74
2004-11-15,5.33,11.92,0.19,0.23,9.68
2004-11-16,4.03,9.24,1.76,1.34,4.8
2004-11-17,0.66,2.3,-1.72,25.29,1.63
2004-11-18,-3.69,-0.43,-8.89,4.15,6.15
2004-11-19,-3.05,5.57,-9.04,0.01,10.16
2004-11-20,0.07,5.11,-3.77,0.02,8.7
2004-11-21,-0.12,2.74,-2.65,28.46,1.42
2004-11-22,-6.08,-3.05,-8.52,24.08,2.45
2004-11-23,-10.06,-8.05,-13.83,1.04,4.33
2004-11-24,-10.91,-5.32,-15.97,0.01,4.71
2004-11-25,-8.56,-5.2,-13.09,1.73,1.99
2004-11-26,-6.91,-5.0,-8.67,11.95,1.52
2004-11-27,-9.72,-6.83,-12.0,0.95,5.26
2004-11-28,-9.82,-2.38,-15.52,0.01,5.27
2004-11-29,-9.22,-2.37,-14.59,0.03,5.52
2004-11-30,-8.3,-1.28,-13.23,0.02,8.25
2004-12-01,-6.46,-2.22,-10.14,5.5,2.99
