date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,23.51,31.19,18.36,0.0,20.94
2004-10-02,21.06,28.14,16.48,0.0,19.91
2004-10-03,19.29,26.43,14.34,0.0,19.1
2004-10-04,18.64,25.37,13.7,0.01,19.09
2004-10-05,20.41,27.64,15.32,0.01,18.72
2004-10-06,18.94,28.57,8.6,0.0,19.08
2004-10-07,20.92,29.51,12.57,0.0,17.41
2004-10-08,21.78,29.11,13.54,0.0,17.32
2004-10-09,21.28,29.74,14.91,0.0,12.84
2004-10-10,17.32,24.44,13.64,0.18,12.87
2004-10-11,19.04,26.5,13.42,0.16,18.45
2004-10-12,19.05,26.81,14.81,0.03,15.59
2004-10-13,16.32,20.65,12.16,0.58,10.03
2004-10-14,17.01,22.89,12.17,0.18,13.9
2004-10-15,17.37,24.3,11.15,0.0,16.07
2004-10-16,17.65,24.89,11.02,0.01,15.85
2004-10-17,18.09,24.66,13.12,0.0,15.19
2004-10-18,18.13,25.56,12.51,0.0,15.8
2004-10-19,18.11,26.42,10.44,0.0,16.77
2004-10-20,17.85,25.83,12.12,0.0,17.05
2004-10-21,16.45,22.57,11.57,4.66,10.09
2004-10-22,13.6,18.83,8.4,1.02,14.57
2004-10-23,12.57,19.13,7.3,0.0,16.26
2004-10-24,13.19,22.75,4.52,0.0,17.22
2004-10-25,15.31,22.22,10.75,0.0,15.04
2004-10-26,15.76,23.87,10.17,0.0,16.1
2004-10-27,16.15,25.15,8.87,0.0,16.19
2004-10-28,16.57,24.91,9.64,0.0,14.01
2004-10-29,17.05,24.51,9.99,0.02,12.96
2004-10-30,14.92,17.52,12.64,0.34,7.95
2004-10-31,13.06,17.86,8.68,2.39,7.1
2004-11-01,13.05,18.4,8.0,5.7,8.5
2004-11-02,11.81,15.39,7.96,0.41,4.41
2004-11-03,11.29,16.05,8.46,2.63,9.88
2004-11-04,10.73,14.81,8.02,4.37,3.67
2004-11-05,9.59,13.61,7.0,2.37,10.03
2004-11-06,10.12,15.59,6.72,0.27,10.97
2004-11-07,9.72,12.97,6.91,0.83,7.88
2004-11-08,12.03,17.02,7.66,5.39,3.42
2004-11-09,11.35,16.2,7.77,2.21,3.05
2004-11-10,10.25,14.56,7.23,2.63,8.97
2004-11-11,10.87,17.19,6.6,0.43,9.67
2004-11-12,11.02,17.29,6.88,0.66,10.87
2004-11-13,10.89,17.81,4.38,0.01,11.64
2004-11-14,10.79,18.04,4.91,0.0,12.21
2004-11-15,10.3,17.06,5.92,0.0,12.94
2004-11-16,8.77,14.01,6.36,1.98,4.42
2004-11-17,8.1,11.77,5.95,8.26,4.1
2004-11-18,6.94,9.96,3.82,8.33,3.49
2004-11-19,6.12,13.01,1.02,2.56,9.15
2004-11-20,4.78,9.39,1.83,0.0,10.35
2004-11-21,4.25,9.75,0.68,0.02,8.75
2004-11-22,3.99,8.35,-0.28,4.97,4.62
2004-11-23,-0.98,0.38,-2.47,2.35,2.87
2004-11-24,-1.89,1.96,-4.87,0.18,6.69
2004-11-25,-0.71,5.12,-5.03,0.01,9.33
2004-11-26,0.63,5.33,-1.74,2.16,6.96
2004-11-27,-0.76,2.37,-3.59,2.53,6.38
2004-11-28,-2.09,3.67,-6.94,0.1,10.65
2004-11-29,-0.86,5.72,-5.29,0.0,10.92
2004-11-30,1.35,9.13,-4.8,0.0,11.91
2004-12-01,1.86,7.13,-1.37,0.26,10.61
2004-12-02,0.14,6.41,-4.74,0.17,10.83
2004-12-03,1.54,10.23,-5.18,0.0,10.15
2004-12-04,3.63,10.38,-1.43,0.0,11.08
2004-12-05,3.0,8.5,-0.06,0.23,10.55
2004-12-06,3.04,7.77,-0.72,0.51,6.98
2004-12-07,3.5,7.7,1.35,0.0,8.02
2004-12-08,2.67,6.84,-0.51,0.0,7.49
2004-12-09,2.29,10.03,-3.37,0.0,10.29
2004-12-10,-0.12,5.34,-3.55,0.0,9.85
2004-12-11,-0.79,3.83,-3.71,0.8,7.95
2004-12-12,-0.58,3.79,-4.58,4.97,6.35
2004-12-13,-1.8,4.33,-6.35,0.0,9.65
2004-12-14,-1.85,2.87,-4.97,0.87,8.51
2004-12-15,-2.36,1.28,-4.68,4.26,6.59
2004-12-16,-3.72,0.06,-7.06,2.93,4.23
2004-12-17,-5.77,-0.73,-9.56,0.81,8.96
2004-12-18,-4.96,1.08,-9.85,0.0,10.06
2004-12-19,-1.96,2.12,-4.36,0.0,5.64
2004-12-20,-2.62,2.1,-6.41,0.0,7.45
2004-12-21,-0.66,5.23,-5.04,0.0,9.54
2004-12-22,0.85,7.32,-4.49,0.0,10.37
2004-12-23,1.07,7.05,-3.72,0.0,8.18
2004-12-24,1.29,5.82,-2.14,0.08,7.23
2004-12-25,0.62,3.86,-1.67,1.37,5.61
2004-12-26,0.81,7.49,-3.6,0.62,5.35
2004-12-27,1.18,10.14,-4.39,0.0,10.22
2004-12-28,2.94,11.84,-3.4,0.0,10.13
2004-12-29,4.41,12.86,-0.7,0.0,10.36
2004-12-30,3.97,9.99,0.95,0.0,9.83
2004-12-31,5.91,12.39,0.94,0.0,10.89
2005-01-01,5.88,12.0,1.8,0.0,11.09
2005-01-02,4.8,8.65,1.78,0.49,8.24
2005-01-03,-0.04,2.07,-1.7,1.22,6.1
2005-01-04,-0.18,4.04,-2.37,3.31,8.31
2005-01-05,0.13,3.35,-2.2,2.0,7.52
2005-01-06,1.19,5.49,-3.06,1.9,6.14
2005-01-07,0.37,6.69,-4.9,0.04,8.32
2005-01-08,1.13,6.7,-4.43,0.09,7.72
2005-01-09,-0.57,7.95,-5.51,0.0,10.63
2005-01-10,-1.04,6.39,-6.18,0.0,10.65
2005-01-11,-2.27,2.91,-6.64,1.54,10.39
2005-01-12,-0.79,6.2,-6.94,0.03,11.33
2005-01-13,1.19,7.72,-3.41,0.0,11.73
2005-01-14,1.16,6.62,-2.05,0.0,11.7
