date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,25.35,33.1,20.25,0.0,19.35
2004-10-02,23.94,31.19,19.45,0.0,19.64
2004-10-03,23.29,29.29,19.66,1.22,18.06
2004-10-04,23.18,29.72,19.27,0.14,17.38
2004-10-05,23.27,31.94,15.05,0.0,19.04
2004-10-06,21.84,30.2,15.73,0.06,14.6
2004-10-07,21.04,27.83,16.21,0.01,16.4
2004-10-08,20.77,26.22,16.66,0.25,16.99
2004-10-09,19.9,25.6,16.28,2.4,15.96
2004-10-10,20.52,26.66,16.64,2.42,17.33
2004-10-11,22.39,31.39,14.44,0.0,18.08
2004-10-12,24.2,33.55,16.27,0.0,16.51
2004-10-13,22.61,29.82,17.33,0.34,14.75
2004-10-14,22.84,30.71,16.68,0.02,16.45
2004-10-15,23.48,31.45,16.02,0.0,15.71
2004-10-16,23.2,30.22,16.88,0.0,14.54
2004-10-17,23.63,31.36,16.22,0.0,15.62
2004-10-18,25.17,33.04,17.09,0.0,16.11
2004-10-19,24.86,33.37,17.85,0.0,16.31
2004-10-20,22.72,30.32,18.38,0.0,16.38
2004-10-21,20.65,26.27,16.6,1.83,11.72
2004-10-22,19.15,26.93,13.23,0.0,14.7
2004-10-23,19.3,27.62,12.46,0.0,16.32
2004-10-24,19.25,28.26,12.99,0.0,15.1
2004-10-25,19.54,29.3,12.63,0.0,15.49
2004-10-26,21.7,31.0,14.75,0.0,14.44
2004-10-27,22.39,30.79,17.64,0.0,6.63
2004-10-28,23.46,33.47,16.86,0.23,13.13
2004-10-29,21.55,27.23,17.6,0.4,8.75
2004-10-30,19.82,24.95,15.64,0.08,11.45
2004-10-31,19.02,26.19,13.35,0.02,12.41
2004-11-01,19.14,26.94,13.07,0.0,12.23
2004-11-02,19.49,27.17,13.68,0.0,13.94
2004-11-03,19.59,27.42,13.19,0.0,13.96
2004-11-04,19.19,27.28,13.06,0.02,13.08
2004-11-05,18.73,25.41,14.45,0.0,13.05
2004-11-06,17.33,22.22,13.52,0.73,5.09
2004-11-07,16.79,23.11,12.33,0.07,5.14
2004-11-08,17.24,23.05,12.53,0.52,8.32
2004-11-09,17.6,22.36,13.52,2.0,5.41
