date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,18.34,25.83,11.35,0.0,19.52
2004-10-02,14.44,22.61,7.93,0.0,18.64
2004-10-03,12.78,19.7,6.95,0.01,18.42
2004-10-04,11.8,18.41,7.15,0.0,15.94
2004-10-05,12.25,18.63,7.96,0.07,17.56
2004-10-06,11.22,17.73,4.6,2.11,12.58
2004-10-07,11.79,15.6,9.39,7.54,9.46
2004-10-08,11.11,14.4,8.92,8.87,10.75
2004-10-09,11.58,16.64,7.98,0.08,13.52
2004-10-10,13.86,19.99,8.44,0.0,17.55
2004-10-11,15.17,22.42,9.17,0.0,18.08
2004-10-12,14.66,22.44,9.45,0.01,16.39
2004-10-13,10.55,16.43,6.42,0.32,8.57
2004-10-14,12.24,20.55,3.92,0.01,16.14
2004-10-15,14.66,22.1,9.59,0.0,15.08
2004-10-16,15.36,21.49,9.39,0.0,14.94
2004-10-17,16.6,23.73,11.1,0.0,14.4
2004-10-18,17.1,24.71,11.15,0.0,15.97
2004-10-19,15.71,23.22,10.27,0.0,15.89
2004-10-20,14.76,21.6,9.75,0.01,11.27
2004-10-21,12.46,18.02,8.92,0.01,15.69
2004-10-22,13.3,20.02,9.3,0.0,15.79
2004-10-23,13.22,20.06,7.75,0.0,15.71
2004-10-24,14.18,21.09,8.16,0.0,15.02
2004-10-25,13.85,21.69,8.6,0.0,15.18
2004-10-26,14.77,21.96,9.33,0.0,14.76
2004-10-27,15.97,23.5,10.97,0.0,12.47
2004-10-28,15.37,21.8,10.23,0.0,12.67
2004-10-29,15.02,20.83,10.28,0.02,12.1
2004-10-30,14.13,20.47,8.29,0.0,12.74
2004-10-31,14.11,20.24,9.77,0.0,13.85
2004-11-01,14.09,20.36,10.03,0.0,14.24
2004-11-02,13.99,21.14,8.64,0.0,13.75
2004-11-03,10.99,17.92,7.12,0.0,13.64
2004-11-04,8.6,14.82,2.72,0.0,9.89
2004-11-05,5.86,14.47,-1.11,0.0,14.48
2004-11-06,10.3,16.7,5.22,0.04,11.69
2004-11-07,11.06,15.61,7.05,1.02,8.94
2004-11-08,10.85,15.38,7.49,0.24,9.41
2004-11-09,10.5,15.56,6.8,0.33,9.7
2004-11-10,10.12,14.31,6.61,0.21,8.09
2004-11-11,11.7,16.26,8.44,0.0,8.59
2004-11-12,12.17,17.42,7.72,0.0,11.21
2004-11-13,12.54,18.21,8.24,0.0,11.7
2004-11-14,11.84,19.55,6.38,3.52,9.44
2004-11-15,10.98,14.96,7.98,4.84,2.96
2004-11-16,9.24,13.58,6.4,2.76,7.63
2004-11-17,4.17,6.7,0.22,1.02,4.89
2004-11-18,2.0,7.82,-1.63,0.0,11.92
2004-11-19,4.26,12.63,-0.85,0.0,12.39
2004-11-20,7.6,11.88,3.3,9.72,3.64
2004-11-21,-1.13,5.67,-4.06,6.18,4.28
2004-11-22,-4.2,-2.49,-5.89,0.12,3.83
2004-11-23,-3.41,0.42,-5.54,0.01,8.67
2004-11-24,-0.53,4.99,-4.65,0.75,10.57
2004-11-25,-2.39,1.33,-5.18,7.52,2.16
2004-11-26,-5.27,-2.26,-8.24,0.2,5.5
2004-11-27,-5.47,-0.69,-8.78,0.0,10.82
2004-11-28,-1.52,4.97,-6.35,0.0,11.07
2004-11-29,0.72,6.4,-3.05,0.0,8.88
2004-11-30,1.51,6.99,-1.09,0.05,7.74
2004-12-01,2.92,7.86,0.1,0.31,7.6
2004-12-02,3.5,9.25,-0.25,0.0,9.04
2004-12-03,5.61,12.76,0.43,0.0,9.38
2004-12-04,6.23,14.45,1.13,0.0,8.21
2004-12-05,4.36,7.56,2.35,1.36,3.26
2004-12-06,2.93,7.46,-0.21,0.03,7.61
2004-12-07,1.29,6.81,-2.35,1.78,2.8
2004-12-08,-1.61,3.59,-4.49,0.05,9.02
2004-12-09,-0.42,6.73,-5.03,0.0,10.26
2004-12-10,-0.92,3.73,-3.32,0.01,7.85
2004-12-11,-1.82,2.18,-4.31,0.03,5.57
2004-12-12,-1.93,2.77,-4.28,0.0,10.3
2004-12-13,-0.17,5.03,-3.26,0.0,10.63
2004-12-14,-1.41,2.06,-4.88,0.0,5.35
2004-12-15,-5.22,-2.11,-7.36,0.0,10.39
2004-12-16,-6.82,-1.68,-10.63,0.0,10.74
2004-12-17,-4.0,3.95,-10.83,0.0,10.49
2004-12-18,-1.53,3.73,-6.88,0.3,7.66
2004-12-19,0.9,4.89,-1.32,0.45,8.67
2004-12-20,1.59,6.01,-0.83,0.19,4.74
2004-12-21,2.32,6.93,-0.02,0.32,5.37
2004-12-22,1.97,6.04,0.08,2.84,4.45
2004-12-23,0.22,4.48,-2.41,0.43,5.4
2004-12-24,-1.33,2.97,-4.39,0.07,7.77
2004-12-25,-2.21,3.07,-5.22,0.0,9.68
2004-12-26,-0.35,6.5,-4.14,0.0,9.69
2004-12-27,2.91,8.13,0.22,0.0,4.21
2004-12-28,4.3,11.76,0.9,0.03,6.82
2004-12-29,3.53,6.54,1.0,0.14,4.27
2004-12-30,4.55,9.85,1.27,0.0,8.75
