date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,20.93,24.75,17.64,0.0,17.09
2004-10-02,20.69,24.69,18.01,0.02,16.36
2004-10-03,18.86,21.52,16.87,0.44,13.96
2004-10-04,17.97,20.61,15.49,1.06,13.8
2004-10-05,18.51,21.57,16.1,0.04,12.88
2004-10-06,17.94,20.24,16.01,4.44,9.69
2004-10-07,16.95,17.95,15.52,47.05,2.64
2004-10-08,16.02,17.83,14.55,3.74,7.63
2004-10-09,16.92,20.42,13.73,2.39,12.24
2004-10-10,18.34,22.04,14.68,0.0,14.12
2004-10-11,19.73,24.3,16.32,1.5,10.05
2004-10-12,15.28,17.39,13.56,14.12,3.52
2004-10-13,14.34,16.68,12.99,0.23,6.58
2004-10-14,14.41,17.33,12.73,0.0,7.03
2004-10-15,15.89,18.85,12.97,0.01,12.86
2004-10-16,18.88,22.46,14.78,0.01,13.53
2004-10-17,21.49,25.79,18.09,0.0,11.58
2004-10-18,19.82,23.3,16.73,0.0,12.35
2004-10-19,19.32,22.89,16.34,0.03,12.08
2004-10-20,18.87,22.82,16.67,0.01,7.29
2004-10-21,17.44,21.01,14.74,0.0,13.94
2004-10-22,16.72,20.04,14.25,0.04,4.92
2004-10-23,15.73,19.64,13.22,0.0,13.79
2004-10-24,16.46,20.25,13.53,0.0,13.15
2004-10-25,16.72,21.06,13.6,0.03,12.85
2004-10-26,16.92,21.51,13.77,0.0,9.05
2004-10-27,17.14,20.85,14.36,0.0,9.63
2004-10-28,18.57,22.03,15.27,0.0,11.86
2004-10-29,18.5,22.56,15.85,0.03,10.98
2004-10-30,17.6,22.27,14.54,0.0,10.97
2004-10-31,18.12,22.29,15.05,0.0,11.31
2004-11-01,17.75,21.51,15.0,0.0,11.71
2004-11-02,16.98,20.23,14.62,0.0,2.47
2004-11-03,15.24,17.73,13.97,0.01,4.66
2004-11-04,14.61,17.38,12.51,0.03,8.51
2004-11-05,14.18,18.25,11.5,0.0,10.79
2004-11-06,13.92,17.52,11.14,0.0,9.26
2004-11-07,13.95,17.47,11.45,0.0,9.34
2004-11-08,16.03,20.89,12.09,0.01,10.34
2004-11-09,18.23,22.32,15.44,0.07,6.76
2004-11-10,16.73,18.26,15.48,0.71,7.11
2004-11-11,16.46,20.14,14.52,0.0,6.6
2004-11-12,16.15,19.54,14.03,0.0,3.9
2004-11-13,16.22,19.14,14.19,0.0,9.34
2004-11-14,18.45,23.19,14.82,2.21,5.29
2004-11-15,17.98,20.91,11.88,5.81,2.92
2004-11-16,11.44,12.68,9.58,15.25,1.81
2004-11-17,9.57,11.73,7.92,0.88,5.0
2004-11-18,9.4,12.85,5.9,0.0,10.16
2004-11-19,12.5,16.11,8.81,0.0,10.14
2004-11-20,9.53,15.46,5.43,15.43,1.98
2004-11-21,4.99,8.16,2.41,0.21,7.0
2004-11-22,4.04,6.83,2.13,1.47,3.36
2004-11-23,6.22,9.26,1.12,0.04,4.15
2004-11-24,7.12,10.19,2.14,6.94,3.18
2004-11-25,2.6,4.47,0.3,1.95,3.12
2004-11-26,3.51,6.11,1.64,0.55,5.42
2004-11-27,6.64,10.16,3.18,0.0,7.42
2004-11-28,9.1,11.07,6.98,0.0,5.52
2004-11-29,10.85,14.58,7.67,0.0,8.45
2004-11-30,12.16,15.65,9.96,0.07,7.16
2004-12-01,11.4,14.05,9.22,0.17,4.4
2004-12-02,12.68,16.03,9.88,0.0,7.49
2004-12-03,13.75,17.24,11.18,0.0,7.61
2004-12-04,12.84,15.14,11.31,0.22,3.47
2004-12-05,10.72,12.66,7.83,1.99,4.79
2004-12-06,9.05,12.45,6.44,0.0,8.43
2004-12-07,8.0,9.64,5.97,14.52,3.92
2004-12-08,7.87,10.65,5.64,0.01,7.09
2004-12-09,7.85,10.35,5.92,0.0,4.23
2004-12-10,6.74,9.08,4.42,0.0,6.02
2004-12-11,5.81,7.48,4.34,0.09,2.63
2004-12-12,6.86,9.66,4.73,0.0,8.23
2004-12-13,6.86,10.37,4.0,0.12,3.67
2004-12-14,5.63,8.13,3.02,0.25,6.1
2004-12-15,4.03,7.16,2.1,0.0,6.1
2004-12-16,4.45,6.87,3.01,0.0,4.14
2004-12-17,5.52,8.54,2.8,0.0,8.72
2004-12-18,9.58,13.63,6.45,0.01,6.39
2004-12-19,10.82,13.54,9.47,2.44,2.83
2004-12-20,9.66,10.61,8.49,2.24,2.84
2004-12-21,7.77,8.37,6.86,7.24,1.53
2004-12-22,6.36,7.21,5.45,8.38,1.27
2004-12-23,4.87,5.84,4.01,0.49,2.28
2004-12-24,5.17,7.73,2.68,0.0,5.71
2004-12-25,5.5,9.16,2.22,0.0,8.14
2004-12-26,7.66,11.33,4.24,0.0,8.25
2004-12-27,11.18,15.3,8.05,0.01,7.74
2004-12-28,12.02,14.59,9.23,1.02,6.71
2004-12-29,12.86,15.08,11.9,4.12,1.34
2004-12-30,9.45,11.27,6.94,0.28,5.6
2004-12-31,7.75,8.99,6.84,1.75,2.32
2005-01-01,7.89,9.69,5.68,3.95,2.88
2005-01-02,5.28,6.91,3.63,1.45,3.16
2005-01-03,5.55,8.28,2.55,0.05,6.18
2005-01-04,4.48,5.96,3.29,1.94,3.91
2005-01-05,6.26,9.83,3.23,0.01,4.86
2005-01-06,6.67,11.06,3.15,0.0,7.8
2005-01-07,6.68,8.2,6.04,1.32,1.83
2005-01-08,6.92,9.59,4.53,0.01,8.17
2005-01-09,6.83,10.55,4.09,0.0,9.05
2005-01-10,7.24,11.48,4.88,0.0,8.63
2005-01-11,7.74,11.03,5.04,0.0,9.26
2005-01-12,6.9,11.08,4.22,0.0,9.59
2005-01-13,6.28,10.35,3.76,0.0,4.72
2005-01-14,6.0,7.05,5.18,0.36,2.06
2005-01-15,4.57,5.24,4.16,10.03,2.33
2005-01-16,5.21,6.14,4.59,6.49,2.04
2005-01-17,6.54,7.51,5.89,4.69,1.12
2005-01-18,6.23,7.58,5.29,0.96,2.3
2005-01-19,6.47,9.42,4.7,0.0,5.11
2005-01-20,6.99,11.16,4.72,0.0,6.96
2005-01-21,9.31,13.17,5.85,0.69,9.69
2005-01-22,6.95,9.37,4.1,8.59,4.25
2005-01-23,4.2,6.49,2.0,0.23,7.93
2005-01-24,3.88,6.74,0.27,0.89,9.15
2005-01-25,9.26,12.74,2.44,0.92,1.95
2005-01-26,12.4,14.69,10.68,0.23,3.73
2005-01-27,11.11,12.67,9.28,15.86,3.01
2005-01-28,9.03,10.49,7.86,10.6,4.53
2005-01-29,7.93,9.04,6.42,34.96,2.24
2005-01-30,4.41,7.67,0.12,7.87,2.24
2005-01-31,0.58,2.23,-0.89,0.09,3.08
2005-02-01,2.7,5.32,-0.64,0.31,7.11
2005-02-02,4.21,4.86,3.57,4.26,3.27
2005-02-03,5.57,7.32,2.53,8.96,1.76
2005-02-04,5.09,6.6,2.23,18.78,2.3
2005-02-05,2.95,4.35,1.54,2.28,3.98
2005-02-06,0.65,1.41,-0.27,2.66,4.41
2005-02-07,1.14,2.07,0.22,6.1,2.77
2005-02-08,1.63,3.11,0.33,2.16,5.47
2005-02-09,1.48,2.72,0.13,1.11,5.12
2005-02-10,1.4,2.92,-0.03,0.87,7.07
2005-02-11,1.09,3.2,-0.84,0.27,8.28
2005-02-12,2.15,4.61,-0.39,0.0,11.73
2005-02-13,6.58,10.13,2.69,0.11,6.84
2005-02-14,10.68,14.0,8.06,0.23,6.44
2005-02-15,11.27,14.42,9.47,1.35,4.21
2005-02-16,9.46,12.46,7.63,5.73,5.67
2005-02-17,8.76,10.66,7.53,2.24,8.47
2005-02-18,5.92,7.85,3.98,4.4,2.68
2005-02-19,6.5,9.05,4.4,0.51,10.12
2005-02-20,5.17,6.5,3.44,3.23,5.84
2005-02-21,7.26,10.71,3.62,0.64,8.8
2005-02-22,9.14,12.71,5.92,0.15,14.07
2005-02-23,8.97,10.94,7.29,1.27,11.07
2005-02-24,10.25,13.78,7.68,0.07,14.71
2005-02-25,9.15,13.01,6.41,0.0,7.15
2005-02-26,9.71,11.87,6.89,4.82,5.9
2005-02-27,11.35,14.65,8.16,7.27,7.02
2005-02-28,4.33,7.18,2.24,3.33,4.69
2005-03-01,2.97,4.0,2.21,4.17,2.9
2005-03-02,3.67,5.19,2.48,12.21,2.06
2005-03-03,3.82,4.98,2.34,2.0,5.22
2005-03-04,5.0,8.28,1.98,0.0,15.77
2005-03-05,8.46,11.99,4.28,1.72,10.29
2005-03-06,11.29,13.93,7.63,5.68,12.44
2005-03-07,8.3,13.32,4.22,0.17,16.78
2005-03-08,3.9,6.94,2.19,6.98,3.71
2005-03-09,3.24,6.76,-0.45,0.0,14.68
2005-03-10,3.02,6.06,0.25,0.02,9.96
2005-03-11,0.41,1.97,-0.92,0.56,7.16
2005-03-12,4.57,9.13,-0.58,0.0,18.8
2005-03-13,9.04,12.99,5.81,0.01,18.16
2005-03-14,7.39,8.74,5.35,3.23,12.66
2005-03-15,9.1,13.44,5.02,0.0,11.28
2005-03-16,9.2,14.05,6.34,0.03,13.4
2005-03-17,9.38,14.21,4.95,0.0,17.46
2005-03-18,11.34,16.48,6.67,0.09,12.8
2005-03-19,11.74,17.28,5.59,0.39,14.23
