date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,21.04,25.77,16.62,0.0,17.36
2004-10-02,20.74,25.78,16.2,0.0,17.9
2004-10-03,20.03,24.38,16.49,0.0,15.95
2004-10-04,18.74,22.86,15.31,0.0,16.4
2004-10-05,19.24,23.86,15.8,0.04,15.65
2004-10-06,18.24,22.05,15.69,0.44,14.78
2004-10-07,17.43,20.93,15.43,6.2,7.15
2004-10-08,16.86,20.32,14.23,0.58,13.82
2004-10-09,17.77,22.53,13.66,0.0,16.77
2004-10-10,18.97,23.7,14.87,0.0,16.18
2004-10-11,19.48,24.03,15.62,0.0,14.12
2004-10-12,18.61,22.14,15.09,0.2,8.43
2004-10-13,15.4,19.1,12.97,0.04,10.42
2004-10-14,16.57,22.12,12.02,0.0,12.18
2004-10-15,18.51,22.51,14.67,0.0,12.13
2004-10-16,20.85,24.64,17.44,0.0,10.77
2004-10-17,22.09,26.59,18.81,0.0,13.95
2004-10-18,20.97,24.8,17.81,0.0,14.84
2004-10-19,20.13,24.27,16.29,0.0,13.95
2004-10-20,20.91,25.76,17.29,0.0,14.23
2004-10-21,20.77,25.74,16.75,0.0,12.93
2004-10-22,20.4,25.16,16.75,0.0,14.25
2004-10-23,18.51,23.87,14.45,0.0,14.88
2004-10-24,17.96,23.18,13.66,0.0,14.16
2004-10-25,18.49,24.82,12.99,0.0,14.07
2004-10-26,19.86,25.78,15.91,0.0,13.25
2004-10-27,19.36,23.04,16.54,0.0,12.64
2004-10-28,19.25,23.37,15.74,0.0,11.77
2004-10-29,19.22,23.34,15.97,0.0,12.69
2004-10-30,18.92,23.79,14.82,0.0,12.85
2004-10-31,19.14,23.99,15.19,0.0,12.79
2004-11-01,19.55,25.41,15.07,0.0,11.75
2004-11-02,20.13,27.2,15.74,0.0,12.27
2004-11-03,18.16,23.3,14.34,0.0,11.54
2004-11-04,16.85,23.21,13.0,0.0,11.82
2004-11-05,16.11,22.43,11.38,0.0,12.03
2004-11-06,16.96,21.31,13.2,2.19,10.21
2004-11-07,16.91,19.37,15.39,0.83,8.32
2004-11-08,17.24,20.38,14.29,5.75,6.11
2004-11-09,18.12,20.84,16.5,4.86,5.46
2004-11-10,17.65,20.3,15.8,1.05,7.82
2004-11-11,16.85,19.42,14.64,0.25,8.54
2004-11-12,18.21,23.13,14.97,0.0,8.71
2004-11-13,17.3,21.52,14.0,0.0,9.13
2004-11-14,18.99,22.27,15.82,1.13,3.0
2004-11-15,19.09,20.9,16.57,11.32,7.34
2004-11-16,16.88,19.75,12.98,8.81,6.51
2004-11-17,11.18,13.66,9.2,0.42,5.91
2004-11-18,10.45,14.17,7.61,0.0,11.11
2004-11-19,13.46,16.49,9.12,0.0,8.7
2004-11-20,12.41,18.0,6.21,13.81,2.09
2004-11-21,6.38,9.7,4.0,0.02,10.02
2004-11-22,5.24,7.77,3.58,0.0,8.96
2004-11-23,7.16,11.04,2.84,0.0,8.16
2004-11-24,10.36,15.73,6.23,1.66,5.24
2004-11-25,4.99,5.87,3.5,1.11,8.02
2004-11-26,4.0,7.73,1.48,0.01,10.23
2004-11-27,6.17,10.28,2.67,0.0,9.7
2004-11-28,8.81,13.53,4.38,0.0,7.18
2004-11-29,11.96,15.57,8.33,0.25,6.3
2004-11-30,14.42,17.38,12.6,1.94,6.97
2004-12-01,14.13,16.66,12.54,1.27,5.8
