date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,22.55,30.44,17.06,0.0,18.45
2004-10-02,21.18,28.68,15.56,0.01,17.84
2004-10-03,19.64,28.28,11.92,0.1,17.54
2004-10-04,18.35,26.72,10.9,0.03,17.18
2004-10-05,18.39,27.19,10.46,0.0,19.0
2004-10-06,19.63,27.96,12.77,0.0,13.34
2004-10-07,18.21,25.61,12.93,0.0,15.61
2004-10-08,16.72,24.23,11.24,0.13,14.55
2004-10-09,15.29,21.59,10.99,0.24,14.33
2004-10-10,16.2,23.46,10.78,0.81,16.45
2004-10-11,18.54,26.44,12.13,0.0,18.05
2004-10-12,20.66,28.46,13.46,0.0,16.69
2004-10-13,20.06,26.71,13.04,0.11,13.91
2004-10-14,18.73,23.83,14.14,0.0,15.55
2004-10-15,20.0,27.14,13.29,0.0,15.23
2004-10-16,19.75,25.8,14.75,0.0,12.94
2004-10-17,19.58,27.36,11.93,0.0,15.19
2004-10-18,21.5,29.79,14.8,0.0,15.92
2004-10-19,22.04,29.53,17.3,0.0,16.04
2004-10-20,19.68,26.71,15.0,0.04,16.09
2004-10-21,16.48,23.4,9.16,2.26,13.42
2004-10-22,13.97,21.67,5.88,0.0,14.23
2004-10-23,14.96,23.27,7.54,0.0,16.15
2004-10-24,15.58,23.42,9.46,0.0,14.94
2004-10-25,16.4,25.03,9.91,0.0,15.24
2004-10-26,17.46,26.03,10.77,0.0,14.43
2004-10-27,17.91,25.25,14.25,0.0,8.62
2004-10-28,20.04,28.38,13.39,0.0,13.13
2004-10-29,15.02,17.53,12.05,5.0,6.28
2004-10-30,14.91,19.3,11.86,0.07,10.24
2004-10-31,14.35,21.36,9.07,0.06,9.04
2004-11-01,14.57,21.1,9.07,0.08,12.69
2004-11-02,16.08,22.99,9.99,0.0,13.79
2004-11-03,16.06,23.31,11.6,0.0,13.49
2004-11-04,12.18,20.02,4.75,0.83,12.68
2004-11-05,10.79,20.25,3.88,0.2,13.88
2004-11-06,10.26,14.04,7.51,40.79,7.87
2004-11-07,11.27,14.4,8.86,3.92,6.96
2004-11-08,12.18,16.74,8.65,1.27,7.15
2004-11-09,12.55,16.34,9.84,2.39,4.03
2004-11-10,11.61,15.12,9.54,1.5,6.5
2004-11-11,12.37,17.55,8.51,0.1,8.97
2004-11-12,13.82,19.63,9.02,0.02,12.17
2004-11-13,13.75,20.4,8.19,0.0,12.78
2004-11-14,13.54,20.37,8.32,0.0,12.1
2004-11-15,10.99,15.05,8.04,0.04,3.99
2004-11-16,11.93,17.71,7.99,0.81,6.46
2004-11-17,8.88,12.7,5.42,23.95,3.69
2004-11-18,5.78,12.68,0.64,0.06,12.84
2004-11-19,6.15,13.1,-0.34,0.0,12.83
2004-11-20,7.36,11.06,3.45,2.43,3.76
2004-11-21,10.64,12.68,7.84,41.47,1.47
2004-11-22,4.11,8.62,-0.86,3.83,7.33
2004-11-23,-0.17,4.84,-4.46,0.26,11.22
2004-11-24,0.64,6.1,-4.43,0.02,11.89
2004-11-25,1.78,4.1,-0.35,25.83,2.33
2004-11-26,1.16,4.67,-2.57,24.77,2.26
2004-11-27,-5.25,0.94,-10.31,0.21,10.87
