date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,19.33,27.92,12.79,0.0,18.77
2004-10-02,16.55,25.63,8.35,0.0,19.65
2004-10-03,14.28,22.8,6.76,0.0,18.94
2004-10-04,13.06,21.25,6.1,0.0,17.91
2004-10-05,13.26,22.52,5.19,0.0,19.18
2004-10-06,12.66,19.38,6.57,6.09,14.56
2004-10-07,11.39,16.95,7.41,4.04,12.31
2004-10-08,10.94,15.95,7.4,3.3,15.33
2004-10-09,12.46,18.28,7.36,0.2,16.1
2004-10-10,13.43,19.78,8.02,0.0,18.05
2004-10-11,14.09,22.04,9.04,0.0,18.77
2004-10-12,15.05,23.79,7.57,0.0,18.44
2004-10-13,12.14,20.57,5.63,0.0,15.92
2004-10-14,12.95,19.51,7.46,0.0,16.58
2004-10-15,15.5,22.38,9.47,0.0,16.73
2004-10-16,14.79,22.6,8.24,0.0,14.67
2004-10-17,16.74,24.03,10.07,0.0,16.87
2004-10-18,18.37,25.84,13.6,0.0,15.01
2004-10-19,17.93,25.4,13.1,0.0,16.71
2004-10-20,15.52,23.11,9.73,0.0,13.34
2004-10-21,11.36,17.65,6.35,0.0,14.98
2004-10-22,12.24,21.22,6.51,0.0,15.51
2004-10-23,12.35,20.53,5.64,0.0,16.27
2004-10-24,13.14,21.03,7.5,0.0,15.41
2004-10-25,14.19,22.07,9.14,0.0,15.26
2004-10-26,14.45,23.13,8.01,0.0,14.92
2004-10-27,16.58,24.36,11.27,0.0,12.48
2004-10-28,16.07,23.31,11.64,0.0,11.95
2004-10-29,9.75,13.04,7.84,0.42,10.05
2004-10-30,12.75,19.57,7.54,0.01,13.28
2004-10-31,12.05,19.47,7.16,0.0,13.76
2004-11-01,12.24,20.3,5.03,0.0,13.81
2004-11-02,12.88,20.81,8.18,0.0,14.13
2004-11-03,11.56,20.19,5.96,0.0,13.95
2004-11-04,8.43,15.93,2.34,0.0,13.55
2004-11-05,9.6,18.61,2.46,0.0,14.16
2004-11-06,11.28,18.18,6.57,0.46,12.98
2004-11-07,10.01,15.69,6.67,2.58,9.69
2004-11-08,8.94,11.95,6.93,21.68,5.37
2004-11-09,9.21,13.78,6.55,20.5,10.42
2004-11-10,8.77,13.34,5.83,13.73,6.71
2004-11-11,10.45,14.65,6.41,1.81,11.38
2004-11-12,10.39,16.11,6.13,0.0,11.38
2004-11-13,11.3,16.72,7.54,0.0,12.68
2004-11-14,10.89,17.14,6.47,1.21,10.64
2004-11-15,9.85,15.18,6.86,9.89,4.72
2004-11-16,9.14,13.57,6.25,17.58,9.7
2004-11-17,5.4,7.63,1.48,4.38,4.07
2004-11-18,1.36,6.57,-1.5,0.03,11.13
2004-11-19,4.1,10.55,-1.07,0.33,12.37
2004-11-20,7.57,10.57,4.51,16.64,10.06
2004-11-21,6.41,10.62,-2.52,24.9,2.93
2004-11-22,-4.62,-2.95,-6.14,2.22,3.24
2004-11-23,-5.36,-1.91,-7.27,0.0,7.3
2004-11-24,-1.1,4.88,-5.94,1.37,9.13
2004-11-25,2.72,6.61,-3.49,40.55,5.23
2004-11-26,-4.87,-3.74,-6.4,3.25,2.25
2004-11-27,-6.33,-2.16,-8.26,0.0,8.36
2004-11-28,-1.76,4.35,-7.53,0.0,10.17
2004-11-29,1.08,5.66,-2.13,0.0,10.39
2004-11-30,2.68,8.08,-0.41,0.0,9.89
2004-12-01,1.62,5.28,-0.55,0.0,5.54
2004-12-02,1.96,7.03,-0.05,0.0,6.57
2004-12-03,4.68,10.16,0.81,0.0,9.27
2004-12-04,6.13,12.2,1.66,0.0,10.0
2004-12-05,4.74,8.45,1.24,0.13,9.02
2004-12-06,3.28,7.36,0.09,0.05,8.84
2004-12-07,2.91,8.17,-1.41,3.76,7.07
2004-12-08,-2.85,0.97,-5.28,0.77,9.74
2004-12-09,-2.26,3.43,-5.36,0.0,11.12
2004-12-10,-0.9,3.86,-4.39,0.01,8.29
2004-12-11,-1.71,1.09,-5.6,2.07,4.85
2004-12-12,-3.89,0.57,-6.48,0.0,10.58
2004-12-13,-3.28,3.76,-8.45,0.0,11.16
2004-12-14,-3.21,2.06,-7.47,0.0,5.08
2004-12-15,-6.91,-4.29,-9.4,0.0,10.29
2004-12-16,-8.23,-3.86,-10.83,0.0,10.62
2004-12-17,-3.32,3.73,-10.47,0.0,11.2
2004-12-18,-1.83,1.74,-3.75,0.23,6.74
2004-12-19,-2.51,0.64,-4.0,0.95,6.48
2004-12-20,-0.29,3.62,-3.34,0.73,7.04
2004-12-21,1.49,7.15,-1.85,0.25,9.98
2004-12-22,1.64,4.37,0.31,13.56,6.11
2004-12-23,1.83,5.09,0.17,13.92,5.29
2004-12-24,-0.22,2.55,-3.09,3.77,3.96
2004-12-25,-2.44,1.37,-4.37,0.61,5.12
2004-12-26,-0.64,4.57,-4.13,0.0,7.83
2004-12-27,4.59,9.63,1.15,0.0,10.25
