date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,14.42,22.71,8.26,0.03,18.73
2004-10-02,10.95,18.07,5.31,2.09,16.88
2004-10-03,8.07,13.51,2.58,4.19,9.18
2004-10-04,5.34,11.31,1.35,1.33,10.24
2004-10-05,5.04,13.16,-1.5,0.15,16.59
2004-10-06,6.33,14.25,0.95,0.19,15.46
2004-10-07,8.26,15.97,2.41,0.28,14.31
2004-10-08,9.46,16.93,3.48,1.37,16.28
2004-10-09,10.17,17.58,4.47,3.47,13.93
2004-10-10,7.44,14.13,2.78,0.52,15.71
2004-10-11,8.27,15.86,1.86,0.0,16.87
2004-10-12,7.73,16.08,1.98,0.33,17.15
2004-10-13,3.82,10.19,-0.77,2.27,12.97
2004-10-14,1.95,9.82,-2.81,1.4,6.7
2004-10-15,4.88,11.98,-1.6,0.11,9.18
2004-10-16,5.89,12.15,-0.96,1.34,12.56
2004-10-17,7.1,13.45,2.12,0.02,13.0
2004-10-18,7.59,14.91,2.15,0.04,14.55
2004-10-19,8.74,16.03,2.95,0.0,14.25
2004-10-20,8.99,15.98,4.09,0.23,12.25
2004-10-21,3.26,6.32,-2.88,2.59,2.32
2004-10-22,0.03,5.06,-3.72,0.41,10.47
2004-10-23,0.68,8.28,-5.0,0.0,15.62
2004-10-24,3.1,12.06,-3.91,0.0,14.87
2004-10-25,3.37,11.19,-1.74,0.0,14.53
2004-10-26,6.14,14.44,-0.75,0.0,14.89
2004-10-27,7.13,15.9,0.84,0.0,14.31
2004-10-28,7.01,14.37,1.7,0.45,11.68
2004-10-29,8.52,15.18,3.7,0.02,12.36
2004-10-30,6.01,11.95,2.68,1.8,9.15
2004-10-31,6.89,13.53,2.36,0.22,11.05
2004-11-01,7.49,12.92,4.04,0.0,12.29
2004-11-02,5.37,11.5,1.78,0.04,10.62
2004-11-03,3.71,9.34,-0.61,2.53,9.68
2004-11-04,0.36,2.04,-3.11,12.04,2.69
2004-11-05,-1.77,2.51,-4.23,1.02,10.14
2004-11-06,0.19,6.51,-4.48,0.22,11.4
2004-11-07,1.14,7.98,-4.09,0.0,10.94
2004-11-08,3.36,9.64,-1.1,0.0,10.63
2004-11-09,3.57,9.99,-1.44,0.0,6.73
2004-11-10,3.43,7.35,1.19,3.97,3.52
2004-11-11,4.13,9.26,0.89,1.28,8.74
2004-11-12,2.82,8.7,-0.95,0.46,11.03
2004-11-13,2.76,8.66,-1.63,0.0,11.26
2004-11-14,2.61,9.01,-1.23,0.0,11.55
2004-11-15,1.46,9.7,-2.65,0.0,11.62
2004-11-16,1.38,6.97,-1.22,0.52,4.4
2004-11-17,0.11,3.71,-2.37,5.05,2.11
2004-11-18,-3.29,-0.17,-7.18,2.21,8.03
2004-11-19,-2.76,3.62,-6.73,0.0,10.34
2004-11-20,-2.72,3.7,-5.71,0.0,9.57
2004-11-21,-1.01,3.55,-5.05,0.13,4.89
2004-11-22,-1.15,1.8,-2.46,2.85,2.15
2004-11-23,-8.68,-3.17,-12.43,1.94,2.88
2004-11-24,-10.25,-5.62,-13.67,0.15,6.0
2004-11-25,-7.7,-2.04,-12.83,0.36,6.54
2004-11-26,-5.99,-2.99,-8.69,15.03,1.9
2004-11-27,-10.6,-7.04,-15.81,4.66,3.73
2004-11-28,-11.04,-3.12,-15.72,0.03,6.18
2004-11-29,-10.49,-3.09,-15.0,0.46,4.33
2004-11-30,-11.39,-3.04,-15.51,0.1,10.06
2004-12-01,-9.13,-3.16,-12.51,1.43,3.53
2004-12-02,-11.11,-5.85,-14.63,0.05,8.47
2004-12-03,-9.61,-1.92,-14.98,0.0,9.02
2004-12-04,-6.0,0.65,-11.09,0.2,8.16
2004-12-05,-6.71,-2.06,-13.33,1.68,4.5
2004-12-06,-11.08,-4.09,-16.13,0.02,9.84
2004-12-07,-13.5,-5.37,-18.42,0.0,8.07
2004-12-08,-10.98,-3.12,-18.02,0.04,9.06
2004-12-09,-12.0,-4.93,-16.98,0.06,8.92
2004-12-10,-12.48,-6.86,-16.62,2.13,8.61
2004-12-11,-12.63,-7.78,-17.29,2.23,6.59
2004-12-12,-13.8,-8.93,-18.17,0.76,8.57
2004-12-13,-12.2,-6.03,-18.35,0.21,8.01
2004-12-14,-11.8,-7.85,-16.43,1.89,8.86
2004-12-15,-15.33,-10.53,-20.68,0.38,9.42
2004-12-16,-16.73,-10.07,-21.12,0.16,9.95
2004-12-17,-15.62,-9.07,-19.78,0.02,9.84
2004-12-18,-16.66,-8.44,-21.41,0.0,9.95
2004-12-19,-14.58,-7.4,-21.44,0.27,8.78
2004-12-20,-11.6,-4.16,-16.17,0.41,7.36
2004-12-21,-8.35,-0.75,-12.99,0.1,7.28
2004-12-22,-7.41,-0.72,-11.49,0.14,8.78
2004-12-23,-8.91,-3.84,-13.71,0.82,6.93
2004-12-24,-7.38,-2.74,-12.22,6.46,6.85
2004-12-25,-6.96,-0.5,-10.92,0.09,8.66
2004-12-26,-8.45,-1.08,-13.75,0.0,9.76
2004-12-27,-5.96,1.24,-11.35,0.0,10.01
2004-12-28,-4.56,2.01,-8.6,0.0,9.86
2004-12-29,-6.15,0.89,-11.51,0.0,9.27
2004-12-30,-5.24,1.34,-9.2,0.0,9.22
2004-12-31,-5.48,1.76,-9.47,0.0,9.46
2005-01-01,-5.19,2.08,-9.52,0.0,9.66
2005-01-02,-6.28,-2.93,-8.95,0.42,7.38
2005-01-03,-6.41,-3.18,-10.54,3.36,8.5
2005-01-04,-10.49,-4.64,-14.08,0.18,9.05
2005-01-05,-8.89,-5.19,-12.6,12.92,7.14
2005-01-06,-11.16,-6.44,-16.82,0.92,10.02
2005-01-07,-11.02,-5.47,-16.56,0.38,8.92
2005-01-08,-10.45,-4.58,-15.56,0.0,10.19
2005-01-09,-11.72,-2.99,-17.7,0.0,10.7
2005-01-10,-9.93,-2.98,-15.2,0.58,9.27
2005-01-11,-10.33,-7.2,-12.59,0.99,10.24
2005-01-12,-9.52,-2.79,-13.9,0.74,9.6
2005-01-13,-9.28,-1.34,-14.08,0.0,10.82
2005-01-14,-11.22,-3.24,-15.61,0.0,11.09
2005-01-15,-12.85,-4.66,-16.62,0.44,9.53
2005-01-16,-11.28,-3.53,-16.05,0.0,9.75
2005-01-17,-8.92,-1.75,-14.22,0.0,10.76
2005-01-18,-9.59,-3.62,-14.19,0.81,9.68
2005-01-19,-9.92,-4.17,-14.72,1.67,9.46
2005-01-20,-10.97,-4.49,-15.17,0.1,10.72
2005-01-21,-12.94,-5.47,-17.67,1.17,9.95
2005-01-22,-10.05,-4.94,-13.63,0.56,8.65
2005-01-23,-8.03,-2.0,-11.24,1.05,11.14
2005-01-24,-9.21,-6.5,-12.26,9.08,6.77
2005-01-25,-13.37,-8.06,-18.09,0.13,10.32
2005-01-26,-12.64,-5.53,-18.33,0.0,10.66
2005-01-27,-10.74,-3.63,-16.75,0.0,11.85
2005-01-28,-8.63,-0.15,-14.39,0.0,9.81
2005-01-29,-6.91,-1.19,-11.05,0.0,8.77
2005-01-30,-7.26,-3.21,-12.56,4.0,8.26
2005-01-31,-5.96,-0.9,-11.4,5.15,9.42
2005-02-01,-6.63,-2.52,-9.57,4.4,9.55
2005-02-02,-9.75,-3.85,-14.68,1.45,12.48
2005-02-03,-10.67,-4.9,-14.69,0.43,12.87
2005-02-04,-12.71,-5.72,-17.06,0.94,11.82
2005-02-05,-12.73,-6.22,-17.09,1.08,11.34
2005-02-06,-13.67,-6.99,-17.24,0.4,11.8
2005-02-07,-14.6,-9.19,-18.3,0.92,11.92
2005-02-08,-15.45,-9.85,-20.19,1.25,13.09
2005-02-09,-15.29,-9.29,-20.58,1.14,11.06
2005-02-10,-15.45,-10.41,-19.57,0.34,13.92
2005-02-11,-15.51,-10.91,-18.4,0.25,14.37
2005-02-12,-16.66,-11.46,-21.45,0.16,14.46
2005-02-13,-18.49,-10.04,-24.56,0.16,14.85
2005-02-14,-16.3,-5.27,-25.38,0.0,13.6
2005-02-15,-11.31,-3.04,-17.09,0.0,15.33
2005-02-16,-10.11,-1.08,-17.31,0.0,15.45
2005-02-17,-7.15,1.17,-13.24,0.0,14.88
2005-02-18,-5.1,2.32,-11.47,0.0,14.5
2005-02-19,-2.29,1.33,-6.55,0.76,12.87
2005-02-20,-1.11,1.65,-4.92,12.93,12.74
2005-02-21,-6.08,-1.3,-13.64,4.71,15.35
2005-02-22,-9.23,-2.66,-15.7,0.0,16.42
2005-02-23,-6.99,-2.64,-11.33,0.0,15.52
2005-02-24,-7.75,-0.68,-13.27,0.0,16.27
2005-02-25,-6.53,0.03,-12.94,0.06,16.04
2005-02-26,-5.52,1.57,-11.19,0.1,16.69
2005-02-27,-3.45,1.58,-9.69,1.23,15.54
2005-02-28,-1.3,2.35,-4.91,0.63,14.63
2005-03-01,-0.39,3.04,-3.39,0.61,13.06
2005-03-02,-0.21,3.8,-4.37,0.44,12.0
2005-03-03,0.82,4.27,-1.53,0.41,6.3
2005-03-04,-2.58,1.06,-8.2,7.43,11.07
2005-03-05,-5.7,-0.09,-9.49,1.48,15.83
2005-03-06,-3.86,2.86,-10.89,0.66,16.02
2005-03-07,-1.79,2.56,-5.64,1.48,16.61
2005-03-08,-1.87,1.68,-6.16,1.75,13.91
2005-03-09,-4.18,-0.19,-10.77,8.09,12.79
2005-03-10,-5.32,0.88,-11.9,10.79,3.34
2005-03-11,-6.35,-3.18,-12.27,2.38,14.98
2005-03-12,-6.87,-2.21,-12.57,0.74,15.71
2005-03-13,-6.12,0.44,-12.43,0.0,18.85
2005-03-14,-6.65,0.34,-12.21,0.0,19.21
2005-03-15,-6.4,0.2,-12.49,0.02,19.72
2005-03-16,-5.44,0.67,-9.93,0.02,18.0
2005-03-17,-7.4,-1.97,-11.48,0.03,17.6
2005-03-18,-4.7,1.83,-11.6,0.01,17.32
2005-03-19,-2.76,0.94,-5.89,0.43,16.61
2005-03-20,-5.18,-1.58,-10.49,4.95,10.95
2005-03-21,-9.75,-4.82,-13.14,1.69,14.99
2005-03-22,-7.89,-1.8,-14.64,1.42,15.75
2005-03-23,-8.48,-5.56,-12.08,1.38,12.55
2005-03-24,-12.49,-9.07,-17.03,0.31,17.55
2005-03-25,-14.21,-10.15,-19.4,0.66,16.24
2005-03-26,-11.19,-1.97,-22.73,0.01,20.51
2005-03-27,-4.68,1.37,-12.41,0.02,17.79
2005-03-28,-1.47,2.88,-6.13,4.02,14.49
2005-03-29,1.06,3.03,-0.87,4.09,14.68
2005-03-30,0.28,1.73,-0.99,6.86,9.75
2005-03-31,0.36,3.14,-2.54,3.54,7.42
2005-04-01,2.41,6.08,0.21,15.49,10.65
2005-04-02,0.55,3.71,-3.81,4.79,8.51
2005-04-03,-3.15,2.27,-8.48,7.36,10.79
2005-04-04,-6.07,-1.15,-9.8,0.88,10.81
2005-04-05,-5.14,2.67,-11.14,0.13,15.89
2005-04-06,-2.68,5.53,-9.72,0.0,16.66
2005-04-07,-0.82,6.57,-7.6,0.0,22.13
