date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,14.7,20.21,10.75,0.04,11.69
2004-10-02,12.97,18.91,9.42,0.54,15.51
2004-10-03,10.57,14.93,7.33,4.62,8.44
2004-10-04,10.62,16.4,6.81,0.99,11.68
2004-10-05,10.64,17.78,5.63,0.02,14.81
2004-10-06,11.1,19.56,4.35,0.19,15.36
2004-10-07,13.66,20.3,7.66,1.75,13.0
2004-10-08,13.15,18.72,9.44,5.61,10.58
2004-10-09,11.17,14.88,8.6,3.21,10.31
2004-10-10,12.75,20.82,5.68,0.0,16.67
2004-10-11,15.69,24.66,8.78,0.04,15.55
2004-10-12,8.33,11.94,4.61,12.87,4.0
2004-10-13,6.09,11.6,1.5,0.14,7.38
2004-10-14,7.57,15.14,0.26,0.0,13.18
2004-10-15,12.12,20.08,6.5,0.0,12.37
2004-10-16,13.99,20.04,8.36,0.0,9.58
2004-10-17,15.94,22.83,11.65,0.02,11.35
2004-10-18,17.03,24.82,12.6,0.06,14.58
2004-10-19,14.29,21.07,9.58,0.0,10.88
2004-10-20,11.84,14.88,9.05,5.66,5.54
2004-10-21,9.2,15.12,4.02,0.2,14.75
2004-10-22,8.61,16.36,3.78,0.0,13.05
2004-10-23,9.77,18.51,3.18,0.0,14.0
2004-10-24,10.54,18.6,5.56,0.0,13.42
2004-10-25,12.26,21.87,5.85,0.0,13.91
2004-10-26,13.58,23.6,6.31,0.0,13.95
2004-10-27,15.22,25.48,8.13,0.01,12.11
2004-10-28,14.99,23.03,10.32,0.02,11.12
2004-10-29,15.4,22.73,9.95,0.01,10.08
2004-10-30,14.44,21.83,10.21,0.0,11.22
2004-10-31,14.07,21.88,9.02,0.0,12.46
2004-11-01,13.88,21.75,8.31,0.0,11.82
2004-11-02,12.24,18.8,8.2,0.54,8.76
2004-11-03,8.47,12.67,5.74,2.41,5.38
2004-11-04,6.57,13.83,1.18,0.3,12.19
2004-11-05,6.36,16.78,-0.69,0.0,12.9
2004-11-06,7.53,17.27,0.44,0.0,12.71
2004-11-07,8.74,16.94,3.48,0.08,8.88
2004-11-08,11.4,20.4,5.46,0.0,10.28
2004-11-09,12.92,20.34,7.38,0.0,9.32
2004-11-10,13.2,20.12,7.71,0.0,9.84
2004-11-11,13.06,20.04,9.01,0.17,9.51
2004-11-12,12.53,19.45,8.12,0.0,8.28
2004-11-13,12.08,19.7,6.04,0.0,9.64
2004-11-14,13.72,22.92,7.84,0.0,10.53
2004-11-15,13.45,17.74,10.68,1.15,3.62
2004-11-16,9.88,13.11,5.74,7.9,5.11
2004-11-17,3.5,5.25,1.53,12.6,3.69
2004-11-18,3.52,8.77,0.55,0.23,8.85
2004-11-19,5.66,14.67,-0.12,0.0,10.75
2004-11-20,3.97,9.84,-1.34,19.84,3.29
2004-11-21,-1.74,0.63,-3.72,4.97,2.69
2004-11-22,-3.45,-0.86,-5.73,14.5,3.74
2004-11-23,-4.03,-1.07,-5.9,7.74,4.07
2004-11-24,-0.91,0.46,-3.84,21.55,3.11
2004-11-25,-2.05,-0.76,-3.34,12.68,2.77
2004-11-26,-2.25,-1.08,-3.45,7.14,2.92
2004-11-27,-3.0,-0.58,-6.74,0.45,3.23
2004-11-28,-1.44,0.85,-6.64,0.1,5.83
2004-11-29,-1.27,1.43,-3.38,0.08,4.81
2004-11-30,0.63,1.74,-2.99,2.98,3.8
2004-12-01,0.52,3.49,-4.74,8.43,4.36
2004-12-02,0.83,5.98,-4.07,0.0,8.7
2004-12-03,4.54,9.07,1.24,0.06,5.55
2004-12-04,5.48,8.55,2.71,3.3,4.8
2004-12-05,2.24,6.6,-1.85,2.6,5.31
2004-12-06,0.89,7.38,-2.88,0.0,8.1
2004-12-07,0.5,1.92,-0.83,9.84,2.49
2004-12-08,0.84,5.55,-2.53,0.53,7.55
2004-12-09,-0.5,1.92,-2.92,0.83,3.04
2004-12-10,-0.45,2.09,-1.85,1.51,3.93
2004-12-11,-0.76,0.7,-1.62,9.31,2.81
2004-12-12,-1.01,2.29,-3.47,1.06,5.17
2004-12-13,-0.35,1.26,-2.76,1.18,2.26
2004-12-14,-1.73,0.02,-4.51,1.21,4.09
2004-12-15,-4.54,-3.01,-6.18,1.25,4.15
2004-12-16,-4.61,-0.6,-7.61,0.07,6.21
2004-12-17,-3.4,3.85,-7.84,0.0,8.31
2004-12-18,-0.86,5.25,-5.57,0.0,8.07
2004-12-19,1.56,5.98,-0.26,0.02,4.36
2004-12-20,2.95,8.56,-0.31,1.4,3.09
2004-12-21,2.41,4.88,0.44,4.02,3.55
2004-12-22,2.42,6.39,-0.01,5.53,3.56
2004-12-23,-0.03,1.86,-2.11,8.0,3.0
2004-12-24,-1.05,3.71,-3.66,0.06,6.27
2004-12-25,-1.21,4.11,-4.56,0.01,7.51
2004-12-26,-0.44,7.63,-4.62,0.0,7.82
2004-12-27,3.16,9.94,-0.63,0.0,5.03
2004-12-28,5.65,12.7,1.59,0.02,8.28
2004-12-29,5.88,9.78,3.42,1.33,5.09
2004-12-30,5.27,9.85,2.56,0.37,5.19
2004-12-31,4.17,8.48,1.38,1.01,6.67
2005-01-01,3.98,10.92,-0.4,0.84,5.44
2005-01-02,0.95,3.12,-1.0,7.99,3.38
2005-01-03,-1.05,2.27,-2.93,0.64,4.6
2005-01-04,-1.38,2.22,-3.77,5.03,3.52
2005-01-05,-1.98,0.22,-4.07,5.38,2.53
2005-01-06,0.3,2.64,-2.43,2.02,2.54
2005-01-07,0.35,3.33,-2.46,5.3,3.3
2005-01-08,-0.58,4.01,-3.55,0.37,5.26
2005-01-09,0.22,6.71,-3.37,0.0,8.05
2005-01-10,0.24,5.12,-2.31,0.0,5.78
2005-01-11,1.12,7.67,-3.35,0.0,6.65
2005-01-12,3.94,10.74,0.03,0.0,9.19
2005-01-13,4.26,11.64,0.25,0.0,9.67
2005-01-14,3.12,8.54,0.56,0.12,9.0
2005-01-15,1.96,5.11,0.37,8.32,2.58
2005-01-16,2.01,7.22,0.03,8.63,4.19
2005-01-17,2.43,8.72,-1.42,0.67,5.62
2005-01-18,2.44,7.78,0.25,1.14,4.5
2005-01-19,2.07,7.0,-1.51,0.01,8.76
2005-01-20,1.64,8.53,-2.32,0.0,9.58
2005-01-21,3.01,6.9,-0.44,0.39,5.57
2005-01-22,2.96,6.68,-0.72,6.73,4.19
2005-01-23,-2.48,-1.26,-3.52,7.19,1.19
2005-01-24,-4.44,-1.43,-7.69,2.34,6.1
2005-01-25,-1.04,2.08,-6.28,1.6,3.43
2005-01-26,3.43,7.48,1.76,0.18,5.64
2005-01-27,4.22,8.94,1.49,2.1,8.09
2005-01-28,4.57,7.9,2.9,9.67,2.88
2005-01-29,6.59,11.74,3.51,5.71,5.3
2005-01-30,3.53,8.4,-2.32,8.95,4.34
2005-01-31,-3.56,-1.81,-5.26,1.12,5.49
2005-02-01,-2.94,-0.76,-4.58,2.47,4.77
2005-02-02,-2.41,1.11,-4.43,0.1,6.41
2005-02-03,-0.28,4.8,-4.85,0.07,6.74
2005-02-04,2.29,7.84,-0.14,0.33,8.09
2005-02-05,-2.51,0.35,-5.99,2.5,6.5
2005-02-06,-4.96,-2.43,-6.44,5.41,7.27
2005-02-07,-5.03,-1.89,-7.0,4.08,4.0
2005-02-08,-6.41,-4.02,-8.69,0.48,7.74
2005-02-09,-7.21,-3.87,-9.37,0.4,7.66
2005-02-10,-7.2,-3.19,-10.66,0.52,8.26
2005-02-11,-6.41,-3.37,-8.64,1.02,8.65
2005-02-12,-6.56,-0.59,-12.2,0.0,11.62
2005-02-13,-2.62,3.32,-9.93,0.03,8.77
2005-02-14,3.39,7.42,0.29,0.3,7.69
2005-02-15,4.97,10.44,2.37,0.04,12.33
2005-02-16,4.38,8.46,0.44,0.25,4.8
2005-02-17,4.99,9.99,1.07,0.97,8.27
2005-02-18,2.74,5.68,0.05,10.61,3.51
2005-02-19,1.52,5.92,-0.96,0.15,9.47
2005-02-20,1.16,4.26,-0.71,3.06,7.88
2005-02-21,1.43,6.29,-2.6,0.01,11.61
2005-02-22,3.18,8.72,-0.6,0.43,9.39
2005-02-23,4.86,11.78,-0.47,0.01,14.11
2005-02-24,4.58,9.95,-0.06,0.41,12.46
2005-02-25,4.36,10.1,-0.15,0.01,11.89
2005-02-26,4.28,9.5,0.58,1.06,8.29
2005-02-27,6.04,11.39,1.65,5.63,11.3
2005-02-28,-0.49,2.47,-4.15,11.43,4.91
2005-03-01,-1.45,3.79,-4.31,6.68,4.35
2005-03-02,0.07,4.87,-2.83,10.5,2.34
2005-03-03,-1.16,0.77,-3.19,7.92,3.72
2005-03-04,-2.64,1.51,-7.23,0.77,7.48
2005-03-05,1.69,8.06,-4.94,0.03,10.44
2005-03-06,4.45,8.16,2.18,5.66,6.62
2005-03-07,6.13,13.24,0.25,2.98,15.3
2005-03-08,2.55,8.64,-3.69,13.05,6.06
2005-03-09,-3.27,0.56,-6.01,0.57,8.22
2005-03-10,-3.79,0.3,-8.05,2.11,12.95
2005-03-11,-4.08,-0.64,-5.93,2.34,11.64
2005-03-12,-2.91,2.37,-7.07,0.04,19.36
2005-03-13,0.62,8.6,-6.22,0.0,20.24
2005-03-14,2.12,4.97,0.27,3.15,7.85
2005-03-15,3.97,9.32,0.19,0.05,17.09
2005-03-16,3.36,8.63,0.06,0.0,11.4
2005-03-17,3.88,10.98,-1.04,0.0,19.63
2005-03-18,4.67,12.14,-0.96,0.73,12.6
