date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,19.64,27.67,12.47,0.0,17.78
2004-10-02,17.79,25.83,11.61,0.01,18.92
2004-10-03,14.4,22.42,7.7,0.58,16.0
2004-10-04,12.16,20.1,5.76,0.02,17.19
2004-10-05,13.43,23.08,3.73,0.0,19.41
2004-10-06,14.72,22.72,8.49,0.03,14.63
2004-10-07,12.91,19.77,8.02,0.0,14.61
2004-10-08,11.79,17.65,7.84,1.4,14.41
2004-10-09,11.78,17.71,7.63,0.53,13.36
2004-10-10,12.86,20.18,6.25,0.48,15.5
2004-10-11,14.05,22.19,8.42,0.0,18.04
2004-10-12,15.78,24.02,8.62,0.0,17.51
2004-10-13,13.06,22.26,5.17,0.14,15.41
2004-10-14,13.45,19.29,8.39,0.47,16.13
2004-10-15,15.34,22.02,9.35,0.0,15.94
2004-10-16,14.84,20.46,9.85,0.0,13.41
2004-10-17,15.53,23.19,8.63,0.0,16.13
2004-10-18,17.43,25.54,12.01,0.0,15.23
2004-10-19,17.2,24.96,12.21,0.0,15.26
2004-10-20,15.53,23.32,9.92,0.25,12.94
2004-10-21,10.47,16.57,4.64,1.0,13.21
2004-10-22,10.02,18.16,3.32,0.0,12.18
2004-10-23,11.23,20.41,4.2,0.0,16.26
2004-10-24,12.09,19.95,6.62,0.0,15.34
2004-10-25,13.84,21.44,7.98,0.0,15.45
2004-10-26,13.63,22.05,7.76,0.0,15.1
2004-10-27,14.16,22.52,9.9,0.0,11.36
2004-10-28,15.39,23.22,9.32,0.15,13.0
2004-10-29,12.36,16.93,7.78,4.05,5.54
2004-10-30,11.46,16.91,6.64,0.8,9.22
2004-10-31,11.57,18.83,5.71,0.01,12.74
2004-11-01,12.12,18.81,6.51,0.0,13.99
2004-11-02,13.04,20.12,7.52,0.0,13.85
2004-11-03,12.22,20.42,6.23,0.0,13.42
2004-11-04,6.75,15.16,-0.11,0.04,12.7
2004-11-05,7.49,17.04,-0.75,0.0,14.65
2004-11-06,8.27,14.38,4.86,1.97,11.27
2004-11-07,7.96,13.0,5.06,0.18,11.06
2004-11-08,9.06,13.44,5.63,0.13,9.81
2004-11-09,9.37,13.78,6.07,0.19,7.8
2004-11-10,9.08,13.51,5.97,0.09,10.3
2004-11-11,9.54,14.59,5.73,0.05,10.48
2004-11-12,10.1,16.4,4.43,0.0,12.23
2004-11-13,10.97,17.64,6.09,0.0,11.83
2004-11-14,10.52,18.42,5.76,0.0,11.7
2004-11-15,8.03,13.44,4.6,0.03,5.3
2004-11-16,8.71,14.31,4.64,10.88,8.09
2004-11-17,5.73,8.43,1.02,13.85,5.14
2004-11-18,1.17,7.25,-2.69,0.02,9.73
2004-11-19,2.22,10.81,-3.11,0.18,12.22
2004-11-20,5.17,8.03,2.08,6.09,10.11
2004-11-21,7.39,9.48,1.14,30.54,2.14
2004-11-22,-2.64,0.44,-6.25,4.06,3.4
2004-11-23,-5.81,-2.72,-7.76,0.05,7.06
2004-11-24,-2.79,4.19,-7.49,0.11,5.99
2004-11-25,0.23,2.25,-3.37,20.2,5.02
