date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,20.24,27.18,13.71,0.0,17.88
2004-10-02,16.46,23.72,10.45,0.0,17.71
2004-10-03,14.84,20.51,10.81,0.35,13.49
2004-10-04,12.62,18.31,8.45,0.0,14.54
2004-10-05,11.69,18.89,6.99,0.0,16.09
2004-10-06,14.03,24.11,6.5,0.04,15.58
2004-10-07,15.29,21.12,9.59,1.02,13.02
2004-10-08,13.74,18.9,8.74,4.14,15.25
2004-10-09,12.72,17.77,8.12,0.95,12.61
2004-10-10,13.68,20.45,7.34,0.0,16.17
2004-10-11,14.88,23.57,6.91,0.0,17.39
2004-10-12,14.46,23.91,8.22,0.06,15.95
2004-10-13,8.51,13.82,3.95,0.49,7.34
2004-10-14,9.19,19.05,1.44,0.0,13.71
2004-10-15,14.56,23.24,7.52,0.0,14.52
2004-10-16,15.19,22.56,8.61,0.0,14.03
2004-10-17,16.49,25.01,9.31,0.0,11.49
2004-10-18,18.42,27.76,11.56,0.0,14.37
2004-10-19,17.24,25.01,10.72,0.0,14.74
2004-10-20,14.55,20.68,9.28,0.76,7.32
2004-10-21,12.12,18.45,6.33,0.34,14.59
2004-10-22,11.42,17.28,6.44,0.0,13.28
2004-10-23,11.23,20.22,3.11,0.0,15.44
2004-10-24,14.09,22.56,7.43,0.0,14.46
2004-10-25,13.6,22.11,7.44,0.0,14.79
2004-10-26,14.45,23.66,6.23,0.0,14.5
2004-10-27,16.96,25.4,9.29,0.0,9.57
2004-10-28,16.46,22.74,11.43,0.0,12.07
2004-10-29,16.45,21.12,12.24,0.4,10.42
2004-10-30,14.77,21.28,8.92,0.04,11.71
2004-10-31,14.63,21.37,8.76,0.0,12.67
2004-11-01,14.83,21.52,9.0,0.0,13.67
2004-11-02,15.16,23.43,9.43,0.0,12.93
2004-11-03,11.69,18.16,7.99,0.01,13.08
2004-11-04,7.8,14.62,1.38,0.02,13.55
2004-11-05,5.3,16.23,-1.46,0.0,14.11
2004-11-06,8.45,17.09,0.77,0.0,12.66
2004-11-07,11.3,17.35,7.28,0.04,9.29
2004-11-08,11.44,17.95,6.65,0.02,9.91
2004-11-09,12.04,18.78,5.98,0.0,10.88
2004-11-10,12.22,18.43,7.29,0.0,10.18
2004-11-11,12.84,18.07,9.33,0.01,10.3
2004-11-12,12.06,19.98,6.74,0.0,11.47
2004-11-13,12.3,19.95,5.96,0.0,10.89
2004-11-14,12.49,20.73,5.31,0.0,10.04
2004-11-15,13.38,19.56,9.35,1.3,2.89
2004-11-16,10.99,15.77,7.81,3.01,9.49
2004-11-17,5.71,8.95,0.47,10.64,4.42
2004-11-18,2.48,8.2,-2.5,0.0,10.71
2004-11-19,3.19,10.8,-2.88,0.0,11.85
2004-11-20,8.39,13.81,2.18,4.56,3.68
2004-11-21,0.21,7.26,-2.63,12.47,3.08
2004-11-22,-3.78,-1.41,-8.46,3.0,1.94
2004-11-23,-5.96,-0.48,-9.66,0.03,7.49
2004-11-24,-2.95,3.01,-8.26,0.07,7.21
2004-11-25,-2.11,0.35,-6.24,16.06,2.1
2004-11-26,-5.23,-0.46,-12.83,3.18,4.89
2004-11-27,-7.54,-1.33,-13.23,0.01,5.52
2004-11-28,-6.91,0.3,-11.51,0.0,7.98
2004-11-29,-3.95,2.11,-8.54,0.01,8.93
2004-11-30,-0.8,4.88,-4.91,0.07,3.79
2004-12-01,1.66,6.27,-1.01,0.18,5.79
2004-12-02,0.47,6.52,-2.59,0.0,4.92
2004-12-03,2.69,10.66,-2.56,0.0,6.46
2004-12-04,3.86,10.93,-1.73,0.0,7.48
2004-12-05,2.31,6.01,-1.73,0.16,3.66
2004-12-06,0.31,6.56,-3.79,0.01,7.19
2004-12-07,-0.51,5.7,-3.1,2.47,2.8
2004-12-08,-1.46,3.69,-4.19,0.06,8.84
2004-12-09,-1.57,4.29,-4.8,0.0,9.37
2004-12-10,-1.2,2.44,-4.04,0.0,6.87
2004-12-11,-1.78,1.17,-3.73,0.02,6.92
2004-12-12,-0.96,2.74,-3.5,0.01,9.13
2004-12-13,-1.18,4.32,-5.87,0.0,8.09
2004-12-14,-1.66,2.15,-5.12,0.16,5.93
2004-12-15,-5.61,-1.15,-9.13,0.01,8.81
2004-12-16,-6.75,-1.79,-10.99,0.0,9.7
2004-12-17,-6.38,-0.26,-10.98,0.0,9.9
2004-12-18,-2.62,4.44,-8.83,0.0,9.28
2004-12-19,0.07,4.56,-1.96,0.0,5.86
2004-12-20,0.69,6.09,-2.09,0.09,4.29
2004-12-21,1.95,6.97,-0.41,0.2,7.16
2004-12-22,0.97,4.21,-0.49,2.8,2.65
2004-12-23,1.12,4.67,-1.58,5.11,4.77
2004-12-24,-0.66,4.45,-3.32,0.09,5.64
2004-12-25,-1.2,3.73,-3.61,0.06,5.9
2004-12-26,-2.44,2.53,-5.03,0.0,5.77
2004-12-27,-0.46,5.27,-5.24,0.0,5.36
2004-12-28,2.39,8.95,-0.86,0.0,8.47
2004-12-29,2.87,9.15,-0.87,0.17,4.18
2004-12-30,3.68,11.07,-1.35,0.0,8.61
2004-12-31,3.72,11.55,0.07,0.0,8.46
2005-01-01,2.87,10.49,-1.98,0.09,7.89
2005-01-02,0.83,5.72,-3.22,1.48,5.89
2005-01-03,-0.53,3.16,-3.64,0.04,6.8
2005-01-04,-0.32,3.89,-2.69,0.2,5.7
