date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,17.86,25.27,11.08,0.0,17.84
2004-10-02,16.91,23.71,10.92,0.4,14.27
2004-10-03,14.68,19.41,10.64,0.29,11.6
2004-10-04,13.24,17.88,9.47,0.31,13.29
2004-10-05,14.3,17.91,11.25,0.06,10.52
2004-10-06,13.86,16.75,12.24,1.42,10.08
2004-10-07,12.78,14.61,10.87,3.44,8.92
2004-10-08,12.81,18.92,9.67,0.11,11.62
2004-10-09,14.05,22.89,6.6,0.03,15.83
2004-10-10,17.32,25.61,10.88,0.0,15.18
2004-10-11,16.66,23.05,11.71,3.83,9.6
2004-10-12,10.5,12.47,8.93,12.08,4.71
2004-10-13,10.19,13.2,8.89,0.15,8.32
2004-10-14,10.08,11.67,8.76,0.27,4.17
2004-10-15,12.25,17.08,9.52,0.2,12.38
2004-10-16,14.89,22.22,6.65,0.51,11.16
2004-10-17,18.69,24.93,13.97,0.05,11.8
2004-10-18,16.06,21.62,11.42,0.01,11.11
2004-10-19,16.71,24.0,10.96,0.05,12.83
2004-10-20,16.42,21.67,12.55,0.03,8.91
2004-10-21,14.82,21.05,10.78,0.0,12.47
2004-10-22,13.88,18.5,11.07,0.45,3.41
2004-10-23,13.12,20.12,8.64,0.0,12.56
2004-10-24,14.3,21.98,9.43,0.0,11.37
2004-10-25,14.21,23.62,8.63,0.03,13.54
2004-10-26,15.23,24.79,9.96,0.0,12.51
2004-10-27,15.14,22.21,11.25,0.0,8.98
2004-10-28,15.47,23.28,10.67,0.0,11.42
2004-10-29,15.83,23.13,11.68,0.02,11.49
2004-10-30,15.16,23.1,10.32,0.0,11.56
2004-10-31,15.36,23.82,9.17,0.0,11.21
2004-11-01,16.65,26.11,9.8,0.03,10.31
2004-11-02,14.39,19.51,11.37,0.02,8.22
2004-11-03,11.69,14.44,9.8,0.11,3.04
2004-11-04,10.7,13.81,8.8,0.0,6.23
2004-11-05,11.07,15.77,7.8,0.0,11.94
2004-11-06,10.99,15.45,6.98,0.0,10.2
2004-11-07,10.2,16.95,6.67,0.0,10.63
2004-11-08,12.55,17.83,7.08,0.13,8.16
2004-11-09,15.69,21.21,12.84,0.66,7.44
2004-11-10,14.47,18.5,10.85,5.09,4.83
2004-11-11,13.96,20.16,10.86,0.01,9.52
2004-11-12,13.27,18.63,10.23,0.01,5.94
2004-11-13,13.28,20.05,9.56,0.01,7.84
2004-11-14,15.3,21.58,10.22,0.32,2.97
2004-11-15,13.94,18.34,5.64,0.96,3.35
2004-11-16,4.84,6.65,3.42,4.29,2.73
2004-11-17,4.47,8.82,0.04,0.06,6.61
2004-11-18,4.37,11.43,-1.61,0.0,10.11
2004-11-19,9.54,15.58,4.41,0.04,7.08
2004-11-20,4.44,12.67,-2.77,6.63,4.22
2004-11-21,-0.95,5.03,-5.23,0.02,9.99
2004-11-22,-1.58,4.1,-4.7,0.03,8.37
2004-11-23,1.05,6.3,-4.9,0.01,4.27
2004-11-24,2.68,6.72,-3.34,0.68,2.88
2004-11-25,-1.83,1.99,-4.91,0.17,7.66
2004-11-26,-1.95,4.61,-6.05,0.01,7.51
2004-11-27,2.38,10.7,-2.96,0.0,8.8
2004-11-28,5.26,11.89,1.32,0.0,5.79
2004-11-29,8.51,12.41,5.91,0.0,7.12
2004-11-30,9.57,15.13,5.34,0.0,6.58
2004-12-01,8.38,11.27,6.8,0.05,3.42
2004-12-02,11.43,16.03,7.96,0.0,5.15
2004-12-03,12.91,19.2,9.22,0.01,6.46
2004-12-04,10.87,15.83,7.86,0.48,4.07
2004-12-05,7.81,10.08,5.6,1.05,3.67
2004-12-06,7.07,11.99,4.47,0.5,6.66
2004-12-07,3.97,7.87,-0.42,5.1,4.97
2004-12-08,2.38,8.72,-0.99,0.0,8.01
2004-12-09,1.17,7.27,-2.93,0.0,6.9
2004-12-10,-0.22,4.73,-3.64,0.0,7.33
2004-12-11,-0.59,3.79,-2.83,0.01,6.93
2004-12-12,0.32,8.01,-3.13,0.0,8.41
2004-12-13,0.7,7.23,-3.14,0.0,8.13
2004-12-14,-0.54,3.13,-3.51,0.01,4.5
2004-12-15,-2.13,3.01,-4.6,0.0,8.22
2004-12-16,-0.9,4.87,-3.83,0.0,8.34
2004-12-17,0.83,4.29,-3.62,0.0,7.29
2004-12-18,7.01,11.83,2.91,0.13,4.57
2004-12-19,8.51,10.39,6.65,2.13,3.09
2004-12-20,3.11,6.12,0.79,1.55,2.29
2004-12-21,1.03,2.44,0.43,11.41,2.22
2004-12-22,-0.64,0.56,-2.24,15.82,1.99
2004-12-23,-3.46,0.37,-7.24,0.5,3.69
