date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,19.78,27.47,13.97,0.0,18.19
2004-10-02,16.77,24.59,11.07,0.0,17.28
2004-10-03,14.32,20.53,9.11,0.43,12.41
2004-10-04,12.32,18.91,7.06,0.0,15.34
2004-10-05,11.93,20.41,6.13,0.0,17.14
2004-10-06,14.73,25.51,5.02,0.0,15.55
2004-10-07,15.48,22.42,9.08,0.55,14.29
2004-10-08,13.68,18.89,8.37,4.88,15.73
2004-10-09,12.16,16.39,8.97,0.23,11.06
2004-10-10,13.49,20.02,7.38,0.0,16.12
2004-10-11,15.12,23.23,7.49,0.0,17.4
2004-10-12,14.72,24.23,7.58,0.01,16.4
2004-10-13,9.48,16.18,5.27,0.23,7.56
2004-10-14,11.16,20.85,3.05,0.0,14.18
2004-10-15,15.22,22.3,8.84,0.0,15.5
2004-10-16,14.88,22.25,8.5,0.0,14.55
2004-10-17,16.65,24.81,9.13,0.0,13.76
2004-10-18,18.37,27.23,10.71,0.0,13.56
2004-10-19,17.33,25.12,10.46,0.0,15.11
2004-10-20,14.64,20.94,8.33,0.48,7.6
2004-10-21,11.86,17.89,7.12,0.17,15.07
2004-10-22,11.39,18.81,6.12,0.0,11.61
2004-10-23,11.56,20.05,5.03,0.0,15.34
2004-10-24,14.1,22.08,7.32,0.0,14.45
2004-10-25,14.1,22.43,8.58,0.0,14.83
2004-10-26,14.92,23.69,7.49,0.0,14.59
2004-10-27,17.15,26.12,9.23,0.0,10.13
2004-10-28,17.73,25.24,11.86,0.0,12.54
2004-10-29,15.49,21.51,9.82,1.53,7.63
2004-10-30,13.89,20.02,7.43,0.27,11.5
2004-10-31,13.61,20.4,8.94,0.0,12.56
2004-11-01,13.54,20.61,8.16,0.0,13.54
2004-11-02,14.72,22.39,8.78,0.0,12.91
2004-11-03,10.69,18.51,5.56,0.0,12.63
2004-11-04,7.76,14.67,1.06,0.01,13.2
2004-11-05,5.78,17.23,-2.34,0.0,13.47
2004-11-06,10.5,17.94,4.41,0.0,12.96
2004-11-07,10.95,16.38,7.12,0.0,9.69
2004-11-08,11.29,18.41,5.74,0.01,10.68
2004-11-09,12.13,18.09,6.8,0.0,10.27
2004-11-10,12.12,18.29,5.71,0.0,10.13
2004-11-11,12.39,17.0,8.4,0.04,10.96
