date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,18.58,24.85,14.34,0.0,17.45
2004-10-02,17.68,24.96,11.88,0.06,17.42
2004-10-03,16.19,19.74,13.68,1.59,11.46
2004-10-04,16.15,20.64,13.31,0.12,15.66
2004-10-05,16.7,22.03,12.16,0.03,16.56
2004-10-06,16.55,19.2,14.05,0.25,14.43
2004-10-07,16.38,19.31,14.4,4.58,6.19
2004-10-08,15.21,18.13,13.56,2.53,5.37
2004-10-09,16.08,20.85,11.88,11.95,12.05
2004-10-10,16.65,24.05,9.94,0.0,16.68
2004-10-11,19.25,28.39,12.14,0.04,13.9
2004-10-12,13.83,16.94,11.52,11.25,4.86
2004-10-13,12.71,15.61,10.82,0.38,6.67
2004-10-14,12.05,17.65,8.16,0.0,10.15
2004-10-15,14.57,21.1,10.67,0.0,14.51
2004-10-16,18.7,25.19,13.06,0.06,14.25
2004-10-17,21.25,28.45,17.09,0.01,12.34
2004-10-18,19.4,26.24,14.33,0.0,13.92
2004-10-19,18.42,24.94,13.46,0.0,12.75
2004-10-20,17.07,22.62,13.37,1.5,11.48
2004-10-21,15.24,21.23,10.92,0.12,14.46
2004-10-22,14.15,20.36,10.82,0.0,8.41
2004-10-23,13.53,19.62,9.15,0.0,15.0
2004-10-24,13.4,20.79,8.09,0.0,14.38
2004-10-25,14.16,22.42,8.74,0.0,14.45
2004-10-26,16.7,27.11,11.53,0.0,13.89
2004-10-27,15.9,25.05,9.18,0.0,9.81
2004-10-28,17.01,24.98,11.1,0.0,12.8
2004-10-29,17.04,24.11,13.07,0.0,12.23
2004-10-30,15.65,23.56,11.15,0.0,12.39
2004-10-31,16.57,25.47,10.78,0.0,12.66
2004-11-01,17.2,25.65,11.08,0.0,12.39
2004-11-02,16.14,21.64,13.35,0.04,9.92
2004-11-03,13.81,17.18,11.98,0.36,8.22
2004-11-04,12.79,16.94,8.42,0.1,11.93
2004-11-05,11.45,18.71,7.61,0.0,13.37
2004-11-06,11.69,19.31,5.57,0.0,11.59
2004-11-07,13.08,19.1,9.56,0.11,9.2
2004-11-08,14.66,23.29,9.5,0.0,10.49
2004-11-09,16.22,23.94,11.08,0.0,7.99
2004-11-10,16.17,20.47,13.12,0.04,7.22
2004-11-11,15.41,20.89,12.76,0.11,10.34
2004-11-12,15.3,20.57,13.11,0.03,9.59
2004-11-13,15.89,24.15,11.87,0.01,9.85
2004-11-14,18.32,28.64,11.52,0.67,4.94
2004-11-15,17.7,22.72,13.76,3.04,4.04
2004-11-16,11.32,13.89,8.4,17.12,4.49
2004-11-17,8.41,10.73,6.03,5.4,3.12
2004-11-18,8.13,14.07,4.52,0.0,10.98
2004-11-19,8.3,16.59,2.12,0.0,11.24
2004-11-20,7.28,12.93,3.66,20.87,1.18
2004-11-21,3.79,7.81,1.19,1.12,7.78
2004-11-22,3.1,4.5,2.13,12.58,2.43
2004-11-23,3.89,7.87,-0.27,1.49,7.91
2004-11-24,3.46,7.54,-0.46,15.1,2.2
2004-11-25,1.4,4.84,-1.42,6.7,4.57
2004-11-26,1.35,4.94,-1.33,2.57,5.17
2004-11-27,2.38,9.39,-1.9,0.03,7.04
2004-11-28,4.19,10.14,0.02,0.01,6.57
2004-11-29,7.42,15.19,2.59,0.0,8.86
2004-11-30,9.91,14.55,6.45,0.45,5.28
2004-12-01,9.34,13.45,5.95,2.82,5.93
2004-12-02,10.02,17.54,5.75,0.01,7.59
2004-12-03,12.09,18.52,8.65,0.05,8.21
2004-12-04,11.35,15.83,8.76,0.71,5.08
2004-12-05,9.04,12.18,5.67,0.84,3.9
2004-12-06,7.0,13.3,3.05,0.0,9.09
2004-12-07,6.14,8.38,4.21,13.66,3.57
2004-12-08,5.5,10.43,1.98,0.21,9.0
2004-12-09,3.99,8.54,-0.5,0.01,7.05
2004-12-10,4.51,8.25,2.64,0.27,7.1
2004-12-11,4.09,6.59,2.86,2.92,3.13
2004-12-12,5.29,9.43,3.05,0.13,9.01
2004-12-13,4.08,9.57,-1.2,0.08,8.41
2004-12-14,3.8,7.2,1.66,0.39,3.32
2004-12-15,1.78,6.01,-1.31,0.38,6.39
2004-12-16,1.21,5.71,-3.23,0.0,8.9
2004-12-17,1.18,9.41,-3.99,0.0,9.35
2004-12-18,5.89,14.12,0.15,0.06,6.52
2004-12-19,8.33,14.9,5.07,0.62,3.21
2004-12-20,7.6,11.44,5.17,2.76,4.14
2004-12-21,7.19,7.69,6.62,7.62,3.37
2004-12-22,6.59,7.79,5.79,5.99,1.97
2004-12-23,3.52,5.23,1.53,3.41,3.06
2004-12-24,3.11,7.72,0.12,0.01,4.6
2004-12-25,3.11,9.98,-1.81,0.0,9.1
2004-12-26,3.55,12.91,-2.2,0.0,9.08
2004-12-27,8.91,17.12,3.39,0.01,7.83
2004-12-28,10.66,17.61,5.06,0.71,6.58
2004-12-29,11.43,16.89,9.12,1.28,2.31
2004-12-30,8.54,12.84,6.2,0.5,5.55
2004-12-31,7.0,8.42,6.06,0.84,2.2
2005-01-01,8.13,12.52,6.2,0.86,4.07
2005-01-02,4.81,7.15,1.43,4.75,2.31
2005-01-03,4.09,8.5,0.42,0.15,7.14
2005-01-04,2.79,4.15,-1.54,5.4,2.97
2005-01-05,3.84,8.84,-0.24,3.21,4.39
2005-01-06,5.18,11.79,2.28,0.17,8.65
2005-01-07,4.92,6.41,3.0,2.91,2.26
2005-01-08,4.84,9.46,0.83,0.2,7.57
2005-01-09,4.12,13.11,-1.48,0.0,9.82
2005-01-10,5.12,11.68,0.82,0.0,9.26
2005-01-11,4.77,13.4,-0.9,0.0,9.91
2005-01-12,4.4,14.99,-1.68,0.0,9.39
2005-01-13,5.17,12.9,-0.34,0.0,8.6
2005-01-14,5.67,11.23,2.59,0.36,4.54
2005-01-15,3.94,5.1,3.05,18.2,1.96
2005-01-16,4.91,6.01,3.75,17.45,1.9
2005-01-17,6.64,8.28,5.33,1.17,4.08
2005-01-18,5.37,7.38,3.81,1.35,2.71
2005-01-19,5.22,11.26,1.79,0.01,8.7
2005-01-20,6.45,13.53,1.69,0.0,9.44
2005-01-21,6.98,13.65,2.06,0.03,9.55
2005-01-22,4.67,7.75,1.09,13.87,2.78
2005-01-23,2.18,5.48,0.62,3.47,5.7
2005-01-24,1.87,7.02,-2.84,0.83,10.18
2005-01-25,7.02,13.23,0.34,1.15,4.58
2005-01-26,10.93,14.29,8.16,0.22,3.17
2005-01-27,9.87,12.7,7.8,10.0,4.29
2005-01-28,8.2,10.23,6.47,22.31,4.15
2005-01-29,8.0,9.48,6.55,28.14,5.73
2005-01-30,4.7,7.63,-0.01,15.82,2.37
2005-01-31,-0.11,2.65,-1.86,0.68,4.58
2005-02-01,0.98,4.48,-1.7,0.92,6.78
