date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,18.77,25.5,11.45,0.0,20.05
2004-10-02,15.0,23.48,8.25,0.0,19.49
2004-10-03,12.61,20.18,7.08,0.0,19.33
2004-10-04,11.78,19.03,5.93,0.0,17.17
2004-10-05,11.74,18.96,5.59,0.0,16.19
2004-10-06,10.55,17.29,4.69,1.89,8.39
2004-10-07,10.2,15.44,6.8,5.79,8.05
2004-10-08,9.39,12.72,6.14,3.13,8.26
2004-10-09,10.91,16.61,7.05,0.03,15.11
2004-10-10,13.09,19.18,8.08,0.0,17.27
2004-10-11,14.04,21.5,8.58,0.0,18.57
2004-10-12,14.53,23.01,8.29,0.03,18.09
2004-10-13,10.88,17.68,6.18,0.07,14.94
2004-10-14,11.57,19.01,4.65,0.01,16.49
2004-10-15,13.75,21.11,8.18,0.0,16.04
2004-10-16,14.5,20.93,8.98,0.0,15.21
2004-10-17,15.48,22.86,9.35,0.0,16.54
2004-10-18,16.42,24.1,11.01,0.0,16.27
2004-10-19,15.42,23.17,9.95,0.0,16.83
2004-10-20,14.57,20.73,9.23,0.0,12.74
2004-10-21,11.46,17.43,8.31,0.0,16.15
2004-10-22,12.56,20.12,7.01,0.0,16.08
2004-10-23,11.86,19.2,6.55,0.0,16.11
2004-10-24,13.21,20.52,7.38,0.0,15.14
2004-10-25,12.91,20.89,7.71,0.0,14.78
2004-10-26,13.69,21.12,7.93,0.0,14.65
2004-10-27,15.34,22.84,10.18,0.0,13.28
2004-10-28,14.01,20.63,9.27,0.0,12.26
2004-10-29,13.28,19.71,8.23,0.16,12.05
2004-10-30,12.51,19.66,6.89,0.0,13.01
2004-10-31,12.55,19.47,8.06,0.0,14.05
2004-11-01,12.12,19.32,7.24,0.0,14.57
2004-11-02,12.33,20.49,7.1,0.0,14.32
2004-11-03,10.29,18.45,5.6,0.0,13.92
2004-11-04,7.21,13.92,1.69,0.0,11.54
2004-11-05,6.28,15.37,-1.52,0.0,13.92
2004-11-06,9.67,16.0,5.47,0.02,9.21
2004-11-07,9.61,14.75,5.44,2.08,10.66
2004-11-08,9.2,12.86,6.91,2.13,6.11
2004-11-09,9.34,15.06,6.3,3.5,7.47
2004-11-10,9.27,13.42,5.92,2.88,5.8
2004-11-11,11.27,15.03,8.6,0.03,10.66
2004-11-12,11.19,16.28,6.26,0.0,12.06
2004-11-13,11.54,16.73,7.58,0.0,12.49
2004-11-14,10.77,18.39,5.81,10.08,8.73
2004-11-15,10.21,15.72,7.4,6.83,4.28
2004-11-16,9.09,12.89,6.13,6.9,5.81
2004-11-17,3.76,5.43,0.18,1.18,3.95
2004-11-18,0.89,7.13,-2.41,0.0,11.72
2004-11-19,3.01,11.39,-2.69,0.15,10.82
2004-11-20,7.25,10.23,3.51,4.55,4.05
2004-11-21,0.31,7.83,-4.62,12.43,5.04
2004-11-22,-5.31,-3.88,-6.53,0.36,6.1
2004-11-23,-4.08,-0.86,-6.06,0.0,11.07
2004-11-24,-0.65,4.44,-4.44,0.24,6.79
2004-11-25,-1.82,1.86,-6.26,16.97,5.61
2004-11-26,-6.1,-3.9,-8.06,0.47,5.73
2004-11-27,-7.43,-1.79,-10.62,0.0,9.35
2004-11-28,-3.88,3.05,-10.3,0.0,9.39
2004-11-29,-0.93,4.59,-5.18,0.0,8.96
2004-11-30,1.04,6.58,-2.36,0.02,7.81
2004-12-01,1.53,6.08,-0.63,0.19,6.77
