date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,16.28,24.48,10.18,0.0,17.58
2004-10-02,14.3,22.86,7.65,0.04,19.02
2004-10-03,12.88,20.18,7.51,0.0,13.09
2004-10-04,11.88,19.54,5.99,0.01,16.38
2004-10-05,13.1,19.79,7.52,0.13,12.28
2004-10-06,12.31,20.25,6.61,0.35,15.66
2004-10-07,12.67,17.81,9.64,5.96,7.23
2004-10-08,11.57,15.73,9.06,5.92,6.58
2004-10-09,12.51,18.07,8.81,1.74,10.32
2004-10-10,14.61,22.95,7.44,0.0,17.66
2004-10-11,16.36,25.94,8.28,0.0,16.75
2004-10-12,13.18,20.09,8.33,0.82,8.61
2004-10-13,10.13,15.59,6.9,0.65,6.6
2004-10-14,12.5,22.15,4.71,0.0,14.6
2004-10-15,15.01,22.6,9.0,0.0,14.27
2004-10-16,16.92,23.91,11.39,0.0,14.46
2004-10-17,18.49,25.53,13.78,0.0,13.77
2004-10-18,17.13,24.98,11.1,0.0,15.67
2004-10-19,16.18,24.16,9.79,0.0,13.79
2004-10-20,15.72,23.46,11.24,0.0,11.41
2004-10-21,14.07,21.64,8.65,0.0,15.62
2004-10-22,14.37,22.08,8.81,0.0,13.11
2004-10-23,13.22,22.55,6.3,0.0,15.08
2004-10-24,12.97,21.64,7.53,0.0,14.93
2004-10-25,14.93,24.39,6.8,0.0,14.31
2004-10-26,15.88,24.51,8.54,0.0,14.37
2004-10-27,14.79,23.67,8.54,0.0,10.25
2004-10-28,14.7,23.43,8.57,0.0,12.98
2004-10-29,14.5,23.08,8.24,0.0,11.95
2004-10-30,15.27,23.1,10.29,0.0,12.4
2004-10-31,15.44,23.56,9.09,0.0,13.36
2004-11-01,15.91,25.04,9.72,0.0,13.43
2004-11-02,15.56,24.69,9.86,0.0,13.09
2004-11-03,12.37,20.98,7.68,0.0,12.31
2004-11-04,10.19,17.96,5.75,0.0,12.74
2004-11-05,7.99,17.77,1.97,0.0,13.68
2004-11-06,10.59,18.77,3.81,0.27,11.0
2004-11-07,10.99,16.53,6.03,0.42,6.91
2004-11-08,11.63,18.38,6.72,0.04,9.83
2004-11-09,12.19,19.1,6.9,0.31,7.19
2004-11-10,12.1,17.14,8.34,1.64,6.32
2004-11-11,12.53,19.43,7.26,0.0,11.47
2004-11-12,13.31,20.51,8.35,0.0,11.01
2004-11-13,13.01,20.65,7.46,0.0,10.81
2004-11-14,14.34,22.62,8.58,3.96,5.79
2004-11-15,12.45,16.02,8.88,10.37,5.37
2004-11-16,9.4,14.13,6.1,8.09,7.54
2004-11-17,4.15,7.89,0.88,1.13,4.16
2004-11-18,3.76,11.4,-1.83,0.0,11.95
2004-11-19,5.08,13.44,-1.5,0.21,11.92
2004-11-20,5.01,11.44,-2.39,27.78,2.55
2004-11-21,-3.88,0.45,-7.96,0.75,7.22
2004-11-22,-4.57,-1.13,-7.19,1.31,4.18
2004-11-23,-4.16,1.71,-8.57,0.01,9.94
2004-11-24,-1.19,5.46,-6.5,7.21,3.55
2004-11-25,-3.9,-1.08,-5.37,3.22,4.15
2004-11-26,-6.04,-2.15,-9.13,0.56,5.77
2004-11-27,-3.61,3.68,-9.33,0.0,9.18
2004-11-28,-0.18,6.97,-4.86,0.0,9.81
2004-11-29,1.89,8.89,-2.62,0.0,9.22
2004-11-30,4.02,8.62,0.88,0.18,5.89
2004-12-01,5.8,10.53,1.39,0.41,6.61
2004-12-02,6.28,13.46,2.09,0.0,8.82
2004-12-03,7.11,15.41,1.89,0.0,9.22
2004-12-04,8.19,15.86,3.14,0.0,6.6
2004-12-05,6.19,8.5,2.23,4.88,2.81
2004-12-06,4.32,11.17,0.47,0.0,7.27
2004-12-07,1.86,5.23,-0.79,7.37,2.82
2004-12-08,-0.13,6.6,-3.54,0.01,9.95
2004-12-09,0.91,7.67,-2.97,0.0,9.43
2004-12-10,-0.07,4.8,-2.39,0.0,8.94
2004-12-11,-1.48,4.17,-5.31,0.02,7.09
2004-12-12,-0.31,6.32,-3.49,0.0,9.93
2004-12-13,1.0,8.18,-2.68,0.01,9.83
2004-12-14,-1.23,3.7,-4.8,0.06,4.08
2004-12-15,-3.42,0.69,-5.32,0.0,8.88
2004-12-16,-3.57,2.05,-6.77,0.0,10.14
2004-12-17,-1.65,5.89,-7.33,0.0,9.59
2004-12-18,1.87,5.57,-1.2,0.0,4.09
2004-12-19,3.41,7.2,1.76,0.95,4.39
2004-12-20,3.59,9.34,0.65,1.13,3.44
2004-12-21,4.18,9.01,1.09,3.41,4.72
2004-12-22,3.19,5.54,0.64,10.9,1.55
2004-12-23,-0.15,4.06,-3.57,0.96,4.12
2004-12-24,-0.83,4.8,-3.63,0.01,5.2
2004-12-25,-0.38,6.9,-4.01,0.0,9.57
2004-12-26,1.33,9.87,-3.63,0.0,9.07
2004-12-27,4.72,12.35,1.15,0.15,5.04
2004-12-28,6.88,15.28,0.98,1.7,5.83
2004-12-29,7.87,13.69,4.68,1.5,4.43
2004-12-30,7.41,11.75,4.94,0.61,3.15
2004-12-31,6.09,12.92,2.15,0.35,4.91
2005-01-01,4.65,9.24,1.55,1.47,5.87
2005-01-02,1.95,5.44,-1.14,0.91,3.13
2005-01-03,-0.61,5.29,-4.33,0.0,7.07
2005-01-04,-1.86,1.67,-4.34,1.27,3.41
2005-01-05,-1.62,3.45,-4.96,0.0,4.88
2005-01-06,0.89,6.94,-2.03,0.0,9.16
2005-01-07,0.95,4.65,-1.45,1.66,5.72
2005-01-08,0.14,6.75,-3.48,0.05,7.92
2005-01-09,3.12,11.0,-3.52,0.0,10.34
2005-01-10,2.86,9.6,-1.24,0.0,10.01
2005-01-11,2.24,11.33,-2.2,0.0,10.74
2005-01-12,5.11,13.68,-1.38,0.0,10.7
2005-01-13,5.28,12.48,1.27,0.0,10.35
2005-01-14,3.61,8.15,0.45,0.35,7.47
2005-01-15,1.07,4.69,-1.82,5.43,3.63
2005-01-16,-0.41,2.32,-4.09,4.22,2.41
2005-01-17,2.23,7.54,-0.78,3.0,5.82
2005-01-18,1.14,6.53,-2.37,0.12,5.38
2005-01-19,1.48,7.6,-2.62,0.02,8.89
2005-01-20,2.28,8.26,-1.74,0.06,9.63
2005-01-21,2.92,8.12,-0.01,0.03,8.47
2005-01-22,1.81,5.98,-1.79,6.63,3.36
2005-01-23,-3.3,-0.22,-5.98,4.02,5.74
2005-01-24,-2.91,2.13,-6.57,1.18,11.0
2005-01-25,2.23,5.01,-2.12,0.21,4.48
2005-01-26,6.06,10.95,3.87,0.07,5.44
2005-01-27,6.67,10.57,4.07,6.83,6.69
2005-01-28,6.88,10.41,4.64,11.87,5.41
2005-01-29,8.07,12.91,4.75,15.19,8.28
2005-01-30,3.01,6.26,-2.9,6.92,7.33
2005-01-31,-1.03,5.74,-4.64,3.05,5.22
2005-02-01,-2.58,2.45,-5.76,0.34,6.19
2005-02-02,-1.01,3.54,-4.41,0.32,7.33
2005-02-03,2.01,6.27,-0.81,4.4,4.64
2005-02-04,0.1,3.4,-2.41,5.26,5.27
2005-02-05,-2.83,1.82,-5.99,1.57,5.51
2005-02-06,-5.71,-3.35,-6.95,0.35,8.22
2005-02-07,-5.22,-2.55,-7.17,1.98,8.84
2005-02-08,-5.33,-1.82,-8.33,0.75,9.87
2005-02-09,-6.91,-1.99,-9.99,0.05,11.4
2005-02-10,-7.24,-0.96,-11.61,0.09,12.59
2005-02-11,-6.76,-0.11,-11.34,0.01,12.03
2005-02-12,-4.4,2.51,-11.43,0.0,14.52
2005-02-13,-0.47,5.26,-5.9,0.02,10.84
2005-02-14,3.27,7.32,0.62,0.58,5.84
2005-02-15,5.64,10.81,2.44,0.26,8.16
2005-02-16,5.14,9.82,2.37,10.9,6.77
2005-02-17,3.92,8.1,1.25,4.88,7.08
2005-02-18,1.79,5.46,-0.58,14.75,7.15
2005-02-19,1.77,6.75,-2.16,1.09,10.33
2005-02-20,0.95,5.36,-1.73,3.44,9.63
2005-02-21,2.08,7.03,-1.71,1.65,8.9
2005-02-22,3.59,9.2,-0.14,0.89,10.58
2005-02-23,3.91,10.52,-0.92,1.45,8.33
2005-02-24,4.83,11.98,-0.23,1.16,13.68
2005-02-25,4.42,10.99,-0.57,0.0,15.05
2005-02-26,4.58,11.4,1.02,4.92,6.17
2005-02-27,6.01,10.88,2.48,6.27,8.13
2005-02-28,2.92,5.64,-0.07,13.28,3.31
2005-03-01,1.95,5.26,-0.26,12.3,3.33
2005-03-02,5.97,10.7,2.62,9.71,4.87
2005-03-03,0.68,3.49,-3.33,4.32,4.66
2005-03-04,1.94,9.91,-4.27,0.02,17.59
2005-03-05,3.15,9.62,-2.09,1.27,6.75
2005-03-06,6.37,10.64,2.32,9.4,4.63
2005-03-07,6.47,13.03,2.28,0.98,12.93
2005-03-08,2.36,5.62,-2.71,14.95,4.56
2005-03-09,-1.17,2.97,-5.01,1.52,9.55
2005-03-10,-2.45,0.66,-4.94,0.3,13.52
2005-03-11,-3.58,-0.61,-6.18,1.27,5.46
2005-03-12,-1.56,6.13,-6.78,0.0,20.35
2005-03-13,1.12,7.73,-4.04,0.2,15.45
2005-03-14,4.27,10.07,-0.46,1.93,9.64
2005-03-15,6.0,12.94,2.03,0.0,16.74
2005-03-16,4.96,11.15,0.63,0.01,15.8
2005-03-17,6.06,13.57,-0.04,0.0,20.59
2005-03-18,7.7,15.36,1.39,0.0,20.97
2005-03-19,8.1,15.06,1.41,0.13,20.16
2005-03-20,3.53,7.3,-2.87,2.08,5.4
2005-03-21,0.61,8.9,-5.3,0.0,21.88
2005-03-22,0.5,8.74,-4.86,0.0,22.53
2005-03-23,0.45,7.46,-4.66,0.0,22.89
2005-03-24,2.89,10.91,-2.7,0.0,22.79
2005-03-25,6.38,14.33,-2.67,0.0,22.5
2005-03-26,8.22,15.83,1.5,0.0,16.7
2005-03-27,9.1,15.1,3.81,1.42,10.25
2005-03-28,10.99,17.53,7.12,0.25,11.19
2005-03-29,9.38,12.67,6.73,1.38,12.58
2005-03-30,8.33,13.51,4.17,0.2,14.03
2005-03-31,4.38,9.85,-0.71,11.74,5.5
2005-04-01,-0.87,2.94,-3.66,1.62,7.94
2005-04-02,-1.68,3.14,-4.87,0.16,12.17
2005-04-03,-1.37,3.85,-5.09,0.4,13.0
2005-04-04,-0.32,7.09,-5.54,0.0,20.59
2005-04-05,2.73,10.84,-4.62,0.0,17.05
2005-04-06,6.8,14.7,-2.03,0.0,23.41
2005-04-07,9.78,16.81,2.32,0.04,14.74
2005-04-08,11.75,18.85,5.23,0.0,13.57
2005-04-09,13.38,20.61,7.16,0.0,23.91
2005-04-10,14.63,21.99,6.11,0.0,23.24
2005-04-11,16.62,24.49,8.04,0.0,20.99
2005-04-12,17.5,24.12,10.92,0.0,21.27
2005-04-13,14.52,22.31,6.23,0.01,18.96
2005-04-14,7.58,11.41,4.44,2.74,14.64
2005-04-15,7.5,10.73,4.59,3.32,12.54
2005-04-16,9.9,17.31,3.36,0.03,20.09
2005-04-17,11.86,18.49,5.57,0.0,10.54
2005-04-18,10.95,15.32,6.62,2.38,12.07
2005-04-19,8.5,13.7,4.02,1.62,14.55
2005-04-20,9.87,17.63,2.61,0.0,24.51
2005-04-21,12.98,21.27,4.86,0.27,23.75
2005-04-22,10.63,14.5,7.81,5.19,9.38
2005-04-23,8.25,12.24,3.49,2.45,17.56
2005-04-24,8.31,16.08,2.51,0.06,23.04
2005-04-25,10.62,19.31,1.73,0.0,27.15
2005-04-26,14.07,21.85,6.89,0.0,25.43
2005-04-27,11.52,15.94,6.64,0.56,19.6
2005-04-28,10.74,16.8,4.98,0.0,20.13
2005-04-29,8.61,15.65,3.11,7.78,8.72
2005-04-30,5.49,9.76,1.71,6.89,10.28
2005-05-01,6.71,11.25,3.02,0.49,11.8
2005-05-02,8.44,14.53,3.04,0.0,19.78
2005-05-03,9.78,15.77,3.94,0.01,13.98
2005-05-04,10.14,18.25,1.55,0.0,29.69
2005-05-05,14.58,20.63,7.65,0.06,23.12
2005-05-06,16.0,22.09,11.78,0.08,19.07
2005-05-07,15.25,22.41,8.01,1.07,19.6
2005-05-08,10.21,15.26,6.47,7.43,13.54
2005-05-09,12.86,20.85,3.15,0.0,29.66
2005-05-10,15.11,22.86,8.72,0.0,28.35
2005-05-11,15.9,23.17,9.42,0.6,27.38
2005-05-12,15.85,22.25,10.23,0.11,23.11
2005-05-13,14.89,21.17,9.02,0.53,21.74
2005-05-14,13.68,21.16,6.98,0.0,25.95
2005-05-15,14.41,23.57,5.55,0.0,27.98
2005-05-16,15.72,24.02,7.24,0.0,29.06
2005-05-17,17.42,25.09,11.1,0.0,29.77
2005-05-18,19.44,27.8,10.27,0.0,30.35
2005-05-19,20.55,27.64,14.5,0.0,15.26
2005-05-20,19.28,26.36,12.3,0.08,21.1
2005-05-21,17.13,26.02,11.02,3.64,21.71
