date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,24.08,33.54,17.08,0.0,19.57
2004-10-02,24.06,32.45,17.95,0.0,19.04
2004-10-03,21.58,28.58,15.28,0.0,18.86
2004-10-04,21.71,28.7,15.43,0.0,15.91
2004-10-05,19.82,28.27,12.58,0.0,18.76
2004-10-06,21.81,30.73,14.62,0.0,16.55
2004-10-07,22.7,31.22,16.19,0.0,17.98
2004-10-08,22.62,30.76,16.06,0.14,15.09
2004-10-09,20.65,29.46,13.91,0.01,17.7
2004-10-10,18.58,26.25,13.76,0.0,18.12
2004-10-11,18.98,27.53,11.62,0.0,18.25
2004-10-12,19.58,26.0,14.77,0.0,9.72
2004-10-13,18.2,22.94,14.19,0.05,4.15
2004-10-14,18.77,26.37,12.04,0.0,16.19
2004-10-15,20.66,27.76,14.5,0.0,15.41
2004-10-16,20.92,27.3,14.5,0.0,13.02
2004-10-17,20.84,27.22,15.27,0.0,14.28
2004-10-18,20.56,28.62,14.64,0.0,15.56
2004-10-19,21.11,29.46,14.4,0.0,16.83
2004-10-20,20.73,29.49,15.32,0.0,16.09
2004-10-21,15.5,21.31,9.64,1.89,5.69
2004-10-22,13.02,20.88,6.09,0.02,16.02
2004-10-23,14.75,23.11,7.41,0.0,15.49
2004-10-24,15.26,23.91,7.71,0.0,15.26
2004-10-25,16.61,25.11,10.16,0.0,14.45
2004-10-26,17.46,26.3,10.76,0.0,14.52
2004-10-27,19.57,28.24,12.85,0.0,13.68
2004-10-28,20.0,27.69,14.66,0.0,10.69
2004-10-29,19.5,27.15,13.97,0.07,11.47
2004-10-30,16.78,20.14,14.46,1.81,6.84
2004-10-31,15.65,19.72,13.14,0.43,9.33
2004-11-01,16.39,22.55,11.5,0.0,12.96
2004-11-02,15.99,22.48,10.74,0.0,12.73
2004-11-03,15.3,21.83,10.94,0.1,12.75
2004-11-04,13.61,19.0,9.89,17.69,4.53
2004-11-05,12.79,18.88,8.3,0.02,12.74
2004-11-06,11.35,16.75,8.21,4.1,4.44
2004-11-07,11.14,15.03,8.05,3.9,10.56
2004-11-08,13.78,19.66,9.5,1.13,9.64
2004-11-09,11.11,12.9,9.08,3.95,4.68
2004-11-10,12.48,18.2,8.01,0.03,9.33
2004-11-11,13.33,19.38,8.21,0.01,10.61
2004-11-12,13.77,20.25,8.27,0.04,11.16
2004-11-13,13.51,20.45,7.06,0.0,12.36
2004-11-14,13.3,20.12,7.12,0.0,12.71
2004-11-15,13.06,19.55,8.25,0.02,11.79
2004-11-16,11.94,16.63,8.73,11.89,2.46
