date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,22.78,28.78,17.66,0.0,20.28
2004-10-02,22.47,29.39,16.6,0.0,20.08
2004-10-03,22.61,29.27,16.75,0.0,19.88
2004-10-04,22.38,28.53,16.43,0.0,18.73
2004-10-05,22.58,26.69,18.34,3.6,16.27
2004-10-06,18.47,21.08,16.89,3.82,7.88
2004-10-07,18.72,21.71,15.46,6.0,14.64
2004-10-08,18.61,22.11,15.46,1.77,12.98
2004-10-09,18.51,24.71,13.56,0.02,17.75
2004-10-10,19.9,26.43,14.67,0.0,18.02
2004-10-11,20.43,26.16,16.12,0.0,18.13
2004-10-12,21.71,27.18,16.97,0.0,17.11
2004-10-13,21.51,26.96,17.83,0.0,12.7
2004-10-14,20.67,26.91,15.91,0.0,16.9
2004-10-15,22.16,27.7,18.2,0.0,16.1
2004-10-16,23.17,28.28,18.85,0.0,16.4
2004-10-17,23.28,28.77,19.6,0.0,15.63
2004-10-18,22.36,27.95,18.43,0.0,16.26
2004-10-19,21.94,27.96,17.72,0.0,16.49
2004-10-20,22.39,29.34,17.66,0.0,15.59
2004-10-21,22.65,28.31,17.89,0.0,15.91
2004-10-22,22.38,28.24,17.35,0.0,15.08
2004-10-23,21.59,26.99,17.28,0.0,15.1
2004-10-24,21.27,26.01,18.34,0.0,14.75
2004-10-25,21.26,26.03,17.53,0.0,14.67
2004-10-26,21.21,26.46,17.32,0.0,14.42
2004-10-27,20.03,24.04,17.61,0.0,14.09
2004-10-28,19.98,23.64,17.39,0.0,12.58
2004-10-29,20.66,25.86,16.56,0.0,14.17
2004-10-30,20.58,26.01,16.48,0.0,13.84
2004-10-31,20.85,27.63,15.9,0.0,14.34
2004-11-01,21.23,27.57,15.57,0.0,14.1
2004-11-02,21.07,27.41,16.07,0.0,14.1
2004-11-03,21.15,27.1,16.33,0.0,13.49
2004-11-04,20.63,26.13,15.86,0.09,12.45
2004-11-05,19.36,23.45,16.35,5.42,10.43
2004-11-06,17.76,19.73,15.74,12.32,5.48
2004-11-07,17.07,20.03,15.22,1.59,7.86
2004-11-08,16.69,19.39,14.95,15.32,6.97
2004-11-09,17.1,19.36,14.95,20.29,6.12
2004-11-10,16.87,20.34,14.8,3.84,10.78
2004-11-11,16.62,18.81,14.25,3.96,10.27
2004-11-12,18.38,23.32,14.47,0.0,12.32
2004-11-13,18.33,23.31,15.57,0.0,12.23
2004-11-14,17.87,19.74,15.54,1.07,5.36
2004-11-15,18.77,20.66,16.46,24.03,8.42
2004-11-16,16.24,18.96,14.16,7.73,8.43
2004-11-17,13.77,17.02,10.02,4.42,11.52
2004-11-18,12.46,18.4,7.41,0.0,13.0
2004-11-19,12.8,15.8,9.42,1.73,10.38
2004-11-20,15.21,17.67,9.0,26.55,6.18
2004-11-21,7.98,12.41,4.1,0.15,11.94
2004-11-22,4.37,8.16,1.66,0.0,12.24
2004-11-23,4.89,10.19,0.53,0.0,12.2
2004-11-24,9.6,13.92,4.87,9.98,8.33
2004-11-25,7.56,12.58,2.44,4.67,7.67
2004-11-26,2.79,7.33,0.07,0.0,11.94
2004-11-27,5.48,12.23,0.59,0.0,12.04
2004-11-28,9.26,13.73,5.27,0.52,8.19
2004-11-29,11.54,13.23,9.92,1.53,4.71
2004-11-30,12.48,14.86,10.85,7.55,8.42
2004-12-01,12.96,16.42,10.83,0.5,8.4
2004-12-02,13.19,17.1,9.65,0.0,9.9
2004-12-03,13.59,17.6,10.25,0.0,9.93
2004-12-04,13.45,17.37,11.17,0.0,9.1
2004-12-05,12.55,14.96,10.58,0.2,4.22
2004-12-06,11.85,17.52,8.86,0.0,10.55
2004-12-07,11.16,16.06,7.07,0.29,9.13
2004-12-08,9.74,15.11,5.0,0.0,11.07
2004-12-09,11.69,14.28,8.97,0.0,9.09
2004-12-10,11.36,15.49,7.39,2.01,6.97
2004-12-11,10.55,15.0,6.01,0.56,8.71
2004-12-12,8.67,13.77,4.31,0.06,7.88
2004-12-13,9.39,14.45,6.6,0.0,9.3
2004-12-14,8.74,15.14,4.84,0.0,10.72
2004-12-15,5.45,10.82,2.2,0.0,10.44
2004-12-16,5.93,11.48,0.91,0.0,10.63
2004-12-17,9.94,12.78,7.11,0.35,7.03
2004-12-18,10.94,12.27,9.46,29.35,2.07
