date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,19.84,27.67,13.92,0.0,18.87
2004-10-02,17.12,24.87,10.91,0.0,18.71
2004-10-03,14.19,20.82,8.24,0.2,15.35
2004-10-04,12.2,19.02,6.32,0.0,16.95
2004-10-05,11.94,21.2,5.2,0.0,19.04
2004-10-06,14.96,26.1,4.98,0.01,15.91
2004-10-07,15.54,23.69,8.74,0.27,13.28
2004-10-08,13.86,19.44,8.13,3.97,15.12
2004-10-09,12.33,16.75,8.8,0.28,12.02
2004-10-10,13.31,20.22,6.7,0.0,15.89
2004-10-11,15.09,23.69,7.0,0.0,17.9
2004-10-12,14.7,24.65,7.16,0.02,17.03
2004-10-13,10.13,17.57,5.87,0.35,13.35
2004-10-14,12.37,21.3,4.31,0.01,16.04
2004-10-15,15.41,22.6,8.74,0.0,15.33
2004-10-16,14.9,22.14,8.4,0.0,14.63
2004-10-17,16.66,24.7,9.02,0.0,15.83
2004-10-18,18.19,27.27,10.81,0.0,15.01
2004-10-19,17.65,26.07,10.61,0.0,16.14
2004-10-20,14.88,21.13,8.49,1.11,10.78
2004-10-21,11.46,17.4,7.93,0.96,14.7
2004-10-22,10.57,18.25,5.62,0.0,11.74
2004-10-23,11.22,20.1,4.35,0.0,15.67
2004-10-24,13.44,21.96,5.29,0.0,14.95
2004-10-25,13.5,22.19,8.34,0.0,15.22
2004-10-26,14.38,23.99,6.47,0.0,15.16
2004-10-27,16.66,26.04,9.26,0.0,11.33
2004-10-28,17.52,25.5,11.27,0.01,12.16
2004-10-29,14.89,21.73,9.43,2.14,3.75
2004-10-30,13.65,19.74,7.49,0.31,11.74
2004-10-31,13.15,20.4,8.25,0.04,13.54
2004-11-01,13.08,20.54,7.18,0.0,14.16
2004-11-02,14.17,22.18,8.26,0.0,13.55
2004-11-03,10.91,18.61,5.44,0.0,13.33
2004-11-04,7.37,14.85,0.3,0.06,12.26
2004-11-05,6.26,17.83,-2.39,0.0,14.43
2004-11-06,9.94,17.66,4.65,0.07,12.17
2004-11-07,10.32,16.15,6.43,0.01,10.28
2004-11-08,11.01,18.23,5.14,0.09,8.92
2004-11-09,11.97,17.76,7.08,0.04,8.83
2004-11-10,12.02,18.55,6.3,0.0,10.48
2004-11-11,11.92,17.65,6.81,0.03,10.67
2004-11-12,11.21,19.02,4.98,0.0,11.91
2004-11-13,11.96,19.43,5.78,0.0,11.04
2004-11-14,12.09,20.51,4.74,0.0,10.81
2004-11-15,11.8,18.53,7.19,0.3,4.21
2004-11-16,11.27,15.96,7.87,5.43,7.82
2004-11-17,4.75,8.31,1.24,10.69,5.5
2004-11-18,2.23,7.7,-1.37,0.01,10.58
2004-11-19,3.71,12.66,-2.53,0.0,12.16
2004-11-20,7.47,13.66,0.18,0.36,8.81
2004-11-21,2.68,10.21,-2.53,15.05,3.04
2004-11-22,-3.17,-1.2,-4.95,7.36,3.09
2004-11-23,-6.05,-1.94,-9.38,0.08,7.4
2004-11-24,-3.56,3.74,-9.37,0.06,8.18
2004-11-25,-1.49,0.58,-5.02,26.36,3.43
2004-11-26,-4.86,-1.91,-9.62,12.95,1.52
2004-11-27,-8.91,-3.32,-12.98,0.15,8.34
2004-11-28,-7.2,0.43,-13.83,0.0,11.27
2004-11-29,-4.55,1.4,-9.47,0.01,10.89
2004-11-30,-2.82,2.88,-8.06,0.05,6.92
2004-12-01,-0.78,1.35,-4.57,0.45,6.28
2004-12-02,-2.8,2.75,-6.36,0.0,9.09
2004-12-03,-0.08,5.69,-5.71,0.0,8.79
2004-12-04,2.23,8.15,-3.7,0.0,9.24
2004-12-05,0.75,3.37,-3.39,2.17,5.73
2004-12-06,-1.74,5.5,-7.25,0.07,7.79
2004-12-07,-0.16,6.1,-4.03,6.38,5.29
2004-12-08,-3.51,1.82,-6.77,0.65,7.84
2004-12-09,-3.05,2.77,-6.73,0.0,9.78
2004-12-10,-2.93,0.73,-5.24,0.02,9.1
2004-12-11,-3.16,0.67,-5.89,0.02,6.61
2004-12-12,-3.79,0.44,-5.95,0.12,9.22
2004-12-13,-2.49,2.8,-7.51,0.0,10.47
2004-12-14,-2.54,1.6,-6.49,0.44,5.8
2004-12-15,-6.89,-2.92,-10.06,0.04,10.21
2004-12-16,-8.31,-3.3,-11.74,0.0,10.4
2004-12-17,-6.15,0.01,-11.47,0.0,10.49
2004-12-18,-2.63,5.55,-8.3,0.0,9.49
2004-12-19,-1.68,2.4,-4.6,0.04,6.68
2004-12-20,-0.94,1.57,-4.83,0.32,5.81
2004-12-21,1.4,6.56,-1.55,1.41,9.18
2004-12-22,1.99,8.17,-1.55,1.61,6.71
2004-12-23,0.89,3.95,-0.92,5.64,4.07
2004-12-24,0.49,5.45,-1.87,1.95,5.37
2004-12-25,-1.14,4.17,-3.53,0.6,5.73
2004-12-26,-2.04,2.41,-4.12,0.0,7.22
2004-12-27,1.55,6.57,-2.67,0.0,8.47
2004-12-28,4.21,10.45,0.88,0.0,8.59
2004-12-29,3.94,11.1,0.23,0.0,6.3
2004-12-30,4.14,13.18,-1.51,0.0,8.61
2004-12-31,4.1,13.23,-0.69,0.0,10.07
2005-01-01,4.09,12.47,-1.02,0.0,9.03
2005-01-02,0.78,3.7,-2.03,1.26,3.91
2005-01-03,-1.26,3.62,-3.45,0.02,5.99
2005-01-04,-0.61,4.17,-3.48,1.66,6.68
2005-01-05,-2.06,1.98,-4.6,1.33,7.2
2005-01-06,-1.59,3.45,-5.33,0.3,5.18
2005-01-07,-1.08,3.94,-4.73,0.15,9.43
2005-01-08,-1.4,5.05,-5.31,0.0,10.02
2005-01-09,-1.14,5.68,-6.43,0.0,10.52
2005-01-10,-1.19,5.53,-5.75,0.0,10.31
2005-01-11,-1.13,3.82,-4.96,0.0,10.97
2005-01-12,1.58,8.36,-3.2,0.0,10.86
2005-01-13,3.71,11.15,-0.49,0.0,10.98
2005-01-14,3.02,9.8,-0.71,0.0,9.24
2005-01-15,1.91,7.99,-1.39,0.09,8.01
2005-01-16,1.47,7.67,-1.54,0.29,8.23
2005-01-17,1.45,7.39,-1.36,0.04,8.23
2005-01-18,0.94,6.43,-3.18,0.0,9.8
2005-01-19,1.09,4.96,-1.83,0.0,8.02
2005-01-20,0.68,6.8,-2.84,0.0,11.22
2005-01-21,1.77,7.57,-2.15,0.0,9.11
2005-01-22,2.89,8.26,0.54,0.26,8.92
2005-01-23,-0.09,2.75,-3.69,13.14,5.37
2005-01-24,-4.87,-1.08,-9.87,0.79,7.37
2005-01-25,-2.81,4.85,-10.1,0.43,5.65
2005-01-26,0.6,7.29,-2.65,0.57,8.04
2005-01-27,0.96,8.13,-2.98,0.0,7.96
2005-01-28,2.82,7.52,-0.79,0.3,5.29
2005-01-29,6.09,13.44,2.45,0.3,7.38
2005-01-30,5.79,11.68,2.56,12.59,6.11
2005-01-31,0.93,4.54,-3.58,1.64,6.37
2005-02-01,-1.06,2.18,-4.08,2.75,4.05
2005-02-02,-1.94,3.38,-5.65,0.02,9.69
2005-02-03,-0.08,5.6,-4.41,0.17,8.9
2005-02-04,1.15,5.24,-1.13,2.03,8.33
2005-02-05,-0.23,3.63,-3.37,6.03,7.8
2005-02-06,-4.22,-0.18,-8.43,8.94,6.76
2005-02-07,-6.21,-1.75,-9.43,1.71,9.5
2005-02-08,-8.38,-3.22,-13.67,0.57,11.71
2005-02-09,-9.82,-3.55,-13.81,0.06,13.01
2005-02-10,-11.03,-4.23,-16.74,0.0,14.94
2005-02-11,-9.58,-3.45,-15.81,0.0,15.38
2005-02-12,-8.03,-0.97,-14.84,0.0,15.48
2005-02-13,-5.66,1.71,-13.49,0.04,15.54
2005-02-14,-1.13,6.57,-6.95,0.4,10.97
2005-02-15,0.23,7.42,-3.48,0.0,14.74
2005-02-16,0.97,6.19,-3.25,0.0,8.11
2005-02-17,4.26,11.77,-1.12,0.05,10.81
2005-02-18,4.78,10.35,0.79,5.08,6.39
2005-02-19,3.98,7.29,1.33,9.09,4.96
2005-02-20,1.91,6.56,-1.65,0.32,11.46
2005-02-21,1.3,5.3,-1.97,0.11,13.07
2005-02-22,2.26,7.07,-1.83,0.1,15.0
2005-02-23,4.1,11.7,-1.13,0.0,15.2
2005-02-24,4.43,10.9,-1.45,0.07,15.17
2005-02-25,4.91,10.42,0.62,0.07,13.38
2005-02-26,4.95,11.06,-0.86,0.23,9.54
2005-02-27,6.4,12.64,2.58,2.38,11.32
2005-02-28,6.24,10.06,3.25,2.29,11.36
2005-03-01,7.44,11.32,4.47,6.05,8.27
2005-03-02,9.74,15.17,5.73,4.26,7.23
2005-03-03,6.62,11.29,2.82,10.22,7.85
2005-03-04,0.88,5.61,-3.41,2.95,10.02
2005-03-05,3.98,12.84,-4.44,0.38,14.95
2005-03-06,5.49,11.08,2.2,6.15,3.92
2005-03-07,7.33,14.22,0.88,0.44,15.51
2005-03-08,6.57,12.52,1.83,11.92,6.47
2005-03-09,2.7,6.15,-0.19,3.38,13.36
2005-03-10,0.3,4.94,-4.64,4.37,10.04
2005-03-11,-1.22,4.91,-5.93,3.54,16.76
2005-03-12,-1.94,4.01,-5.98,1.17,12.97
2005-03-13,1.07,9.3,-5.56,0.0,20.31
2005-03-14,3.11,10.15,-3.88,0.0,17.35
2005-03-15,4.36,9.88,-0.05,0.0,17.12
2005-03-16,3.29,8.56,-2.17,0.0,14.66
2005-03-17,3.19,10.32,-3.38,0.0,21.2
2005-03-18,6.18,14.18,-1.66,0.29,21.28
2005-03-19,7.12,13.81,-0.83,0.04,14.38
2005-03-20,4.21,7.15,-0.23,5.81,6.13
2005-03-21,2.14,7.72,-2.85,0.73,13.29
2005-03-22,1.2,7.59,-4.62,0.14,18.38
2005-03-23,-1.36,4.09,-5.33,0.02,18.54
2005-03-24,-0.48,6.0,-6.0,0.0,23.32
2005-03-25,1.42,8.35,-4.21,0.0,23.32
2005-03-26,5.95,14.61,-2.47,0.0,22.46
2005-03-27,7.51,14.12,2.05,0.05,15.63
2005-03-28,9.76,14.97,4.68,1.44,10.44
2005-03-29,10.41,14.68,7.0,1.12,12.71
2005-03-30,9.3,14.84,4.78,1.03,17.95
2005-03-31,8.85,15.85,2.68,0.95,11.15
2005-04-01,5.68,12.32,-1.94,3.46,9.26
2005-04-02,-0.44,4.28,-3.95,4.72,5.95
2005-04-03,-1.01,3.92,-5.55,0.78,8.88
2005-04-04,-0.97,5.66,-6.28,0.1,12.56
2005-04-05,1.61,9.89,-5.24,0.0,18.21
2005-04-06,4.78,12.85,-2.96,0.0,22.88
2005-04-07,9.07,17.3,-0.67,0.0,23.42
2005-04-08,10.5,18.46,3.91,0.0,14.69
2005-04-09,12.19,20.86,4.84,0.0,22.35
2005-04-10,13.57,21.14,7.31,0.0,24.23
2005-04-11,14.69,22.93,8.73,0.0,25.17
2005-04-12,16.51,25.79,6.5,0.0,20.45
2005-04-13,16.21,24.05,10.15,0.0,19.54
2005-04-14,12.55,19.52,6.68,0.0,25.79
2005-04-15,8.3,13.79,2.62,0.08,20.75
2005-04-16,9.16,14.58,4.0,1.26,18.1
2005-04-17,11.68,19.53,2.75,0.05,21.06
2005-04-18,12.17,17.44,8.38,7.1,5.05
2005-04-19,10.27,16.45,5.19,1.35,23.38
2005-04-20,10.83,18.43,2.25,0.0,25.16
2005-04-21,13.86,22.55,4.53,1.27,25.77
2005-04-22,13.79,20.26,10.41,7.0,8.87
