date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,17.02,23.93,10.54,0.0,17.7
2004-10-02,14.78,23.06,8.59,0.0,18.0
2004-10-03,11.38,19.42,5.47,0.39,16.53
2004-10-04,9.08,17.29,2.81,0.0,17.62
2004-10-05,10.4,19.88,1.21,0.0,19.16
2004-10-06,11.4,18.79,5.14,0.12,13.58
2004-10-07,10.25,17.02,4.88,0.03,10.78
2004-10-08,9.76,15.08,6.22,1.75,12.09
2004-10-09,9.47,14.49,5.71,0.5,13.51
2004-10-10,10.61,17.75,4.78,0.14,16.31
2004-10-11,11.81,20.05,6.66,0.0,18.68
2004-10-12,13.0,21.17,6.24,0.0,18.38
2004-10-13,10.7,19.11,4.61,0.02,15.29
2004-10-14,10.7,16.64,4.95,0.36,15.66
2004-10-15,12.59,18.43,7.41,0.0,15.5
2004-10-16,12.18,17.77,8.13,0.0,13.78
2004-10-17,12.98,20.44,6.73,0.0,16.79
2004-10-18,15.21,22.47,10.02,0.0,15.71
2004-10-19,14.68,22.2,9.34,0.0,16.45
2004-10-20,12.9,19.47,8.8,0.13,13.99
2004-10-21,8.0,13.44,2.72,0.45,14.49
2004-10-22,7.78,15.64,2.37,0.0,15.22
2004-10-23,9.07,17.9,2.63,0.0,16.36
2004-10-24,9.36,17.39,3.43,0.0,15.49
2004-10-25,10.94,18.49,5.58,0.0,15.41
2004-10-26,10.72,19.0,5.15,0.0,15.05
2004-10-27,11.75,19.76,7.0,0.0,11.92
2004-10-28,12.65,19.43,7.4,0.31,12.76
2004-10-29,9.43,14.04,6.07,4.09,7.61
2004-10-30,9.58,14.62,5.28,0.95,12.32
2004-10-31,8.97,15.11,5.0,0.0,13.09
2004-11-01,9.63,16.29,4.72,0.0,13.78
2004-11-02,10.5,17.44,6.37,0.0,14.16
2004-11-03,9.54,16.8,4.13,0.0,14.02
2004-11-04,4.07,11.92,-2.24,0.01,13.43
2004-11-05,6.16,14.28,-2.03,0.0,14.36
2004-11-06,6.27,12.11,2.44,0.5,12.75
2004-11-07,6.6,11.44,4.03,0.13,10.08
2004-11-08,7.05,11.14,4.61,0.5,6.31
2004-11-09,7.64,11.88,5.28,0.4,8.63
2004-11-10,7.33,11.62,4.37,0.15,7.19
2004-11-11,7.43,11.64,3.69,0.17,10.65
2004-11-12,8.14,14.22,3.31,0.0,12.1
2004-11-13,9.08,14.99,5.2,0.0,12.62
2004-11-14,8.48,15.85,4.48,0.0,11.25
2004-11-15,6.37,11.49,2.69,0.14,4.27
2004-11-16,6.97,11.56,3.35,13.33,10.28
2004-11-17,2.88,5.95,-0.86,10.11,5.06
2004-11-18,-1.35,3.63,-3.93,0.03,11.71
2004-11-19,1.5,8.92,-3.09,0.18,11.53
2004-11-20,3.84,7.93,-0.18,4.25,9.71
2004-11-21,3.25,6.68,-4.5,22.98,3.29
2004-11-22,-6.44,-3.6,-8.79,4.49,5.7
2004-11-23,-8.48,-5.44,-10.08,0.03,8.81
2004-11-24,-4.34,2.03,-10.04,0.12,10.53
2004-11-25,-1.16,2.31,-4.16,13.9,4.82
2004-11-26,-7.19,-2.83,-10.09,8.68,2.59
2004-11-27,-10.38,-6.74,-12.47,0.07,10.36
