date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,13.41,22.54,8.22,6.4,14.36
2004-10-02,11.46,16.45,8.76,4.69,10.07
2004-10-03,8.69,12.87,5.6,3.0,8.8
2004-10-04,6.55,9.82,3.82,7.32,8.25
2004-10-05,6.08,11.15,3.34,2.77,12.05
2004-10-06,9.8,18.55,2.21,0.14,13.88
2004-10-07,12.76,22.13,4.84,0.0,14.91
2004-10-08,12.14,19.33,5.11,0.38,11.58
2004-10-09,10.0,15.14,6.46,3.82,10.17
2004-10-10,9.01,15.64,3.3,0.0,14.32
2004-10-11,10.58,19.48,3.35,0.0,17.45
2004-10-12,8.48,18.56,2.99,12.25,12.59
2004-10-13,1.06,3.8,-1.65,19.41,4.17
2004-10-14,5.46,13.98,-2.82,0.21,12.65
2004-10-15,9.69,16.88,3.75,0.02,15.01
2004-10-16,10.47,17.43,4.64,0.0,12.49
2004-10-17,11.36,18.51,6.6,0.0,14.19
2004-10-18,12.78,20.46,6.85,0.01,12.26
2004-10-19,13.42,21.22,6.95,0.08,13.32
2004-10-20,11.01,17.52,6.8,1.31,8.67
2004-10-21,5.58,8.77,1.79,11.38,9.46
2004-10-22,3.25,8.3,0.07,0.08,12.52
2004-10-23,4.78,12.99,-0.13,0.02,15.34
2004-10-24,7.69,16.75,0.18,0.0,14.14
2004-10-25,8.16,16.28,2.0,0.0,14.01
2004-10-26,8.93,18.28,1.83,0.0,14.36
2004-10-27,10.67,19.58,4.37,0.0,10.12
2004-10-28,11.79,19.72,5.61,0.12,10.18
2004-10-29,11.42,18.56,7.56,0.39,8.4
2004-10-30,8.84,13.09,5.57,1.08,8.0
2004-10-31,8.59,14.0,4.62,0.64,11.1
2004-11-01,9.45,15.73,4.29,0.0,12.66
2004-11-02,9.48,16.59,5.36,0.1,12.1
2004-11-03,6.52,10.85,3.94,4.19,5.64
2004-11-04,1.01,5.18,-4.62,10.65,8.68
