date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,23.54,32.35,17.51,0.0,18.45
2004-10-02,21.53,29.66,16.08,0.0,17.84
2004-10-03,20.75,28.66,14.8,0.22,17.54
2004-10-04,19.87,27.94,13.32,0.19,17.18
2004-10-05,19.45,28.64,11.32,0.0,19.0
2004-10-06,20.65,29.57,13.86,0.0,13.34
2004-10-07,19.44,26.86,14.6,0.0,15.61
2004-10-08,17.78,25.14,12.88,0.14,14.55
2004-10-09,16.43,22.65,12.25,1.27,14.33
2004-10-10,17.41,24.75,12.21,4.13,16.45
2004-10-11,19.62,27.8,12.45,0.0,18.05
2004-10-12,21.16,29.43,13.36,0.0,16.69
2004-10-13,20.53,27.15,14.93,0.21,13.91
2004-10-14,19.34,25.22,14.5,0.0,15.55
2004-10-15,20.88,28.27,13.01,0.0,15.23
2004-10-16,20.89,27.46,14.89,0.0,12.94
2004-10-17,21.19,28.42,13.98,0.0,15.19
2004-10-18,22.65,30.55,16.57,0.0,15.92
2004-10-19,22.92,30.62,17.95,0.0,16.04
2004-10-20,20.76,28.16,16.13,0.3,16.09
2004-10-21,17.76,24.69,11.64,2.98,13.42
2004-10-22,15.81,22.89,10.63,0.0,14.23
2004-10-23,15.79,24.12,9.04,0.0,16.15
2004-10-24,15.69,24.65,8.99,0.0,14.94
2004-10-25,16.73,26.19,9.8,0.0,15.24
2004-10-26,18.21,27.17,11.12,0.0,14.43
2004-10-27,19.24,25.84,15.22,0.0,8.62
2004-10-28,20.55,29.57,13.98,0.0,13.13
2004-10-29,16.36,19.79,12.53,2.14,6.28
2004-10-30,15.53,20.4,12.38,0.04,10.24
2004-10-31,15.26,21.79,10.38,0.01,9.04
2004-11-01,16.03,22.69,11.25,0.04,12.69
2004-11-02,16.99,24.11,11.09,0.0,13.79
2004-11-03,17.56,24.9,12.71,0.0,13.49
2004-11-04,15.95,22.73,9.34,0.49,12.68
2004-11-05,13.39,20.99,8.14,0.08,13.88
2004-11-06,11.94,15.96,8.97,22.16,7.87
2004-11-07,12.7,17.54,9.57,2.26,6.96
2004-11-08,13.3,18.64,9.23,0.55,7.15
2004-11-09,13.72,17.63,11.12,1.88,4.03
2004-11-10,12.74,16.43,9.87,2.57,6.5
2004-11-11,13.15,18.59,9.42,0.17,8.97
2004-11-12,14.15,20.3,9.15,0.16,12.17
2004-11-13,14.65,21.62,8.9,0.0,12.78
2004-11-14,14.12,21.8,8.47,0.0,12.1
2004-11-15,11.3,15.94,8.2,0.01,3.99
2004-11-16,13.52,19.91,8.81,2.28,6.46
2004-11-17,10.93,14.66,6.82,37.71,3.69
2004-11-18,7.86,14.23,2.7,0.11,12.84
2004-11-19,7.97,14.85,2.94,0.0,12.83
2004-11-20,9.22,13.36,4.46,2.38,3.76
2004-11-21,11.78,13.59,9.86,40.95,1.47
2004-11-22,5.65,9.44,0.46,2.83,7.33
2004-11-23,1.61,7.07,-1.8,0.04,11.22
2004-11-24,2.42,7.96,-2.45,0.06,11.89
2004-11-25,5.23,8.81,1.6,22.01,2.33
2004-11-26,3.33,8.02,0.22,28.84,2.26
2004-11-27,-0.25,4.8,-4.57,0.21,10.87
2004-11-28,1.95,8.17,-4.51,0.0,10.59
2004-11-29,0.93,7.71,-3.31,0.0,9.42
2004-11-30,2.93,10.24,-2.9,0.0,10.16
2004-12-01,4.37,10.71,0.48,0.01,6.58
2004-12-02,6.31,13.54,0.92,0.0,11.21
2004-12-03,6.1,12.47,1.49,0.0,9.11
2004-12-04,6.36,14.09,0.31,0.0,9.3
2004-12-05,7.74,13.75,3.5,0.72,7.17
2004-12-06,5.3,10.77,0.11,1.36,9.19
2004-12-07,4.16,11.01,-1.67,0.52,8.7
2004-12-08,2.63,6.94,-0.23,2.86,8.45
2004-12-09,3.79,10.24,-0.14,0.0,10.19
2004-12-10,2.4,8.64,-2.25,0.0,9.41
2004-12-11,-0.35,2.51,-3.09,0.01,5.34
2004-12-12,-0.02,6.07,-3.92,0.0,10.91
2004-12-13,1.71,8.45,-2.65,0.0,10.74
2004-12-14,1.97,7.99,-2.54,0.0,9.3
2004-12-15,-2.3,2.63,-4.95,0.0,10.79
2004-12-16,-2.88,2.38,-5.4,0.0,10.49
2004-12-17,-1.2,4.26,-5.45,0.0,10.56
2004-12-18,-1.2,2.88,-5.08,0.03,8.67
2004-12-19,-1.2,2.3,-2.82,0.02,3.26
2004-12-20,-0.85,1.55,-2.95,0.34,3.22
2004-12-21,1.07,6.8,-1.86,0.06,9.66
2004-12-22,2.32,9.15,-0.96,0.08,9.35
2004-12-23,1.93,3.03,0.98,7.16,2.53
2004-12-24,1.86,2.42,0.59,13.53,1.98
2004-12-25,2.47,5.91,0.56,2.71,6.02
2004-12-26,4.22,12.72,-0.4,0.0,10.66
2004-12-27,5.15,12.36,0.89,0.0,8.9
2004-12-28,5.03,10.64,0.97,0.0,8.24
2004-12-29,4.42,10.55,-0.03,0.0,5.89
2004-12-30,4.57,9.59,1.64,0.0,7.72
2004-12-31,4.62,12.32,0.44,0.0,10.6
2005-01-01,5.02,11.82,-0.04,0.0,8.01
2005-01-02,3.48,7.7,0.38,1.88,2.95
2005-01-03,3.96,10.48,-0.11,0.01,10.46
2005-01-04,3.06,8.45,-1.58,1.41,3.27
2005-01-05,2.37,7.8,-2.96,5.51,7.96
2005-01-06,1.53,7.68,-2.97,0.0,10.12
2005-01-07,2.76,8.29,-1.41,0.03,10.2
2005-01-08,1.42,8.42,-2.54,0.0,10.6
2005-01-09,1.7,8.64,-2.5,0.0,10.92
2005-01-10,3.42,11.12,-0.71,0.0,10.39
2005-01-11,2.97,8.2,-1.54,0.0,11.22
2005-01-12,6.09,12.93,2.16,0.0,11.01
2005-01-13,6.39,13.8,1.29,0.0,11.42
2005-01-14,3.82,10.37,-1.36,0.0,9.79
2005-01-15,2.89,7.79,0.18,0.1,7.07
2005-01-16,2.19,6.6,-0.96,0.08,6.18
2005-01-17,2.95,8.91,-0.39,0.08,7.59
2005-01-18,2.48,7.75,-0.6,0.33,4.96
2005-01-19,2.89,8.57,-0.93,0.33,9.06
2005-01-20,1.5,7.71,-1.91,0.99,6.85
2005-01-21,2.55,5.28,-0.32,0.46,2.14
2005-01-22,2.54,5.89,0.82,3.37,3.54
2005-01-23,3.2,7.76,-0.93,19.4,3.07
2005-01-24,1.19,6.37,-2.37,0.97,10.79
2005-01-25,0.92,7.18,-2.76,0.0,9.98
2005-01-26,0.5,6.46,-2.65,0.0,10.5
2005-01-27,0.61,5.47,-2.63,0.0,6.62
2005-01-28,3.44,9.9,-1.67,0.0,7.19
2005-01-29,4.64,9.99,1.62,0.02,7.11
2005-01-30,5.6,10.24,2.23,15.56,2.08
2005-01-31,4.03,6.13,2.04,3.27,4.09
2005-02-01,4.89,8.0,1.03,13.42,6.29
2005-02-02,1.78,4.91,-1.48,6.71,5.39
2005-02-03,2.3,6.31,-0.93,9.81,7.69
2005-02-04,1.43,3.47,0.02,8.36,2.64
2005-02-05,2.81,7.4,-1.6,1.64,8.17
2005-02-06,2.07,6.65,-1.39,1.75,10.31
2005-02-07,0.51,5.35,-3.26,0.24,11.14
2005-02-08,-1.67,3.87,-5.99,0.12,13.6
2005-02-09,-2.61,3.25,-6.01,0.0,14.02
2005-02-10,-1.7,3.46,-5.42,0.0,14.74
2005-02-11,-1.8,1.7,-4.83,0.25,13.09
2005-02-12,-2.25,1.53,-5.79,0.11,11.1
2005-02-13,-1.92,2.74,-6.8,0.19,10.91
2005-02-14,-0.5,4.34,-4.81,0.0,5.24
2005-02-15,1.02,7.34,-2.09,0.0,13.74
2005-02-16,1.53,5.57,-1.03,0.0,9.19
2005-02-17,4.18,11.16,-0.52,0.0,12.23
2005-02-18,6.3,12.83,1.32,0.0,6.22
2005-02-19,7.2,12.94,3.38,0.23,7.53
2005-02-20,7.17,11.75,3.56,1.9,9.79
2005-02-21,6.27,10.69,3.16,0.45,10.4
2005-02-22,6.71,11.05,2.69,0.7,13.07
2005-02-23,5.82,12.67,0.38,0.0,14.35
2005-02-24,7.09,13.86,0.11,0.0,15.56
2005-02-25,7.76,13.92,1.33,0.0,13.8
2005-02-26,8.18,14.29,3.14,0.0,13.91
2005-02-27,6.53,12.51,3.09,0.21,7.33
2005-02-28,7.64,10.98,4.59,1.2,5.01
2005-03-01,9.74,13.63,7.66,0.23,5.98
2005-03-02,11.4,17.88,7.2,0.0,9.49
2005-03-03,9.48,13.44,7.5,1.73,3.45
2005-03-04,7.52,12.89,1.89,1.16,16.52
2005-03-05,7.56,14.92,0.69,0.0,17.76
2005-03-06,5.36,8.12,2.75,1.95,3.09
2005-03-07,7.8,14.78,3.06,0.2,12.54
2005-03-08,8.77,12.89,4.26,8.91,4.3
2005-03-09,8.73,11.86,5.97,1.33,14.01
2005-03-10,6.16,9.02,4.01,4.71,9.67
2005-03-11,5.65,10.19,2.65,4.15,13.81
2005-03-12,4.3,8.33,0.89,10.49,14.37
2005-03-13,4.95,11.51,-0.43,0.0,14.87
2005-03-14,6.0,13.28,0.06,0.0,18.32
2005-03-15,7.74,14.31,2.07,0.0,19.18
2005-03-16,7.8,15.0,1.66,0.0,20.48
2005-03-17,7.37,15.07,-1.1,0.0,21.44
2005-03-18,8.83,16.77,2.37,0.0,21.45
2005-03-19,9.43,15.81,3.32,0.0,15.42
2005-03-20,10.56,14.18,8.07,0.18,7.03
2005-03-21,8.91,11.84,7.37,1.11,9.19
2005-03-22,7.52,9.86,5.27,12.96,4.74
2005-03-23,6.41,12.93,-1.15,5.79,20.71
2005-03-24,3.6,11.43,-3.69,0.0,23.78
2005-03-25,6.68,12.99,2.39,0.0,23.37
2005-03-26,8.37,15.25,0.08,0.0,22.33
2005-03-27,9.35,17.52,1.61,0.0,21.09
2005-03-28,10.22,16.23,4.28,0.01,12.53
2005-03-29,12.24,18.2,7.25,0.02,11.79
2005-03-30,13.12,19.85,8.39,0.01,19.92
2005-03-31,13.57,20.44,6.82,0.02,12.74
2005-04-01,11.47,14.87,7.2,2.03,9.36
2005-04-02,8.0,10.72,6.38,12.86,7.32
2005-04-03,6.42,8.35,1.71,10.86,8.74
2005-04-04,5.5,12.76,-1.87,0.72,20.78
2005-04-05,7.57,14.43,-0.91,0.0,24.15
2005-04-06,7.93,13.65,1.62,0.0,19.99
2005-04-07,12.2,19.64,4.1,0.0,25.47
2005-04-08,11.73,18.3,5.22,0.0,19.97
2005-04-09,12.37,19.1,7.13,0.0,19.16
2005-04-10,15.81,23.62,9.34,0.0,24.12
2005-04-11,18.35,25.13,10.92,0.0,25.23
2005-04-12,18.34,25.97,10.55,0.0,24.58
2005-04-13,17.4,25.01,11.93,0.0,18.54
2005-04-14,13.53,19.86,7.5,0.0,20.59
2005-04-15,10.76,16.73,5.11,0.0,19.28
2005-04-16,11.68,16.97,7.46,0.38,18.3
2005-04-17,12.89,19.69,8.06,0.44,20.88
2005-04-18,14.05,20.87,7.98,0.69,7.36
2005-04-19,13.48,19.88,8.17,0.2,18.46
2005-04-20,13.33,20.77,7.7,0.0,23.33
2005-04-21,15.61,24.56,7.5,0.92,24.84
2005-04-22,16.6,23.83,11.71,1.53,5.03
2005-04-23,17.98,23.5,13.57,1.96,12.84
2005-04-24,16.31,21.38,10.73,1.54,20.62
2005-04-25,14.94,21.54,9.32,0.13,25.52
2005-04-26,14.5,23.17,7.41,0.0,26.74
2005-04-27,14.9,23.3,7.51,0.12,25.94
2005-04-28,14.22,19.88,9.44,1.63,21.41
2005-04-29,14.87,22.8,8.03,0.0,26.27
2005-04-30,13.57,19.03,8.84,0.49,11.37
