date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,18.87,23.55,16.07,0.0,17.13
2004-10-02,18.04,23.43,13.42,0.07,17.51
2004-10-03,16.32,19.15,14.01,1.83,8.45
2004-10-04,16.45,20.32,13.88,0.17,15.43
2004-10-05,16.92,22.07,12.15,0.02,15.47
2004-10-06,16.42,19.64,13.48,0.25,16.33
2004-10-07,16.93,20.34,14.45,4.48,6.9
2004-10-08,15.94,18.68,14.31,3.63,8.83
2004-10-09,16.22,19.57,13.25,10.07,8.0
2004-10-10,17.91,24.5,12.81,0.0,16.71
2004-10-11,20.3,28.25,14.82,0.05,13.88
2004-10-12,14.28,17.16,12.23,10.28,5.61
2004-10-13,13.32,17.31,10.37,0.39,6.22
2004-10-14,13.09,17.88,9.98,0.0,9.65
2004-10-15,15.45,21.57,12.34,0.0,14.38
2004-10-16,18.97,24.95,14.17,0.07,14.34
2004-10-17,22.24,28.53,19.21,0.03,12.11
2004-10-18,20.36,26.13,16.36,0.0,14.84
2004-10-19,19.26,24.73,15.26,0.0,11.71
2004-10-20,17.71,22.82,14.28,1.63,7.75
2004-10-21,15.66,20.58,12.31,0.1,14.21
2004-10-22,14.57,19.43,10.87,0.0,10.81
2004-10-23,13.81,19.21,10.48,0.0,14.69
2004-10-24,14.25,19.78,11.18,0.0,14.21
2004-10-25,15.99,22.66,12.06,0.0,14.3
2004-10-26,18.2,26.26,13.51,0.0,13.93
2004-10-27,17.5,26.01,12.03,0.0,8.62
2004-10-28,17.99,24.27,14.39,0.0,12.62
2004-10-29,17.84,22.97,14.87,0.0,12.04
2004-10-30,16.61,21.98,13.49,0.0,12.2
2004-10-31,17.7,24.48,13.19,0.0,12.61
2004-11-01,18.07,24.98,13.07,0.0,12.53
2004-11-02,16.93,20.99,13.99,0.1,10.16
2004-11-03,13.9,17.17,12.05,0.35,8.17
2004-11-04,12.93,17.45,9.42,0.09,12.27
2004-11-05,12.99,18.68,9.76,0.0,13.19
2004-11-06,12.93,19.66,7.32,0.0,12.53
2004-11-07,13.77,19.88,11.28,0.1,8.97
2004-11-08,16.2,23.59,11.11,0.0,10.54
2004-11-09,17.55,24.45,13.8,0.0,8.49
2004-11-10,17.09,21.76,14.77,0.03,9.03
2004-11-11,16.25,20.71,14.12,0.14,7.72
2004-11-12,15.63,20.4,13.5,0.11,8.87
2004-11-13,16.76,23.65,13.3,0.04,10.46
2004-11-14,19.47,27.16,13.88,0.85,7.78
2004-11-15,18.76,23.0,14.91,4.22,4.26
2004-11-16,12.98,16.84,9.48,14.75,3.2
2004-11-17,9.12,10.82,7.11,5.19,3.64
2004-11-18,9.46,14.71,6.18,0.02,10.35
2004-11-19,10.77,18.33,5.64,0.0,11.24
2004-11-20,8.56,13.88,4.44,21.65,1.43
2004-11-21,5.27,8.02,3.25,1.52,6.05
2004-11-22,3.81,4.75,2.92,13.05,2.93
2004-11-23,4.66,7.82,1.38,1.8,6.68
2004-11-24,4.91,8.31,2.55,14.88,3.37
2004-11-25,2.93,5.95,0.56,7.47,4.15
2004-11-26,2.68,4.94,0.9,3.22,2.84
2004-11-27,3.86,9.52,0.03,0.05,4.74
2004-11-28,5.62,10.49,2.29,0.03,7.08
2004-11-29,8.32,14.5,4.48,0.01,9.18
2004-11-30,10.78,14.43,7.98,0.76,4.48
2004-12-01,10.12,14.03,7.76,3.27,6.37
2004-12-02,11.12,16.91,7.74,0.02,7.57
2004-12-03,13.22,18.7,10.05,0.07,8.43
2004-12-04,12.52,16.7,10.57,0.79,4.94
2004-12-05,9.41,12.56,6.06,1.06,4.23
2004-12-06,8.56,13.97,5.01,0.0,8.8
2004-12-07,7.02,8.34,5.03,13.17,2.8
2004-12-08,6.71,11.05,3.82,0.2,8.89
2004-12-09,5.29,9.11,1.82,0.02,7.44
2004-12-10,5.68,8.6,4.33,0.29,5.85
2004-12-11,5.0,7.22,3.77,3.08,2.83
2004-12-12,6.71,10.66,4.17,0.19,8.55
2004-12-13,5.55,9.71,1.68,0.12,8.02
2004-12-14,4.48,7.34,2.31,0.54,3.23
2004-12-15,2.75,6.13,0.78,0.47,5.94
2004-12-16,2.55,6.06,-0.36,0.04,8.87
2004-12-17,3.07,10.26,-1.66,0.0,9.47
2004-12-18,7.42,13.69,2.73,0.14,7.54
2004-12-19,9.84,14.92,7.3,0.69,4.72
2004-12-20,9.27,13.45,6.54,2.84,2.97
2004-12-21,7.96,8.64,7.1,6.73,3.1
2004-12-22,7.54,9.47,6.71,6.86,2.19
2004-12-23,4.51,6.5,2.78,3.37,3.68
2004-12-24,4.38,7.85,1.98,0.05,4.51
2004-12-25,4.28,10.2,-0.07,0.0,8.71
2004-12-26,5.94,13.28,1.73,0.0,9.0
