date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,24.87,32.85,19.49,0.0,19.43
2004-10-02,23.62,32.15,16.9,0.01,19.01
2004-10-03,21.44,29.47,14.32,0.0,17.4
2004-10-04,20.92,28.3,14.35,0.0,17.68
2004-10-05,20.41,28.27,13.23,0.0,18.52
2004-10-06,21.97,30.16,14.13,0.0,12.72
2004-10-07,21.66,29.17,16.28,0.0,16.68
2004-10-08,21.18,28.72,14.98,0.01,12.94
2004-10-09,19.72,26.24,14.37,0.0,17.33
2004-10-10,18.43,25.63,13.02,0.0,18.22
2004-10-11,20.41,27.57,14.24,0.0,17.9
2004-10-12,21.1,28.92,14.12,0.0,7.77
2004-10-13,18.53,24.34,14.76,0.0,6.99
2004-10-14,18.87,26.63,12.69,0.0,15.86
2004-10-15,21.31,27.99,15.19,0.0,15.32
2004-10-16,20.9,27.3,14.22,0.0,12.09
2004-10-17,20.73,27.78,13.98,0.0,13.51
2004-10-18,21.73,29.76,14.58,0.0,16.17
2004-10-19,22.17,30.26,16.44,0.0,16.45
2004-10-20,21.19,28.99,16.44,0.0,16.17
2004-10-21,16.81,20.71,11.81,0.25,6.38
2004-10-22,14.47,20.99,7.76,0.0,14.66
2004-10-23,15.58,23.19,8.73,0.0,16.37
2004-10-24,16.16,24.2,9.18,0.0,14.6
2004-10-25,17.45,26.05,9.95,0.0,14.61
2004-10-26,18.55,27.03,12.15,0.0,13.97
2004-10-27,20.74,28.51,14.01,0.0,11.22
2004-10-28,21.6,28.57,15.15,0.0,12.98
2004-10-29,16.78,20.32,13.74,3.67,5.02
2004-10-30,16.78,21.93,13.22,3.04,6.89
2004-10-31,15.72,20.62,12.68,0.94,10.35
2004-11-01,16.38,21.83,11.48,0.0,12.64
2004-11-02,16.66,22.87,10.61,0.0,12.36
2004-11-03,16.33,23.23,11.74,0.02,13.32
2004-11-04,13.73,20.74,8.98,2.0,7.42
2004-11-05,11.77,19.81,6.45,0.49,13.46
2004-11-06,10.76,14.33,7.64,25.58,2.74
2004-11-07,12.2,17.4,9.03,7.68,3.21
2004-11-08,13.25,19.58,9.52,0.95,10.37
2004-11-09,13.17,16.84,10.54,5.2,7.0
2004-11-10,12.97,18.33,8.73,1.55,7.66
2004-11-11,13.69,19.63,8.82,0.07,10.5
2004-11-12,14.18,20.72,10.23,0.04,11.97
2004-11-13,13.84,21.21,7.31,0.0,12.83
2004-11-14,13.21,20.88,6.46,0.0,12.86
2004-11-15,12.63,19.8,6.87,0.03,12.2
2004-11-16,12.54,17.06,9.5,5.29,4.68
2004-11-17,10.74,13.51,9.08,24.12,1.39
2004-11-18,8.21,14.23,4.2,2.73,11.41
2004-11-19,7.31,14.82,1.11,0.0,12.85
2004-11-20,8.36,13.64,4.26,0.06,9.56
2004-11-21,8.1,12.47,5.26,19.83,2.58
2004-11-22,5.91,9.02,0.63,6.84,2.95
2004-11-23,1.31,6.09,-3.25,2.25,12.06
2004-11-24,0.06,6.53,-4.61,0.0,12.21
2004-11-25,1.66,5.71,-1.73,3.99,2.63
2004-11-26,0.81,1.72,-0.39,24.24,2.26
2004-11-27,-1.09,2.43,-5.97,0.9,9.1
2004-11-28,-3.08,4.53,-7.27,0.0,11.12
2004-11-29,-1.92,5.4,-6.56,0.0,9.51
2004-11-30,-0.31,7.24,-4.25,0.0,10.55
2004-12-01,1.5,9.3,-3.04,0.0,8.23
2004-12-02,1.09,8.28,-2.73,0.0,10.38
2004-12-03,2.32,11.21,-2.38,0.0,8.66
2004-12-04,3.28,11.76,-1.12,0.0,10.34
2004-12-05,4.51,11.73,-0.36,0.38,7.37
2004-12-06,3.0,9.44,-2.05,0.24,8.75
2004-12-07,2.48,9.4,-3.07,0.0,8.98
2004-12-08,1.64,6.22,-0.93,1.83,4.94
2004-12-09,1.83,9.61,-2.38,0.0,10.86
2004-12-10,0.38,6.82,-3.07,0.0,10.07
2004-12-11,0.51,6.01,-3.04,0.07,3.97
2004-12-12,-0.92,4.55,-3.68,0.0,11.15
2004-12-13,0.48,7.28,-4.41,0.0,11.0
2004-12-14,1.43,7.66,-2.88,0.02,10.19
2004-12-15,-1.89,3.15,-4.87,0.0,11.06
2004-12-16,-3.23,2.47,-6.59,0.0,11.1
2004-12-17,-2.91,3.56,-7.72,0.0,10.71
2004-12-18,-1.8,4.11,-5.77,0.0,10.16
2004-12-19,-1.3,2.88,-3.42,0.15,4.64
2004-12-20,-0.96,3.03,-3.3,0.01,4.47
2004-12-21,1.54,7.71,-1.68,0.0,9.67
2004-12-22,2.26,9.41,-1.24,0.0,10.3
2004-12-23,2.5,7.57,-0.65,1.0,2.41
2004-12-24,3.2,6.31,1.77,4.47,3.26
2004-12-25,3.09,8.14,0.73,0.53,6.13
2004-12-26,3.25,11.68,-1.26,0.0,10.65
2004-12-27,3.15,12.2,-1.5,0.0,10.56
