date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,16.82,20.24,14.4,1.8,5.26
2004-10-02,15.98,20.54,13.17,5.64,12.69
2004-10-03,13.79,17.0,11.42,7.13,10.98
2004-10-04,12.46,14.31,10.81,0.69,9.78
2004-10-05,11.87,14.54,10.34,0.02,8.67
2004-10-06,13.15,16.74,9.94,0.49,8.08
2004-10-07,15.7,21.04,13.04,0.66,11.83
2004-10-08,16.46,23.13,11.56,1.89,14.22
2004-10-09,14.92,17.43,12.91,4.04,5.84
2004-10-10,15.84,23.04,10.93,0.12,15.73
2004-10-11,18.18,26.73,11.97,0.0,16.38
2004-10-12,11.67,14.55,7.92,7.37,3.8
2004-10-13,7.09,9.41,4.16,1.92,4.32
2004-10-14,9.24,13.82,5.53,0.0,13.6
2004-10-15,13.61,22.09,7.84,0.0,14.21
2004-10-16,15.36,22.94,10.96,0.0,9.4
2004-10-17,16.7,20.81,12.13,0.0,8.56
2004-10-18,18.8,28.59,14.12,0.0,13.44
2004-10-19,15.83,23.52,11.83,0.02,11.07
2004-10-20,14.93,18.23,12.16,2.58,5.1
2004-10-21,11.84,16.95,8.74,0.21,12.69
2004-10-22,10.83,15.13,8.84,0.06,10.74
2004-10-23,11.99,18.26,8.15,0.01,14.22
2004-10-24,12.74,21.76,7.07,0.0,13.52
2004-10-25,12.56,21.78,7.18,0.0,13.61
2004-10-26,14.1,23.96,8.44,0.0,13.47
2004-10-27,18.76,27.54,10.69,0.0,11.34
2004-10-28,16.23,23.33,12.22,0.0,10.86
2004-10-29,15.17,20.76,11.93,0.01,9.81
2004-10-30,15.49,22.17,11.7,0.06,9.28
2004-10-31,15.03,22.27,10.9,0.0,11.41
2004-11-01,15.56,23.97,10.39,0.0,12.29
2004-11-02,14.57,21.3,10.68,0.2,9.95
2004-11-03,10.91,12.87,8.49,3.29,4.43
2004-11-04,7.99,11.4,5.44,0.78,8.45
2004-11-05,7.36,14.42,3.24,0.0,12.42
2004-11-06,8.29,17.35,2.36,0.0,12.47
2004-11-07,11.31,19.68,5.43,0.01,8.45
2004-11-08,12.83,21.83,7.08,0.0,10.39
2004-11-09,14.95,22.27,9.72,0.0,9.96
2004-11-10,15.89,22.74,10.35,0.0,9.12
2004-11-11,14.85,21.3,10.25,0.11,8.75
2004-11-12,12.93,19.18,8.75,0.0,7.67
2004-11-13,13.56,21.78,8.22,0.0,10.22
2004-11-14,15.08,23.26,10.14,0.0,10.71
2004-11-15,15.61,21.08,12.6,0.27,3.56
