date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,20.64,26.47,15.52,0.0,17.84
2004-10-02,20.94,26.29,16.89,0.03,14.27
2004-10-03,18.16,21.72,15.21,0.52,11.6
2004-10-04,16.88,21.27,13.22,0.19,13.29
2004-10-05,17.3,21.64,13.43,0.08,10.52
2004-10-06,16.76,20.19,14.03,2.51,10.08
2004-10-07,15.86,18.9,13.44,13.23,8.92
2004-10-08,15.72,19.82,12.1,0.21,11.62
2004-10-09,17.6,22.97,14.04,0.06,15.83
2004-10-10,18.26,24.59,13.32,0.0,15.18
2004-10-11,19.37,24.85,15.57,1.29,9.6
2004-10-12,14.63,16.99,12.53,9.3,4.71
2004-10-13,13.63,16.83,11.9,0.41,8.32
2004-10-14,13.69,17.41,11.55,0.02,4.17
2004-10-15,15.3,20.07,11.31,0.0,12.38
2004-10-16,18.55,24.14,13.13,0.03,11.16
2004-10-17,20.98,26.43,16.84,0.0,11.8
2004-10-18,20.44,25.4,16.23,0.0,11.11
2004-10-19,19.15,24.83,15.23,0.08,12.83
2004-10-20,19.56,24.4,16.49,0.0,8.91
2004-10-21,17.89,22.49,13.96,0.0,12.47
2004-10-22,17.03,21.37,13.78,0.04,3.41
2004-10-23,15.79,21.33,12.01,0.0,12.56
2004-10-24,16.88,22.84,12.63,0.0,11.37
2004-10-25,16.97,22.51,13.42,0.08,13.54
2004-10-26,16.9,23.2,12.45,0.0,12.51
2004-10-27,17.14,22.69,13.56,0.0,8.98
2004-10-28,18.63,23.41,13.97,0.0,11.42
2004-10-29,18.47,23.98,14.51,0.08,11.49
2004-10-30,17.71,23.4,13.49,0.0,11.56
2004-10-31,18.13,23.68,13.95,0.0,11.21
2004-11-01,18.66,24.15,14.45,0.01,10.31
2004-11-02,17.02,21.72,13.94,0.0,8.22
2004-11-03,14.78,18.56,12.81,0.0,3.04
2004-11-04,14.15,17.76,11.85,0.0,6.23
2004-11-05,13.62,19.13,9.93,0.0,11.94
2004-11-06,13.59,17.98,11.02,0.0,10.2
2004-11-07,12.78,16.97,9.25,0.01,10.63
2004-11-08,15.27,19.76,10.99,0.43,8.16
2004-11-09,17.85,22.47,14.62,1.17,7.44
2004-11-10,16.69,19.94,13.68,2.69,4.83
2004-11-11,15.75,20.58,12.77,0.02,9.52
2004-11-12,15.63,20.08,12.6,0.0,5.94
2004-11-13,15.48,19.8,13.04,0.0,7.84
2004-11-14,17.9,24.26,12.96,0.44,2.97
2004-11-15,17.75,21.27,11.41,2.51,3.35
2004-11-16,9.35,11.02,7.43,14.24,2.73
2004-11-17,8.0,11.92,5.75,0.28,6.61
2004-11-18,8.27,13.07,5.05,0.0,10.11
2004-11-19,12.36,17.27,7.71,0.01,7.08
2004-11-20,8.61,15.85,2.42,10.16,4.22
2004-11-21,2.65,7.44,-1.37,0.0,9.99
2004-11-22,2.01,7.08,-1.34,0.02,8.37
2004-11-23,5.43,10.81,-0.35,0.0,4.27
2004-11-24,6.54,9.57,1.08,1.75,2.88
2004-11-25,1.34,4.19,-1.3,0.26,7.66
2004-11-26,1.53,5.95,-2.62,0.04,7.51
2004-11-27,6.76,13.6,2.06,0.0,8.8
2004-11-28,8.94,12.13,6.28,0.01,5.79
2004-11-29,10.46,15.44,6.77,0.01,7.12
2004-11-30,11.85,16.85,8.95,0.0,6.58
2004-12-01,10.95,13.55,9.13,0.69,3.42
2004-12-02,12.68,17.51,8.98,0.02,5.15
2004-12-03,13.98,19.03,10.84,0.0,6.46
2004-12-04,13.33,17.59,10.78,0.08,4.07
2004-12-05,10.14,12.76,6.7,1.57,3.67
2004-12-06,8.96,13.64,5.94,0.0,6.66
2004-12-07,7.31,9.77,4.09,9.95,4.97
2004-12-08,6.53,10.57,2.73,0.0,8.01
2004-12-09,5.86,10.21,2.72,0.0,6.9
2004-12-10,5.36,8.85,1.82,0.0,7.33
2004-12-11,3.6,7.76,1.22,0.0,6.93
2004-12-12,4.74,9.33,0.93,0.0,8.41
2004-12-13,5.17,10.68,1.67,0.08,8.13
2004-12-14,3.18,7.13,0.03,0.3,4.5
2004-12-15,1.6,6.58,-0.98,0.0,8.22
2004-12-16,2.97,6.4,0.16,0.0,8.34
2004-12-17,4.55,9.56,0.77,0.0,7.29
2004-12-18,9.41,12.9,5.45,0.09,4.57
2004-12-19,10.74,11.61,9.44,2.81,3.09
2004-12-20,8.64,10.64,6.04,3.58,2.29
2004-12-21,6.19,7.5,5.45,10.21,2.22
2004-12-22,3.75,5.43,1.1,12.89,1.99
2004-12-23,1.95,4.72,0.11,0.28,3.69
2004-12-24,2.53,6.24,0.82,0.0,4.22
2004-12-25,4.71,9.75,1.28,0.0,7.55
2004-12-26,6.75,11.22,2.09,0.0,7.26
2004-12-27,11.12,16.37,7.58,0.04,6.12
2004-12-28,12.15,15.39,9.05,4.24,5.37
2004-12-29,12.68,13.84,10.71,12.95,1.99
2004-12-30,7.6,10.54,4.36,0.12,5.71
2004-12-31,5.97,7.81,4.51,6.05,2.59
2005-01-01,5.12,6.96,2.9,7.02,1.79
2005-01-02,3.71,7.68,1.34,0.27,4.81
2005-01-03,4.79,9.71,1.42,0.04,4.65
2005-01-04,3.69,7.68,2.1,0.29,7.61
2005-01-05,5.13,11.1,0.46,0.0,6.89
2005-01-06,6.04,12.86,1.28,0.0,8.66
2005-01-07,5.64,8.38,2.48,0.53,4.51
2005-01-08,5.18,9.7,0.98,0.0,8.78
2005-01-09,6.46,12.86,2.63,0.0,9.08
2005-01-10,6.25,12.8,1.29,0.0,7.55
2005-01-11,7.16,12.01,3.08,0.0,9.08
2005-01-12,5.8,11.73,1.74,0.0,8.66
2005-01-13,6.01,10.81,2.52,0.0,5.45
2005-01-14,5.48,7.19,3.51,0.02,4.99
2005-01-15,3.33,5.3,2.11,3.37,4.18
2005-01-16,3.68,5.7,2.05,2.6,3.92
2005-01-17,4.53,6.27,3.01,3.58,2.28
2005-01-18,3.97,7.11,2.14,0.24,3.53
2005-01-19,5.12,7.28,3.78,0.0,3.03
2005-01-20,5.96,10.27,3.71,0.0,4.79
2005-01-21,8.39,12.83,4.29,2.19,6.43
2005-01-22,6.34,9.59,3.66,6.68,3.02
2005-01-23,2.72,7.2,-0.53,0.03,9.56
2005-01-24,3.2,6.54,-0.67,3.54,5.9
2005-01-25,9.86,12.48,2.28,7.92,1.59
2005-01-26,13.09,16.09,10.84,5.03,7.26
2005-01-27,11.0,13.58,8.14,9.3,6.52
2005-01-28,8.71,10.77,7.23,5.87,4.72
2005-01-29,6.27,7.44,4.65,18.88,1.58
2005-01-30,2.59,5.96,-3.6,1.74,3.82
2005-01-31,-1.4,2.2,-3.94,0.11,6.45
2005-02-01,1.88,4.63,-1.93,0.17,7.56
2005-02-02,3.45,5.62,2.28,4.35,5.53
2005-02-03,2.62,3.57,1.29,19.7,2.48
2005-02-04,0.97,3.42,-3.34,10.75,2.8
2005-02-05,-2.13,1.63,-4.04,2.08,4.36
2005-02-06,-5.27,-2.41,-7.51,0.48,12.29
2005-02-07,-4.4,-1.06,-6.29,0.96,11.16
2005-02-08,-3.65,0.08,-6.32,0.39,10.68
2005-02-09,-2.47,1.4,-5.99,0.23,12.91
2005-02-10,-1.15,1.99,-3.68,0.52,8.56
2005-02-11,-1.75,1.96,-4.75,0.05,11.79
2005-02-12,0.88,4.46,-2.98,0.0,5.24
2005-02-13,6.07,9.79,1.72,0.32,5.12
2005-02-14,11.5,15.17,8.62,0.94,8.0
2005-02-15,11.74,14.22,10.4,5.9,4.62
2005-02-16,9.28,10.36,7.34,11.04,9.06
2005-02-17,8.14,10.45,6.64,9.15,4.77
2005-02-18,6.67,7.64,5.16,2.14,4.05
2005-02-19,6.18,8.99,4.24,0.58,8.8
2005-02-20,4.57,8.37,2.0,0.93,8.51
2005-02-21,6.79,11.15,3.24,1.65,8.7
2005-02-22,8.71,13.74,4.89,0.04,11.28
2005-02-23,8.22,10.79,6.39,2.04,6.71
2005-02-24,9.92,14.88,6.68,0.01,11.48
2005-02-25,9.45,13.86,5.98,0.01,10.23
2005-02-26,9.71,11.7,7.83,9.67,5.12
2005-02-27,11.38,14.81,6.33,8.12,9.68
2005-02-28,4.22,6.42,1.56,0.83,9.28
2005-03-01,1.71,4.25,0.01,2.63,4.22
2005-03-02,2.75,5.47,1.33,9.64,2.93
2005-03-03,2.75,5.54,-0.94,1.38,8.73
2005-03-04,3.72,8.32,-1.03,0.0,11.97
2005-03-05,8.22,11.78,3.05,0.95,6.12
2005-03-06,11.01,14.59,7.02,3.11,15.06
2005-03-07,7.58,12.76,1.7,0.58,13.04
2005-03-08,3.5,7.1,0.52,3.86,7.17
2005-03-09,2.41,6.43,-2.05,0.01,15.84
2005-03-10,3.05,6.58,0.34,0.11,10.72
2005-03-11,-0.01,2.76,-2.36,0.13,14.91
2005-03-12,4.6,10.32,-1.72,0.0,18.87
2005-03-13,8.9,13.91,4.75,0.05,14.94
2005-03-14,6.39,7.84,3.83,1.34,10.96
2005-03-15,9.5,15.35,3.67,0.0,16.3
2005-03-16,9.98,16.24,4.87,0.0,16.76
2005-03-17,10.28,16.38,4.85,0.0,18.94
2005-03-18,11.89,18.78,5.59,0.01,17.06
2005-03-19,12.76,18.63,7.87,0.05,15.51
