date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,16.21,24.16,10.86,0.28,14.36
2004-10-02,13.73,21.28,9.35,0.21,10.07
2004-10-03,10.36,15.93,5.98,0.13,8.8
2004-10-04,8.15,13.31,4.45,0.33,8.25
2004-10-05,8.19,15.82,3.84,0.13,12.05
2004-10-06,12.55,23.05,1.89,0.06,13.88
2004-10-07,14.47,23.85,6.73,0.01,14.91
2004-10-08,12.52,21.05,5.8,0.74,11.58
2004-10-09,9.55,14.49,5.46,5.21,10.17
2004-10-10,10.1,17.32,3.11,0.0,14.32
2004-10-11,11.52,21.02,3.28,0.0,17.45
2004-10-12,10.36,21.49,3.53,0.67,12.59
2004-10-13,3.51,8.18,0.26,1.79,4.17
2004-10-14,8.07,18.22,-1.59,0.0,12.65
2004-10-15,11.35,19.46,4.11,0.0,15.01
2004-10-16,11.77,20.0,5.74,0.0,12.49
2004-10-17,13.13,21.29,7.01,0.0,14.19
2004-10-18,14.45,23.31,7.13,0.0,12.26
2004-10-19,14.85,23.62,8.58,0.0,13.32
2004-10-20,11.82,19.95,6.77,2.35,8.67
2004-10-21,7.01,12.04,1.4,4.45,9.46
2004-10-22,4.39,12.18,-0.41,0.0,12.52
2004-10-23,5.97,16.02,-2.4,0.0,15.34
2004-10-24,9.54,18.78,1.12,0.0,14.14
2004-10-25,9.7,18.88,3.48,0.0,14.01
2004-10-26,10.6,20.72,2.29,0.0,14.36
2004-10-27,12.61,22.06,5.68,0.0,10.12
2004-10-28,13.72,20.91,6.81,0.01,10.18
2004-10-29,12.34,19.83,8.32,0.32,8.4
2004-10-30,10.03,14.49,6.04,0.4,8.0
2004-10-31,9.73,15.62,5.27,0.79,11.1
2004-11-01,10.7,17.35,6.16,0.0,12.66
2004-11-02,10.5,19.16,3.99,0.01,12.1
2004-11-03,7.59,13.69,3.43,0.81,5.64
2004-11-04,2.41,8.22,-3.24,1.8,8.68
2004-11-05,2.32,13.08,-5.05,0.0,13.44
2004-11-06,4.55,14.26,-3.36,0.01,12.49
2004-11-07,6.05,11.96,1.54,0.03,8.09
2004-11-08,7.87,14.65,3.94,1.59,10.4
2004-11-09,9.11,14.73,5.52,0.2,7.76
2004-11-10,9.0,15.51,5.26,0.02,8.34
2004-11-11,8.31,14.94,3.76,0.43,9.15
2004-11-12,7.78,15.79,2.74,0.0,10.16
2004-11-13,8.04,16.0,1.45,0.0,11.0
2004-11-14,7.83,16.93,1.29,0.0,11.6
2004-11-15,7.75,15.81,2.25,0.31,5.23
2004-11-16,7.52,12.27,4.97,2.29,6.88
2004-11-17,1.3,3.74,-0.67,16.14,2.9
2004-11-18,-0.85,3.33,-5.12,0.35,6.62
2004-11-19,0.46,9.83,-5.14,0.0,10.88
2004-11-20,3.83,9.88,-2.79,0.14,3.9
2004-11-21,-1.28,5.82,-8.73,30.37,1.98
2004-11-22,-6.51,-4.77,-8.48,7.36,2.64
2004-11-23,-8.65,-5.37,-13.94,0.33,5.42
2004-11-24,-7.49,-0.66,-14.5,0.01,2.98
2004-11-25,-4.16,-0.93,-7.4,15.0,1.5
2004-11-26,-6.08,-4.37,-7.89,10.5,1.12
2004-11-27,-8.56,-4.73,-13.1,0.19,3.4
2004-11-28,-8.11,-0.46,-13.41,0.0,8.92
2004-11-29,-6.89,-0.23,-11.88,0.0,7.01
2004-11-30,-4.76,0.04,-8.97,0.04,6.85
2004-12-01,-3.25,-0.16,-8.05,1.57,2.76
2004-12-02,-7.46,-0.96,-13.09,0.0,8.72
2004-12-03,-4.49,0.05,-10.66,0.05,5.87
2004-12-04,-2.19,0.03,-6.41,0.3,7.14
2004-12-05,-2.02,0.21,-8.15,3.49,2.69
2004-12-06,-8.77,-1.26,-13.96,0.05,7.85
2004-12-07,-6.92,-0.71,-14.84,5.2,6.11
2004-12-08,-5.77,-1.95,-10.55,1.0,4.98
2004-12-09,-9.64,-2.83,-13.7,0.14,8.06
2004-12-10,-8.94,-3.28,-13.12,0.22,6.36
2004-12-11,-10.05,-5.03,-13.39,0.47,5.24
2004-12-12,-8.37,-4.34,-12.36,0.54,3.78
2004-12-13,-8.5,-2.25,-12.9,0.2,2.96
2004-12-14,-8.22,-3.11,-13.22,2.16,3.27
2004-12-15,-12.14,-8.15,-14.62,0.44,5.48
2004-12-16,-12.34,-8.05,-14.78,0.41,5.54
2004-12-17,-14.41,-6.97,-19.58,0.04,9.28
2004-12-18,-10.56,-2.16,-17.84,0.0,9.74
2004-12-19,-6.93,-3.63,-10.49,0.79,4.66
2004-12-20,-4.66,0.15,-10.88,0.37,4.49
2004-12-21,-2.91,0.12,-5.6,0.17,4.31
2004-12-22,-2.85,0.62,-6.24,0.57,8.41
2004-12-23,-2.28,0.11,-4.43,8.04,2.54
2004-12-24,-2.68,0.02,-5.59,3.28,4.14
