date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,20.87,28.21,13.7,0.01,19.49
2004-10-02,19.52,27.24,11.68,0.03,18.39
2004-10-03,16.63,23.19,11.29,0.06,16.42
2004-10-04,14.15,21.93,8.31,0.03,15.57
2004-10-05,13.91,22.39,6.21,0.0,19.43
2004-10-06,15.71,24.12,7.51,0.04,12.52
2004-10-07,17.61,25.91,10.52,0.0,16.73
2004-10-08,17.23,23.56,9.57,0.89,13.7
2004-10-09,16.62,22.0,12.03,0.27,15.99
2004-10-10,14.68,20.97,9.7,0.0,16.74
2004-10-11,15.36,22.02,9.68,0.0,16.95
2004-10-12,15.9,22.57,9.22,0.03,14.37
2004-10-13,13.9,22.07,7.02,0.04,13.29
2004-10-14,13.75,21.13,6.66,0.0,16.15
2004-10-15,15.6,21.05,11.3,0.16,15.36
2004-10-16,15.87,22.03,10.43,0.01,13.58
2004-10-17,15.56,22.68,8.92,0.0,15.23
2004-10-18,17.45,25.07,11.48,0.0,16.47
2004-10-19,17.86,24.87,11.12,0.0,15.18
2004-10-20,17.38,23.44,12.8,0.03,15.95
2004-10-21,11.47,17.86,4.13,2.64,10.02
2004-10-22,7.79,17.43,0.18,0.0,11.59
2004-10-23,8.9,18.2,0.64,0.0,16.46
2004-10-24,11.23,18.48,4.79,0.0,15.34
2004-10-25,12.28,20.39,5.68,0.0,15.35
2004-10-26,13.09,21.21,6.52,0.0,14.99
2004-10-27,15.48,23.18,9.33,0.0,12.37
2004-10-28,16.39,22.39,11.57,0.02,12.28
2004-10-29,13.45,20.89,10.57,5.12,7.14
2004-10-30,11.12,13.57,9.47,20.91,4.34
2004-10-31,10.62,15.09,7.49,4.65,7.05
2004-11-01,11.41,17.63,7.11,0.0,11.19
2004-11-02,12.31,18.55,8.85,0.0,12.24
2004-11-03,11.48,18.62,6.51,0.0,12.45
2004-11-04,6.89,13.74,0.18,0.57,10.17
2004-11-05,6.14,14.34,-0.34,0.0,13.11
2004-11-06,6.24,12.09,1.57,1.27,7.62
2004-11-07,7.57,12.95,2.94,1.2,5.21
2004-11-08,9.17,13.91,5.78,0.92,7.76
2004-11-09,9.75,14.1,7.0,1.59,4.81
2004-11-10,9.35,14.18,5.72,0.01,8.39
2004-11-11,9.53,14.28,5.94,0.03,8.37
2004-11-12,9.96,17.37,4.28,0.0,12.39
2004-11-13,9.7,16.74,4.78,0.0,12.61
2004-11-14,9.11,16.01,3.71,0.0,12.58
2004-11-15,8.78,15.03,3.36,0.05,10.59
2004-11-16,7.0,8.89,5.42,2.88,2.45
2004-11-17,6.17,8.79,2.15,14.67,2.92
2004-11-18,2.37,7.71,-2.79,3.6,11.95
2004-11-19,2.34,8.88,-2.97,0.0,12.18
2004-11-20,3.07,7.85,-0.51,0.04,6.5
2004-11-21,2.83,3.58,1.78,13.86,1.44
2004-11-22,0.2,2.73,-3.68,13.65,3.03
2004-11-23,-5.83,-2.09,-11.92,1.85,10.23
2004-11-24,-8.1,-0.73,-14.76,0.0,10.63
2004-11-25,-4.5,-1.38,-7.89,1.99,1.34
2004-11-26,-3.62,-2.0,-5.83,13.33,2.03
2004-11-27,-6.93,-1.94,-14.42,5.7,7.26
2004-11-28,-8.45,-1.88,-12.95,0.0,8.96
2004-11-29,-7.57,-0.19,-13.06,0.0,8.75
2004-11-30,-5.83,0.3,-10.15,0.0,8.24
2004-12-01,-6.02,1.28,-11.14,0.1,5.34
2004-12-02,-6.7,2.01,-13.05,0.0,7.31
2004-12-03,-1.52,4.46,-6.42,0.0,6.72
2004-12-04,0.1,6.11,-4.2,0.01,7.56
2004-12-05,0.91,4.96,-3.71,0.61,6.07
2004-12-06,-2.22,3.77,-5.89,0.38,8.69
2004-12-07,-1.81,2.87,-4.99,0.15,8.46
2004-12-08,-2.16,2.51,-4.87,2.06,5.13
2004-12-09,-2.33,5.6,-6.8,0.0,7.64
2004-12-10,-4.66,1.63,-9.51,0.01,8.25
2004-12-11,-4.18,0.78,-7.61,0.01,8.43
2004-12-12,-6.17,-0.66,-10.1,0.06,9.79
2004-12-13,-3.78,3.8,-9.08,0.02,9.07
2004-12-14,-4.36,0.68,-8.6,0.29,6.71
2004-12-15,-7.89,-2.99,-11.26,0.07,8.08
2004-12-16,-8.77,-3.28,-12.42,0.03,8.85
2004-12-17,-6.8,0.18,-12.16,0.0,8.88
2004-12-18,-6.59,-0.66,-10.74,0.0,8.85
2004-12-19,-5.49,-1.62,-9.46,1.18,5.07
2004-12-20,-4.88,-1.48,-8.07,0.02,3.84
2004-12-21,-1.9,4.65,-6.19,0.01,7.57
2004-12-22,-1.17,5.67,-5.61,0.0,8.9
2004-12-23,-1.65,0.72,-4.23,2.9,2.58
2004-12-24,-0.9,0.09,-1.66,7.28,2.0
2004-12-25,-0.43,4.13,-3.23,2.35,7.0
2004-12-26,-1.39,5.9,-4.52,0.0,8.73
2004-12-27,0.59,7.87,-4.68,0.0,8.48
2004-12-28,3.41,10.27,-0.75,0.0,7.42
2004-12-29,2.28,7.19,-0.23,0.0,8.17
2004-12-30,1.23,6.88,-1.2,0.0,6.39
2004-12-31,1.28,7.74,-1.49,0.0,9.3
2005-01-01,1.27,7.5,-2.12,0.0,8.53
2005-01-02,0.57,3.66,-0.77,2.05,3.29
2005-01-03,-0.56,4.36,-4.14,0.11,7.4
