date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,14.64,22.52,9.24,0.0,20.7
2004-10-02,12.41,19.95,7.25,0.0,19.52
2004-10-03,9.98,17.17,4.25,0.01,18.36
2004-10-04,9.21,16.06,4.11,0.05,16.98
2004-10-05,10.52,18.54,4.14,0.06,19.43
2004-10-06,10.9,18.7,4.75,0.0,17.11
2004-10-07,12.07,20.04,5.36,0.0,16.82
2004-10-08,12.34,18.43,7.64,0.04,14.89
2004-10-09,11.17,19.46,4.22,0.03,13.26
2004-10-10,7.76,16.03,1.43,0.0,15.83
2004-10-11,8.77,17.32,2.31,0.0,18.62
2004-10-12,9.62,16.92,4.73,0.2,14.28
2004-10-13,8.11,13.73,4.76,2.87,8.82
2004-10-14,8.42,15.17,3.32,0.98,14.76
2004-10-15,8.58,15.74,3.85,0.01,16.11
2004-10-16,9.09,15.84,4.02,0.1,15.57
2004-10-17,9.08,15.54,4.65,0.0,15.69
2004-10-18,9.12,16.65,4.74,0.0,16.75
2004-10-19,9.74,17.28,4.57,0.0,17.24
2004-10-20,9.54,17.32,4.01,0.0,16.58
2004-10-21,5.44,12.1,0.35,19.09,9.06
2004-10-22,3.8,11.88,-3.92,2.98,15.78
2004-10-23,4.87,12.25,-0.07,0.0,15.03
2004-10-24,5.5,14.12,-0.9,0.0,16.85
2004-10-25,6.64,13.38,2.28,0.0,14.85
2004-10-26,7.11,14.46,2.97,0.0,15.53
2004-10-27,8.07,14.67,3.38,0.0,15.15
2004-10-28,7.94,12.97,4.32,0.0,12.47
2004-10-29,8.32,15.22,3.37,0.44,13.22
2004-10-30,4.93,9.46,1.78,2.38,5.21
2004-10-31,4.47,9.77,1.53,6.01,5.28
2004-11-01,5.07,10.69,0.34,0.38,8.67
2004-11-02,5.4,11.35,0.57,0.0,7.53
2004-11-03,4.43,10.33,0.53,0.64,11.45
2004-11-04,3.65,7.94,1.37,18.62,3.61
2004-11-05,2.63,8.06,-1.96,0.35,11.08
2004-11-06,1.65,7.89,-2.37,0.35,10.55
2004-11-07,2.67,7.43,-0.76,3.04,9.72
2004-11-08,4.06,9.19,0.52,0.82,6.24
2004-11-09,3.08,7.58,0.17,2.11,3.35
2004-11-10,3.28,8.55,-0.26,1.23,9.45
2004-11-11,3.43,9.54,-0.47,1.39,10.06
2004-11-12,3.91,9.62,0.03,3.12,12.05
2004-11-13,3.66,9.72,-0.79,0.0,11.94
2004-11-14,3.39,9.45,-0.34,0.0,12.02
2004-11-15,2.89,9.5,-0.59,0.0,12.99
2004-11-16,1.58,6.57,-0.62,8.54,3.43
2004-11-17,0.86,4.82,-1.66,27.44,3.17
2004-11-18,-1.57,0.67,-6.21,15.0,4.66
2004-11-19,-2.96,2.27,-6.71,0.19,10.57
2004-11-20,-4.67,1.01,-7.78,0.01,10.46
2004-11-21,-3.7,1.65,-7.52,0.56,7.72
2004-11-22,-3.05,0.8,-6.81,24.86,1.93
2004-11-23,-10.41,-7.18,-16.03,6.07,2.64
2004-11-24,-14.56,-7.31,-18.6,0.72,7.73
2004-11-25,-12.07,-4.95,-17.55,0.28,10.41
2004-11-26,-9.0,-4.15,-13.83,11.2,1.69
2004-11-27,-10.51,-6.11,-16.42,7.64,4.92
2004-11-28,-12.33,-3.69,-17.95,0.17,10.81
2004-11-29,-9.54,-2.61,-15.21,0.0,10.97
2004-11-30,-9.24,-1.47,-14.0,0.0,11.99
2004-12-01,-8.5,-2.12,-14.27,1.51,10.73
2004-12-02,-13.07,-5.31,-19.74,0.11,11.28
2004-12-03,-7.13,-0.14,-12.83,0.0,10.8
2004-12-04,-5.62,-0.03,-9.24,0.0,11.47
2004-12-05,-5.83,-0.51,-9.64,1.71,9.96
2004-12-06,-6.57,-1.96,-13.17,2.27,7.6
2004-12-07,-9.16,-2.18,-13.68,0.0,9.13
2004-12-08,-9.23,-2.64,-14.11,0.0,7.11
