date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,20.18,23.59,17.33,0.0,17.72
2004-10-02,20.4,23.6,17.96,0.05,17.12
2004-10-03,18.73,21.3,16.53,0.17,14.24
2004-10-04,17.98,20.31,16.1,0.48,16.0
2004-10-05,18.52,21.94,15.95,0.0,16.81
2004-10-06,17.63,19.91,15.97,1.19,13.73
2004-10-07,16.93,18.65,15.76,32.55,5.12
2004-10-08,16.07,17.65,15.38,3.78,5.59
2004-10-09,17.35,19.75,15.21,3.89,14.53
2004-10-10,18.78,22.71,14.5,0.0,15.71
2004-10-11,20.29,25.26,16.45,0.78,13.41
2004-10-12,15.6,18.19,13.16,7.78,5.91
2004-10-13,14.18,16.46,12.71,0.24,7.2
2004-10-14,14.61,18.19,12.22,0.0,9.75
2004-10-15,16.27,19.48,13.76,0.0,13.6
2004-10-16,19.78,24.03,15.85,0.0,12.81
2004-10-17,22.52,26.07,19.71,0.0,12.64
2004-10-18,20.79,23.84,18.58,0.0,13.92
2004-10-19,19.76,23.28,16.48,0.0,12.84
2004-10-20,19.09,21.9,17.1,0.01,12.53
2004-10-21,17.85,21.29,15.29,0.0,14.38
2004-10-22,17.81,21.11,14.6,0.0,6.5
2004-10-23,15.87,19.71,13.14,0.0,14.55
2004-10-24,16.17,19.15,14.05,0.0,13.37
2004-10-25,17.13,21.55,14.28,0.0,13.92
2004-10-26,17.94,22.77,14.94,0.0,12.66
2004-10-27,17.64,22.48,14.63,0.0,9.77
2004-10-28,18.31,22.3,15.56,0.0,12.15
2004-10-29,18.63,22.34,16.5,0.0,12.35
2004-10-30,18.34,22.22,15.58,0.0,12.29
2004-10-31,18.17,21.58,15.05,0.0,11.63
2004-11-01,18.29,21.55,15.83,0.0,10.9
2004-11-02,17.77,20.48,15.78,0.0,8.58
2004-11-03,15.5,18.35,13.46,0.02,9.55
2004-11-04,14.5,18.1,12.25,0.03,11.53
2004-11-05,14.13,18.81,11.27,0.0,12.7
2004-11-06,13.86,17.55,11.48,0.01,10.49
2004-11-07,14.48,17.98,12.38,0.03,8.15
2004-11-08,16.82,21.02,13.44,0.01,9.94
2004-11-09,18.22,22.76,14.71,0.13,9.25
2004-11-10,16.81,19.58,15.33,1.28,5.41
