date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,17.91,26.89,11.91,0.01,18.29
2004-10-02,15.35,22.43,11.16,0.06,17.83
2004-10-03,12.97,18.83,8.73,0.05,13.49
2004-10-04,10.68,15.89,7.05,0.01,15.91
2004-10-05,10.23,16.87,7.01,0.06,18.58
2004-10-06,13.32,23.9,6.71,0.15,15.73
2004-10-07,16.21,24.84,10.06,0.24,15.51
2004-10-08,14.03,20.01,8.23,3.03,13.24
2004-10-09,11.91,14.9,7.91,4.22,12.67
2004-10-10,12.3,19.75,5.18,0.0,14.71
2004-10-11,13.72,23.09,6.17,0.0,17.8
2004-10-12,12.62,23.46,5.88,0.28,16.94
2004-10-13,5.21,9.64,1.34,1.35,9.07
2004-10-14,9.08,18.77,0.66,0.0,14.78
2004-10-15,13.85,22.37,6.35,0.0,15.51
2004-10-16,14.43,22.33,7.94,0.0,13.84
2004-10-17,15.73,24.19,8.63,0.0,14.95
2004-10-18,17.54,26.88,10.19,0.0,14.72
2004-10-19,17.1,25.48,10.51,0.0,15.22
2004-10-20,13.54,19.8,9.3,2.73,8.31
2004-10-21,9.87,16.13,4.02,1.65,13.69
2004-10-22,7.85,15.69,3.17,0.0,10.72
2004-10-23,9.04,19.12,1.59,0.0,15.85
2004-10-24,12.66,21.3,3.94,0.0,14.92
2004-10-25,12.74,21.59,7.22,0.0,14.94
2004-10-26,13.96,23.78,5.85,0.0,14.64
2004-10-27,16.44,25.56,8.93,0.0,10.21
2004-10-28,17.28,23.83,11.01,0.0,12.34
2004-10-29,15.71,22.29,10.29,0.52,5.06
2004-10-30,13.46,20.27,8.08,0.17,9.38
2004-10-31,13.1,19.66,9.07,0.03,13.13
2004-11-01,13.73,20.94,7.87,0.0,13.59
2004-11-02,13.56,22.49,7.46,0.0,13.29
2004-11-03,10.74,16.57,6.59,0.48,11.92
2004-11-04,5.21,10.89,-0.95,0.88,13.42
2004-11-05,4.24,15.18,-2.93,0.0,14.19
2004-11-06,8.31,17.25,0.39,0.0,11.75
2004-11-07,9.34,15.02,4.64,0.01,10.52
2004-11-08,10.51,18.67,4.53,0.18,10.94
2004-11-09,11.49,17.98,6.7,0.01,10.01
2004-11-10,12.06,19.08,6.27,0.0,8.23
2004-11-11,11.25,18.71,5.96,0.28,10.08
2004-11-12,10.39,18.8,4.39,0.0,11.39
2004-11-13,11.06,19.66,4.24,0.0,11.12
2004-11-14,11.23,20.49,4.49,0.0,11.56
2004-11-15,12.12,17.6,7.89,0.12,3.17
2004-11-16,10.92,15.9,7.32,1.04,6.24
2004-11-17,4.8,7.01,1.13,13.76,5.38
2004-11-18,1.77,6.43,-2.34,0.07,8.29
2004-11-19,3.07,12.18,-3.18,0.0,11.73
2004-11-20,7.56,13.37,1.15,0.75,7.27
2004-11-21,0.09,9.34,-4.33,26.9,1.95
2004-11-22,-4.01,-2.8,-5.13,7.71,2.49
2004-11-23,-7.15,-2.74,-12.18,0.19,7.2
2004-11-24,-5.15,0.43,-10.75,0.03,4.47
2004-11-25,-2.86,-0.71,-5.22,19.44,1.77
2004-11-26,-4.73,-2.07,-8.2,12.18,1.88
2004-11-27,-7.74,-2.46,-10.95,0.1,4.97
2004-11-28,-6.34,0.09,-12.2,0.0,8.06
2004-11-29,-5.3,0.3,-10.05,0.05,10.46
2004-11-30,-3.17,0.58,-7.39,0.06,4.78
2004-12-01,-1.1,0.32,-6.05,0.94,4.41
2004-12-02,-3.95,0.28,-8.44,0.01,8.25
2004-12-03,-1.95,0.93,-5.16,0.04,4.44
2004-12-04,-0.23,1.97,-3.49,0.11,8.68
2004-12-05,-0.05,1.62,-3.29,2.4,3.04
2004-12-06,-3.99,3.22,-8.97,0.1,9.3
2004-12-07,-2.36,2.64,-7.04,5.78,6.25
2004-12-08,-2.98,1.11,-7.06,0.51,7.89
2004-12-09,-4.4,1.67,-8.96,0.03,8.36
2004-12-10,-3.48,1.12,-6.2,0.15,8.26
2004-12-11,-3.94,-0.13,-6.73,0.16,7.7
2004-12-12,-3.64,0.22,-7.43,0.19,8.79
2004-12-13,-3.51,2.26,-8.19,0.09,6.5
2004-12-14,-3.86,0.75,-7.28,1.46,5.75
2004-12-15,-6.94,-3.85,-9.13,0.04,9.81
2004-12-16,-6.81,-3.67,-9.14,0.02,9.95
2004-12-17,-7.62,-1.67,-13.0,0.01,10.35
2004-12-18,-3.86,3.29,-8.95,0.0,10.3
2004-12-19,-2.57,0.93,-5.4,0.1,6.0
2004-12-20,-1.01,4.12,-5.72,0.24,6.3
2004-12-21,1.07,5.73,-1.25,0.39,7.11
2004-12-22,1.23,7.33,-2.05,2.01,5.61
2004-12-23,0.76,3.23,-0.85,7.01,4.34
2004-12-24,-0.02,5.63,-3.02,1.2,6.38
2004-12-25,-0.69,4.23,-3.47,0.34,6.41
2004-12-26,-2.58,3.71,-6.58,0.0,8.31
2004-12-27,-0.08,6.52,-4.72,0.0,9.48
2004-12-28,2.65,9.84,-0.06,0.0,9.44
2004-12-29,4.26,10.29,0.81,0.0,7.22
2004-12-30,3.85,12.23,-0.46,0.0,9.3
2004-12-31,3.4,11.91,-0.93,0.0,9.12
2005-01-01,2.72,10.69,-0.93,0.0,8.49
2005-01-02,0.48,2.93,-0.78,3.13,3.7
2005-01-03,-0.99,2.38,-3.0,0.05,6.31
2005-01-04,-0.69,3.69,-3.09,0.32,6.47
2005-01-05,-1.93,2.04,-4.55,1.39,7.55
2005-01-06,-1.24,3.24,-4.84,0.93,6.37
2005-01-07,-0.63,3.17,-3.71,0.32,7.36
2005-01-08,-1.0,4.05,-3.78,0.02,7.67
2005-01-09,-1.24,5.67,-6.89,0.0,9.98
2005-01-10,-1.26,5.3,-5.76,0.0,10.1
2005-01-11,-1.02,4.21,-4.88,0.0,9.83
2005-01-12,1.54,8.34,-3.92,0.0,10.52
2005-01-13,3.72,10.99,-0.37,0.0,10.52
2005-01-14,3.01,9.37,-0.22,0.0,8.83
2005-01-15,2.17,8.02,-1.48,0.01,7.77
2005-01-16,2.08,8.67,-1.61,0.02,8.72
2005-01-17,2.11,8.16,-0.82,0.0,7.9
2005-01-18,1.83,7.48,-2.0,0.0,8.61
2005-01-19,1.41,4.95,-1.51,0.0,7.69
2005-01-20,0.23,6.33,-3.07,0.0,9.45
2005-01-21,2.14,8.51,-1.98,0.0,8.57
2005-01-22,3.27,7.95,0.83,0.07,8.65
2005-01-23,-0.16,3.05,-3.76,10.47,4.62
2005-01-24,-5.17,-1.64,-10.16,1.59,11.52
2005-01-25,-2.75,3.74,-10.26,0.16,6.16
2005-01-26,1.18,6.86,-1.25,0.16,8.14
2005-01-27,1.35,7.19,-1.52,0.0,10.9
2005-01-28,3.32,8.32,0.1,0.63,6.17
2005-01-29,6.64,13.4,2.68,0.23,9.11
2005-01-30,5.25,11.88,0.98,10.87,6.37
2005-01-31,0.02,4.47,-4.81,3.86,6.46
2005-02-01,-1.66,2.85,-4.73,1.57,2.95
2005-02-02,-1.93,4.02,-5.45,0.04,7.24
2005-02-03,0.1,6.97,-4.8,0.02,9.14
2005-02-04,0.96,5.41,-1.86,0.22,8.23
2005-02-05,-1.59,2.95,-6.74,2.61,7.49
2005-02-06,-4.88,-0.83,-7.41,2.94,10.72
2005-02-07,-4.85,-1.81,-7.12,0.86,9.06
2005-02-08,-6.74,-3.88,-9.78,0.76,8.08
2005-02-09,-7.61,-3.71,-10.49,0.34,8.98
2005-02-10,-8.4,-4.09,-10.89,0.0,13.12
2005-02-11,-7.07,-2.48,-10.5,0.0,12.56
2005-02-12,-5.99,0.12,-11.43,0.0,14.13
2005-02-13,-4.86,1.52,-11.34,0.02,14.58
2005-02-14,0.63,6.96,-3.87,0.95,7.22
2005-02-15,1.44,8.52,-2.38,0.0,13.79
2005-02-16,1.59,6.76,-2.76,0.0,8.26
2005-02-17,5.02,12.7,-0.19,0.03,10.34
2005-02-18,5.05,10.86,1.2,6.82,4.05
2005-02-19,3.02,5.46,1.15,15.3,4.35
2005-02-20,1.92,6.91,-2.81,1.11,9.43
2005-02-21,0.31,5.57,-3.82,0.08,12.15
2005-02-22,2.14,7.66,-2.18,0.25,12.48
2005-02-23,3.89,10.97,-1.32,0.0,14.03
2005-02-24,3.72,9.46,-0.61,0.15,12.49
2005-02-25,3.61,9.59,-1.48,0.31,11.56
2005-02-26,4.58,9.82,-0.08,0.16,11.37
2005-02-27,6.29,11.96,2.48,3.63,9.53
2005-02-28,5.75,8.82,3.71,7.66,7.6
2005-03-01,5.11,8.75,1.32,14.57,5.85
2005-03-02,8.03,13.34,4.25,11.74,7.08
2005-03-03,5.09,9.65,-1.73,19.55,7.1
2005-03-04,-1.09,4.03,-5.32,2.33,9.26
2005-03-05,3.13,10.8,-5.15,0.02,14.89
2005-03-06,5.56,10.68,2.55,4.73,3.51
2005-03-07,7.46,12.95,3.2,1.33,12.59
2005-03-08,5.81,11.11,0.44,15.14,4.74
2005-03-09,0.79,4.29,-2.8,3.92,11.65
2005-03-10,-0.62,3.83,-5.11,3.11,10.81
2005-03-11,-2.56,2.02,-6.89,1.47,17.32
2005-03-12,-2.01,4.08,-5.88,0.56,10.18
2005-03-13,0.68,8.42,-5.16,0.0,20.11
2005-03-14,3.33,9.01,-3.31,0.01,16.28
2005-03-15,3.69,9.03,-0.95,0.0,16.22
2005-03-16,2.4,6.98,-2.24,0.0,13.02
2005-03-17,2.97,9.22,-2.16,0.0,20.07
2005-03-18,5.66,13.82,-1.81,0.77,20.45
2005-03-19,7.11,13.09,0.36,0.14,12.63
2005-03-20,1.54,6.62,-4.36,3.15,5.01
2005-03-21,-0.96,5.02,-5.91,0.15,14.27
2005-03-22,-1.07,5.25,-5.54,0.0,17.88
2005-03-23,-3.07,0.61,-5.27,0.04,16.5
2005-03-24,-1.31,4.17,-5.29,0.01,21.88
2005-03-25,-0.3,5.77,-4.48,0.0,22.73
2005-03-26,5.35,13.32,-3.27,0.0,17.53
2005-03-27,6.55,13.07,2.18,0.25,12.11
2005-03-28,9.56,14.82,4.11,4.1,11.69
2005-03-29,10.12,14.15,6.45,2.5,10.74
2005-03-30,6.82,12.35,3.46,2.0,16.85
2005-03-31,4.94,12.2,-0.19,2.61,12.79
